alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,xmlcatalog,4,1623652368, 0, 0, 90.01
AFLfast,xmlcatalog,4,1623652373, 0, 0, 83.15
AFLfast,xmlcatalog,4,1623652379, 0, 0, 77.76
AFLfast,xmlcatalog,4,1623652384, 0, 0, 76.98
AFLfast,xmlcatalog,4,1623652389, 0, 0, 72.24
AFLfast,xmlcatalog,4,1623652394, 0, 0, 74.09
AFLfast,xmlcatalog,4,1623652399, 0, 0, 59.91
AFLfast,xmlcatalog,4,1623652404, 0, 0, 44.81
AFLfast,xmlcatalog,4,1623652410, 0, 0, 41.15
AFLfast,xmlcatalog,4,1623652416, 0, 0, 5.13
AFLfast,xmlcatalog,4,1623652684, 0, 0, 38.39
AFLfast,xmlcatalog,4,1623652700, 0, 0, 39.79
AFLfast,xmlcatalog,4,1623652710, 0, 0, 30.06
AFLfast,xmlcatalog,4,1623652715, 0, 0, 34.02
AFLfast,xmlcatalog,4,1623652720, 0, 0, 35.53
AFLfast,xmlcatalog,4,1623652725, 0, 0, 44.91
AFLfast,xmlcatalog,4,1623652730, 0, 0, 37.60
AFLfast,xmlcatalog,4,1623652736, 0, 0, 35.61
AFLfast,xmlcatalog,4,1623653024, 0, 0, 35.52
AFLfast,xmlcatalog,4,1623653039, 0, 0, 34.04
AFLfast,xmlcatalog,4,1623653054, 0, 0, 16.73
AFLfast,xmlcatalog,4,1623653060, 0, 0, 28.76
AFLfast,xmlcatalog,4,1623653065, 0, 0, 31.79
AFLfast,xmlcatalog,4,1623653075, 0, 0, 34.64
AFLfast,xmlcatalog,4,1623653080, 0, 0, 35.00
AFLfast,xmlcatalog,4,1623653091, 0, 0, 34.61
AFLfast,xmlcatalog,4,1623653096, 0, 0, 34.48
AFLfast,xmlcatalog,4,1623653101, 0, 0, 36.16
AFLfast,xmlcatalog,4,1623653116, 0, 0, 24.11
AFLfast,xmlcatalog,4,1623653127, 0, 0, 33.91
AFLfast,xmlcatalog,4,1623653163, 0, 0, 35.56
AFLfast,xmlcatalog,4,1623653168, 0, 0, 32.09
AFLfast,xmlcatalog,4,1623653174, 0, 0, 32.12
AFLfast,xmlcatalog,4,1623653179, 0, 0, 31.31
AFLfast,xmlcatalog,4,1623653184, 0, 0, 30.68
AFLfast,xmlcatalog,4,1623653230, 0, 0, 30.11
AFLfast,xmlcatalog,4,1623653282, 0, 0, 27.77
AFLfast,xmlcatalog,4,1623653292, 0, 0, 32.71
AFLfast,xmlcatalog,4,1623653318, 0, 0, 35.40
AFLfast,xmlcatalog,4,1623653364, 0, 0, 32.10
AFLfast,xmlcatalog,4,1623653380, 0, 0, 33.65
AFLfast,xmlcatalog,4,1623653390, 0, 0, 33.86
AFLfast,xmlcatalog,4,1623653401, 0, 0, 33.21
AFLfast,xmlcatalog,4,1623653484, 0, 0, 32.52
AFLfast,xmlcatalog,4,1623653489, 0, 0, 32.13
AFLfast,xmlcatalog,4,1623653531, 0, 0, 30.91
