alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec, total_execs
AFLfast,xmlcatalog,7,1623652588, 1, 0, 31, 31, 1, 0.37%, 0, 0, 1, 70.92, 248
AFLfast,xmlcatalog,7,1623652593, 1, 2, 58, 58, 1, 0.57%, 0, 0, 2, 73.60, 645
AFLfast,xmlcatalog,7,1623652598, 1, 2, 73, 73, 1, 0.60%, 0, 0, 2, 73.21, 1018
AFLfast,xmlcatalog,7,1623652603, 1, 2, 81, 81, 1, 0.65%, 0, 0, 2, 72.01, 1380
AFLfast,xmlcatalog,7,1623652609, 1, 2, 85, 85, 1, 0.65%, 0, 0, 2, 68.08, 1723
AFLfast,xmlcatalog,7,1623652614, 1, 2, 103, 103, 1, 0.66%, 0, 0, 2, 68.66, 2080
AFLfast,xmlcatalog,7,1623652619, 1, 2, 107, 107, 1, 0.67%, 0, 0, 2, 49.24, 2298
AFLfast,xmlcatalog,7,1623652624, 1, 2, 109, 109, 1, 0.67%, 0, 0, 2, 40.84, 2479
AFLfast,xmlcatalog,7,1623652629, 1, 2, 112, 112, 1, 0.68%, 0, 0, 2, 37.72, 2668
AFLfast,xmlcatalog,7,1623652634, 1, 2, 115, 115, 1, 0.68%, 0, 0, 2, 35.93, 2844
AFLfast,xmlcatalog,7,1623652641, 1, 2, 119, 119, 1, 0.69%, 0, 0, 2, 6.48, 3019
AFLfast,xmlcatalog,7,1623652926, 1, 10, 120, 119, 33, 0.69%, 0, 0, 2, 37.34, 13315
AFLfast,xmlcatalog,7,1623652931, 1, 10, 121, 120, 33, 0.69%, 0, 0, 2, 36.61, 13513
AFLfast,xmlcatalog,7,1623652941, 1, 10, 122, 121, 33, 0.69%, 0, 0, 2, 37.55, 13903
AFLfast,xmlcatalog,7,1623652952, 1, 10, 123, 122, 33, 0.69%, 0, 0, 2, 35.78, 14276
AFLfast,xmlcatalog,7,1623652957, 1, 10, 124, 123, 33, 0.69%, 0, 0, 2, 34.88, 14398
AFLfast,xmlcatalog,7,1623652967, 1, 10, 125, 124, 33, 0.69%, 0, 0, 2, 34.41, 14754
AFLfast,xmlcatalog,7,1623652972, 1, 10, 127, 126, 33, 0.69%, 0, 0, 2, 34.43, 14933
AFLfast,xmlcatalog,7,1623652978, 1, 10, 129, 128, 33, 0.69%, 0, 0, 2, 35.29, 15115
AFLfast,xmlcatalog,7,1623653293, 1, 20, 129, 127, 37, 0.69%, 0, 0, 2, 32.99, 25750
AFLfast,xmlcatalog,7,1623653304, 1, 28, 129, 126, 37, 0.69%, 0, 0, 2, 28.46, 26074
AFLfast,xmlcatalog,7,1623653320, 1, 32, 129, 125, 37, 0.69%, 0, 0, 2, 2.19, 26575
AFLfast,xmlcatalog,7,1623653341, 1, 32, 130, 126, 37, 0.70%, 0, 0, 3, 32.57, 27259
AFLfast,xmlcatalog,7,1623653356, 1, 32, 131, 127, 37, 0.70%, 0, 0, 3, 29.83, 27691
AFLfast,xmlcatalog,7,1623653367, 1, 32, 132, 128, 37, 0.70%, 0, 0, 3, 31.53, 28019
AFLfast,xmlcatalog,7,1623653403, 1, 32, 133, 129, 37, 0.70%, 0, 0, 3, 31.86, 29163
AFLfast,xmlcatalog,7,1623653413, 1, 32, 134, 130, 37, 0.70%, 0, 0, 3, 32.56, 29508
AFLfast,xmlcatalog,7,1623653516, 1, 32, 135, 131, 37, 0.70%, 0, 0, 3, 32.65, 32750
AFLfast,xmlcatalog,7,1623653548, 1, 32, 136, 132, 37, 0.70%, 0, 0, 3, 33.84, 33721
AFLfast,xmlcatalog,7,1623653600, 1, 32, 137, 133, 37, 0.70%, 0, 0, 3, 31.65, 35340
AFLfast,xmlcatalog,7,1623653611, 1, 32, 138, 134, 37, 0.70%, 0, 0, 3, 32.77, 35697
AFLfast,xmlcatalog,7,1623653655, 1, 32, 139, 135, 37, 0.70%, 0, 0, 3, 61.80, 37339
AFLfast,xmlcatalog,7,1623653666, 1, 32, 140, 136, 37, 0.70%, 0, 0, 3, 57.74, 37928
AFLfast,xmlcatalog,7,1623653671, 1, 32, 141, 137, 37, 0.70%, 0, 0, 3, 59.31, 38253
AFLfast,xmlcatalog,7,1623653686, 1, 37, 141, 136, 38, 0.70%, 0, 0, 3, 31.28, 39124
AFLfast,xmlcatalog,7,1623653696, 1, 37, 142, 137, 38, 0.70%, 0, 0, 3, 57.84, 39749
AFLfast,xmlcatalog,7,1623653712, 1, 37, 144, 139, 38, 0.70%, 0, 0, 3, 38.56, 40422
AFLfast,xmlcatalog,7,1623653717, 1, 37, 146, 141, 38, 0.70%, 0, 0, 3, 34.57, 40592
AFLfast,xmlcatalog,7,1623653734, 1, 37, 147, 142, 38, 0.70%, 0, 0, 3, 2.67, 41056
AFLfast,xmlcatalog,7,1623653926, 1, 41, 147, 141, 39, 0.70%, 0, 0, 3, 58.51, 51562
AFLfast,xmlcatalog,7,1623653942, 1, 45, 147, 140, 38, 0.70%, 0, 0, 3, 60.65, 52458
AFLfast,xmlcatalog,7,1623653957, 1, 45, 148, 141, 38, 0.70%, 0, 0, 3, 57.17, 53356
AFLfast,xmlcatalog,7,1623654020, 1, 45, 150, 143, 38, 0.70%, 0, 0, 3, 52.75, 56722
AFLfast,xmlcatalog,7,1623654025, 1, 45, 151, 144, 38, 0.70%, 0, 0, 3, 56.36, 57028
AFLfast,xmlcatalog,7,1623654030, 1, 45, 152, 145, 38, 0.70%, 0, 0, 3, 57.17, 57337
AFLfast,xmlcatalog,7,1623654072, 1, 45, 153, 146, 38, 0.70%, 0, 0, 3, 60.08, 59704
AFLfast,xmlcatalog,7,1623654124, 1, 45, 154, 147, 38, 0.70%, 0, 0, 3, 58.76, 61730
AFLfast,xmlcatalog,7,1623654140, 1, 45, 155, 148, 38, 0.70%, 0, 0, 3, 8.28, 62628
AFLfast,xmlcatalog,7,1623654151, 1, 45, 156, 149, 38, 0.70%, 0, 0, 3, 60.69, 63256
AFLfast,xmlcatalog,7,1623654182, 1, 46, 156, 148, 37, 0.70%, 0, 0, 3, 2.81, 64683
AFLfast,xmlcatalog,7,1623654244, 1, 58, 156, 147, 36, 0.70%, 0, 0, 3, 56.12, 67993
AFLfast,xmlcatalog,7,1623654260, 1, 58, 157, 148, 36, 0.70%, 0, 0, 3, 53.24, 68851
AFLfast,xmlcatalog,7,1623654270, 1, 58, 158, 149, 36, 0.70%, 0, 0, 3, 56.17, 69431
AFLfast,xmlcatalog,7,1623654280, 1, 58, 159, 150, 36, 0.70%, 0, 0, 3, 45.05, 69957
