Algorithm;Code;Repetition;Time_min;Bugs;Time_min_norm;Bugs_norm;Exec
AFLgo;jpegtran;0;-;-;;;4138686
AFLgo;jpegtran;1;-;-;;;4600633
AFLgo;jpegtran;2;-;-;;;4459937
AFLgo;jpegtran;3;-;-;;;1231920
AFLgo;jpegtran;4;-;-;;;4362697
AFLgo;jpegtran;5;-;-;;;4408205
AFLgo;jpegtran;6;-;-;;;3519809
AFLgo;jpegtran;7;-;-;;;4606915
AFLgo;jpegtran;8;-;-;;;4545061
AFLgo;jpegtran;9;-;-;;;1467975
AFLgo;jpegtran;10;-;-;;;3799756
AFLgo;jpegtran;11;75024;1;0.868333333;0.011904762;4699427
AFLgo;jpegtran;12;-;-;;;3599494
AFLgo;jpegtran;13;-;-;;;1168733
AFLgo;jpegtran;14;-;-;;;2477681
AFLfast;jpegtran;0;69290;1;0.801967593;0.011904762;532193
AFLfast;jpegtran;1;4211;1;0.048738426;0.011904762;4120798
AFLfast;jpegtran;2;19540;1;0.226157407;0.011904762;4245123
AFLfast;jpegtran;3;-;-;;;1402925
AFLfast;jpegtran;4;-;-;;;4487680
AFLfast;jpegtran;5;73696;1;0.852962963;0.011904762;4637026
AFLfast;jpegtran;6;13802;1;0.15974537;0.011904762;4466266
AFLfast;jpegtran;7;-;-;;;4797898
AFLfast;jpegtran;8;14617;1;0.169178241;0.011904762;4563662
AFLfast;jpegtran;9;3896;5;0.045092593;0.05952381;4498720
AFLfast;jpegtran;10;4025;3;0.046585648;0.035714286;3916211
AFLfast;jpegtran;11;11719;2;0.135636574;0.023809524;4504756
AFLfast;jpegtran;12;-;-;;;4377570
AFLfast;jpegtran;13;7665;2;0.088715278;0.023809524;1167276
AFLfast;jpegtran;14;2219;2;0.02568287;0.023809524;4121504
AFLplusplus;jpegtran;0;277;7;0.003206019;0.083333333;212907
AFLplusplus;jpegtran;1;1079;40;0.012488426;0.476190476;210646
AFLplusplus;jpegtran;2;116;13;0.001342593;0.154761905;308291
AFLplusplus;jpegtran;3;2017;8;0.023344907;0.095238095;257608
AFLplusplus;jpegtran;4;1064;19;0.012314815;0.226190476;245556
AFLplusplus;jpegtran;5;2130;9;0.024652778;0.107142857;305900
AFLplusplus;jpegtran;6;191;54;0.002210648;0.642857143;224748
AFLplusplus;jpegtran;7;602;11;0.006967593;0.130952381;342383
AFLplusplus;jpegtran;8;210;18;0.002430556;0.214285714;319587
AFLplusplus;jpegtran;9;1821;18;0.021076389;0.214285714;259341
AFLplusplus;jpegtran;10;1147;16;0.013275463;0.19047619;290421
AFLplusplus;jpegtran;11;2223;9;0.025729167;0.107142857;272983
AFLplusplus;jpegtran;12;1348;23;0.015601852;0.273809524;306978
AFLplusplus;jpegtran;13;494;84;0.005717593;1;251149
AFLplusplus;jpegtran;14;1351;27;0.015636574;0.321428571;286522
fairfuzz;jpegtran;0;16979;2;0.196516204;0.023809524;4349941
fairfuzz;jpegtran;1;2564;3;0.029675926;0.035714286;1155131
fairfuzz;jpegtran;2;53;25;0.000613426;0.297619048;1236109
fairfuzz;jpegtran;3;4743;1;0.054895833;0.011904762;1225803
fairfuzz;jpegtran;4;3721;2;0.04306713;0.023809524;1680561
fairfuzz;jpegtran;5;-;-;;;1253391
fairfuzz;jpegtran;6;14652;2;0.169583333;0.023809524;1977744
fairfuzz;jpegtran;7;19518;1;0.225902778;0.011904762;3137875
fairfuzz;jpegtran;8;435;3;0.005034722;0.035714286;942384
fairfuzz;jpegtran;9;1271;6;0.014710648;0.071428571;1671869
fairfuzz;jpegtran;10;7377;2;0.085381944;0.023809524;-
fairfuzz;jpegtran;11;3053;3;0.035335648;0.035714286;1999110
fairfuzz;jpegtran;12;3031;4;0.035081019;0.047619048;1902341
fairfuzz;jpegtran;13;13465;8;0.155844907;0.095238095;1099299
fairfuzz;jpegtran;14;3764;4;0.043564815;0.047619048;1734546
learnafl;jpegtran;0;19674;1;0.227708333;0.011904762;4955647
learnafl;jpegtran;1;40070;7;0.463773148;0.083333333;5166216
learnafl;jpegtran;2;20985;2;0.242881944;0.023809524;4601726
learnafl;jpegtran;3;5212;1;0.060324074;0.011904762;2999804
learnafl;jpegtran;4;-;-;;;4413634
learnafl;jpegtran;5;75610;1;0.875115741;0.011904762;4622141
learnafl;jpegtran;6;-;-;;;4587484
learnafl;jpegtran;7;-;-;;;5097824
learnafl;jpegtran;8;-;-;;;4351363
learnafl;jpegtran;9;13787;2;0.159571759;0.023809524;3947149
learnafl;jpegtran;10;20638;1;0.238865741;0.011904762;5098360
learnafl;jpegtran;11;-;-;;;3485696
learnafl;jpegtran;12;-;-;;;3560351
learnafl;jpegtran;13;-;-;;;2589332
learnafl;jpegtran;14;-;-;;;3857183
mopt;jpegtran;0;3416;2;0.039537037;0.023809524;6574313
mopt;jpegtran;1;-;-;;;8810218
mopt;jpegtran;2;4826;5;0.055856481;0.05952381;7998630
mopt;jpegtran;3;9244;4;0.106990741;0.047619048;6108694
mopt;jpegtran;4;29933;1;0.346446759;0.011904762;7734773
mopt;jpegtran;5;6839;5;0.079155093;0.05952381;7293424
mopt;jpegtran;6;3664;2;0.042407407;0.023809524;7244703
mopt;jpegtran;7;3146;4;0.036412037;0.047619048;8331117
mopt;jpegtran;8;3391;4;0.039247685;0.047619048;7295924
mopt;jpegtran;9;3428;8;0.039675926;0.095238095;4973089
mopt;jpegtran;10;1703;3;0.019710648;0.035714286;7768304
mopt;jpegtran;11;7130;5;0.082523148;0.05952381;6284581
mopt;jpegtran;12;39989;2;0.462835648;0.023809524;4141929
mopt;jpegtran;13;1127;12;0.013043981;0.142857143;3182090
mopt;jpegtran;14;11385;3;0.131770833;0.035714286;5440496
superion;jpegtran;0;5027;2;0.05818287;0.023809524;1510584
superion;jpegtran;1;5874;10;0.067986111;0.119047619;2016701
superion;jpegtran;2;7104;10;0.082222222;0.119047619;3087450
superion;jpegtran;3;12299;5;0.142349537;0.05952381;871482
superion;jpegtran;4;7078;5;0.081921296;0.05952381;1980328
superion;jpegtran;5;956;10;0.011064815;0.119047619;2025687
superion;jpegtran;6;2248;3;0.026018519;0.035714286;1616082
superion;jpegtran;7;9039;1;0.104618056;0.011904762;1859073
superion;jpegtran;8;4292;5;0.049675926;0.05952381;1954142
superion;jpegtran;9;4823;7;0.055821759;0.083333333;1309274
superion;jpegtran;10;23150;5;0.267939815;0.05952381;2019082
superion;jpegtran;11;4010;5;0.046412037;0.05952381;2015000
superion;jpegtran;12;4489;10;0.051956019;0.119047619;1922317
superion;jpegtran;13;3546;4;0.041041667;0.047619048;5732364
superion;jpegtran;14;7707;19;0.089201389;0.226190476;1976948
