Algorithm;Code;Repetition;Time_min;Bugs;Time_min_norm;Bugs_norm;Exec
AFLgo;mp3gain;0;-;-;;;910052
AFLgo;mp3gain;1;-;-;;;906721
AFLgo;mp3gain;2;-;-;;;910229
AFLgo;mp3gain;3;-;-;;;908316
AFLgo;mp3gain;4;-;-;;;913078
AFLgo;mp3gain;5;435;1;0.005034722;0.000442282;911388
AFLgo;mp3gain;6;-;-;;;911679
AFLgo;mp3gain;7;-;-;;;909548
AFLgo;mp3gain;8;-;-;;;912482
AFLgo;mp3gain;9;-;-;;;912042
AFLgo;mp3gain;10;-;-;;;1077868
AFLgo;mp3gain;11;-;-;;;1084244
AFLgo;mp3gain;12;-;-;;;1078614
AFLgo;mp3gain;13;-;-;;;1086462
AFLgo;mp3gain;14;36275;1;0.419849537;0.000442282;721203
AFLfast;mp3gain;0;43039;8;0.498136574;0.003538257;1363260
AFLfast;mp3gain;1;37787;17;0.437349537;0.007518797;1337308
AFLfast;mp3gain;2;36026;17;0.416967593;0.007518797;1303336
AFLfast;mp3gain;3;44605;15;0.516261574;0.006634233;1310565
AFLfast;mp3gain;4;81298;8;0.940949074;0.003538257;1563962
AFLfast;mp3gain;5;71812;8;0.831157407;0.003538257;1496165
AFLfast;mp3gain;6;64202;8;0.743078704;0.003538257;1455097
AFLfast;mp3gain;7;63873;8;0.739270833;0.003538257;1452100
AFLfast;mp3gain;8;70899;8;0.820590278;0.003538257;1487808
AFLfast;mp3gain;9;58715;11;0.679571759;0.004865104;1422034
AFLfast;mp3gain;10;-;-;;;1444010
AFLfast;mp3gain;11;-;-;;;1369903
AFLfast;mp3gain;12;-;-;;;1514219
AFLfast;mp3gain;13;16963;5;0.196331019;0.002211411;1124334
AFLfast;mp3gain;14;-;-;;;1040870
AFLplusplus;mp3gain;0;1035;79;0.011979167;0.034940292;232976
AFLplusplus;mp3gain;1;212;8;0.002453704;0.003538257;264526
AFLplusplus;mp3gain;2;1296;26;0.015;0.011499337;270889
AFLplusplus;mp3gain;3;142;74;0.001643519;0.032728881;230588
AFLplusplus;mp3gain;4;494;83;0.005717593;0.036709421;247238
AFLplusplus;mp3gain;5;1605;22;0.018576389;0.009730208;276715
AFLplusplus;mp3gain;6;852;37;0.009861111;0.016364441;263368
AFLplusplus;mp3gain;7;522;33;0.006041667;0.014595312;277840
AFLplusplus;mp3gain;8;524;41;0.006064815;0.018133569;257685
AFLplusplus;mp3gain;9;698;23;0.008078704;0.01017249;86313
AFLplusplus;mp3gain;10;968;58;0.011203704;0.025652366;258921
AFLplusplus;mp3gain;11;336;26;0.003888889;0.011499337;261386
AFLplusplus;mp3gain;12;833;29;0.009641204;0.012826183;254209
AFLplusplus;mp3gain;13;560;34;0.006481481;0.015037594;239837
AFLplusplus;mp3gain;14;526;21;0.006087963;0.009287926;254048
fairfuzz;mp3gain;0;20882;33;0.241689815;0.014595312;2738214
fairfuzz;mp3gain;1;18703;21;0.216469907;0.009287926;2300602
fairfuzz;mp3gain;2;14353;27;0.166122685;0.011941619;2757657
fairfuzz;mp3gain;3;18491;30;0.214016204;0.013268465;2262483
fairfuzz;mp3gain;4;14978;28;0.173356481;0.012383901;2648251
