Algorithm;Code;Repetition;Time_min;Bugs;Time_min_norm;Bugs_norm;Exec
AFLgo;nm-new;0;-;-;;;2954347
AFLgo;nm-new;1;-;-;;;3327933
AFLgo;nm-new;2;-;-;;;4062855
AFLgo;nm-new;3;-;-;;;3500947
AFLgo;nm-new;4;-;-;;;3691316
AFLgo;nm-new;5;23956;2;0.277268519;1;3478973
AFLgo;nm-new;6;-;-;;;2046965
AFLgo;nm-new;7;-;-;;;2041742
AFLgo;nm-new;8;-;-;;;3289576
AFLgo;nm-new;9;-;-;;;1403873
AFLgo;nm-new;10;-;-;;;1454907
AFLgo;nm-new;11;-;-;;;7330274
AFLgo;nm-new;12;-;-;;;4130157
AFLgo;nm-new;13;-;-;;;2135443
AFLgo;nm-new;14;-;-;;;3207438
AFLfast;nm-new;0;53673;1;0.621215278;0.5;2322739
AFLfast;nm-new;1;-;-;;;2716431
AFLfast;nm-new;2;-;-;;;3303698
AFLfast;nm-new;3;-;-;;;2640930
AFLfast;nm-new;4;-;-;;;2827312
AFLfast;nm-new;5;-;-;;;2629654
AFLfast;nm-new;6;-;-;;;1569697
AFLfast;nm-new;7;-;-;;;1534589
AFLfast;nm-new;8;77795;2;0.900405093;1;2502612
AFLfast;nm-new;9;-;-;;;1091445
AFLfast;nm-new;10;-;-;;;1145070
AFLfast;nm-new;11;-;-;;;1366860
AFLfast;nm-new;12;65097;1;0.7534375;0.5;2358434
AFLfast;nm-new;13;-;-;;;1632316
AFLfast;nm-new;14;51806;1;0.599606481;0.5;2482051
AFLplusplus;nm-new;0;16;1;0.000185185;0.5;430943
AFLplusplus;nm-new;1;18;2;0.000208333;1;444631
AFLplusplus;nm-new;2;4490;1;0.051967593;0.5;395887
AFLplusplus;nm-new;3;1570;1;0.018171296;0.5;422264
AFLplusplus;nm-new;4;-;-;;;511471
AFLplusplus;nm-new;5;4049;2;0.046863426;1;498400
AFLplusplus;nm-new;6;-;-;;;482891
AFLplusplus;nm-new;7;-;-;;;415410
AFLplusplus;nm-new;8;-;-;;;521897
AFLplusplus;nm-new;9;578;1;0.006689815;0.5;404740
AFLplusplus;nm-new;10;205;1;0.002372685;0.5;416090
AFLplusplus;nm-new;11;1227;1;0.014201389;0.5;491892
AFLplusplus;nm-new;12;-;-;;;448285
AFLplusplus;nm-new;13;6935;1;0.080266204;0.5;466260
AFLplusplus;nm-new;14;6400;1;0.074074074;0.5;26239
fairfuzz;nm-new;0;-;-;;;3892431
fairfuzz;nm-new;1;-;-;;;3966811
fairfuzz;nm-new;2;-;-;;;4838046
fairfuzz;nm-new;3;-;-;;;4320217
fairfuzz;nm-new;4;-;-;;;4754062
fairfuzz;nm-new;5;-;-;;;4540076
fairfuzz;nm-new;6;-;-;;;2690966
fairfuzz;nm-new;7;-;-;;;2651554
fairfuzz;nm-new;8;-;-;;;4355106
fairfuzz;nm-new;9;-;-;;;1949002
fairfuzz;nm-new;10;-;-;;;2013586
fairfuzz;nm-new;11;-;-;;;4670117
fairfuzz;nm-new;12;-;-;;;4021247
fairfuzz;nm-new;13;-;-;;;2870725
fairfuzz;nm-new;14;-;-;;;4233691
learnafl;nm-new;0;-;-;;;1929008
learnafl;nm-new;1;-;-;;;87326
learnafl;nm-new;2;-;-;;;1231974
learnafl;nm-new;3;-;-;;;643382
learnafl;nm-new;4;-;-;;;1488419
learnafl;nm-new;5;-;-;;;922125
learnafl;nm-new;6;-;-;;;195394
learnafl;nm-new;7;-;-;;;188736
learnafl;nm-new;8;-;-;;;908958
learnafl;nm-new;9;-;-;;;208472
learnafl;nm-new;10;-;-;;;219372
learnafl;nm-new;11;-;-;;;2329159
learnafl;nm-new;12;-;-;;;350126
learnafl;nm-new;13;-;-;;;204876
learnafl;nm-new;14;-;-;;;203939
mopt;nm-new;0;-;-;;;3579906
mopt;nm-new;1;68641;1;0.794456019;0.5;4139901
mopt;nm-new;2;-;-;;;4838972
mopt;nm-new;3;-;-;;;4032790
mopt;nm-new;4;-;-;;;4268729
mopt;nm-new;5;-;-;;;4168992
mopt;nm-new;6;-;-;;;2463571
mopt;nm-new;7;-;-;;;2358809
mopt;nm-new;8;-;-;;;5299608
mopt;nm-new;9;-;-;;;1721566
mopt;nm-new;10;-;-;;;1783751
mopt;nm-new;11;-;-;;;2115064
mopt;nm-new;12;-;-;;;4938697
mopt;nm-new;13;-;-;;;2536969
mopt;nm-new;14;-;-;;;3831400
superion;nm-new;0;-;-;;;2299325
superion;nm-new;1;-;-;;;2107390
superion;nm-new;2;-;-;;;2190744
superion;nm-new;3;-;-;;;2369829
superion;nm-new;4;-;-;;;2420835
superion;nm-new;5;84819;2;0.981701389;1;2287324
superion;nm-new;6;-;-;;;2267102
superion;nm-new;7;-;-;;;2292181
superion;nm-new;8;-;-;;;2288762
superion;nm-new;9;-;-;;;2366978
superion;nm-new;10;-;-;;;2291501
superion;nm-new;11;-;-;;;2290983
superion;nm-new;12;-;-;;;2337068
superion;nm-new;13;-;-;;;2257937
superion;nm-new;14;-;-;;;2280310
