Algorithm;Code;Repetition;Time_min;Bugs;Time_min_norm;Bugs_norm;Exec
AFLgo;objdump;0;19300;1;0.22337963;0.5;2710753
AFLgo;objdump;1;-;-;;;2698691
AFLgo;objdump;2;-;-;;;2689342
AFLgo;objdump;3;-;-;;;2729450
AFLgo;objdump;4;-;-;;;2739328
AFLgo;objdump;5;-;-;;;2723274
AFLgo;objdump;6;-;-;;;2720720
AFLgo;objdump;7;-;-;;;2794972
AFLgo;objdump;8;29920;1;0.346296296;0.5;2768083
AFLgo;objdump;9;27972;1;0.32375;0.5;2765804
AFLgo;objdump;10;-;-;;;2692182
AFLgo;objdump;11;-;-;;;2728280
AFLgo;objdump;12;20559;1;0.237951389;0.5;2728735
AFLgo;objdump;13;-;-;;;2714717
AFLgo;objdump;14;17916;2;0.207361111;1;2754348
AFLfast;objdump;0;-;-;;;10684
AFLfast;objdump;1;-;-;;;16663
AFLfast;objdump;2;-;-;;;11574
AFLfast;objdump;3;-;-;;;13289
AFLfast;objdump;4;-;-;;;12996
AFLfast;objdump;5;-;-;;;11502
AFLfast;objdump;6;-;-;;;12607
AFLfast;objdump;7;-;-;;;9724
AFLfast;objdump;8;-;-;;;9096
AFLfast;objdump;9;-;-;;;12488
AFLfast;objdump;10;-;-;;;8830
AFLfast;objdump;11;-;-;;;17761
AFLfast;objdump;12;-;-;;;9178
AFLfast;objdump;13;-;-;;;8803
AFLfast;objdump;14;-;-;;;7576
AFLplusplus;objdump;0;-;-;;;14237
AFLplusplus;objdump;1;-;-;;;14252
AFLplusplus;objdump;2;-;-;;;14595
AFLplusplus;objdump;3;-;-;;;12157
AFLplusplus;objdump;4;-;-;;;12649
AFLplusplus;objdump;5;-;-;;;13105
AFLplusplus;objdump;6;-;-;;;12830
AFLplusplus;objdump;7;-;-;;;11957
AFLplusplus;objdump;8;-;-;;;11489
AFLplusplus;objdump;9;-;-;;;12489
AFLplusplus;objdump;10;-;-;;;12958
AFLplusplus;objdump;11;-;-;;;12436
AFLplusplus;objdump;12;-;-;;;169019
AFLplusplus;objdump;13;-;-;;;12249
AFLplusplus;objdump;14;-;-;;;12126
fairfuzz;objdump;0;-;-;;;2062110
fairfuzz;objdump;1;-;-;;;1346626
fairfuzz;objdump;2;-;-;;;2149687
fairfuzz;objdump;3;-;-;;;1948484
fairfuzz;objdump;4;-;-;;;2077294
fairfuzz;objdump;5;-;-;;;1971944
fairfuzz;objdump;6;-;-;;;2036745
fairfuzz;objdump;7;-;-;;;237185
fairfuzz;objdump;8;-;-;;;1923583
fairfuzz;objdump;9;-;-;;;1956627
fairfuzz;objdump;10;-;-;;;1974424
fairfuzz;objdump;11;-;-;;;2021751
fairfuzz;objdump;12;-;-;;;1931909
fairfuzz;objdump;13;-;-;;;2096862
fairfuzz;objdump;14;-;-;;;2158356
learnafl;objdump;0;-;-;;;14899853
learnafl;objdump;1;-;-;;;14549645
learnafl;objdump;2;-;-;;;14114746
learnafl;objdump;3;-;-;;;14055622
learnafl;objdump;4;-;-;;;14524848
learnafl;objdump;5;-;-;;;14201650
learnafl;objdump;6;-;-;;;14215867
learnafl;objdump;7;-;-;;;12922301
learnafl;objdump;8;-;-;;;13065034
learnafl;objdump;9;-;-;;;12777247
learnafl;objdump;10;-;-;;;13010811
learnafl;objdump;11;-;-;;;12077442
learnafl;objdump;12;-;-;;;12616903
learnafl;objdump;13;-;-;;;12485670
learnafl;objdump;14;-;-;;;12376790
mopt;objdump;0;-;-;;;3436436
mopt;objdump;1;-;-;;;3294073
mopt;objdump;2;-;-;;;3332684
mopt;objdump;3;-;-;;;3411459
mopt;objdump;4;-;-;;;3365624
mopt;objdump;5;-;-;;;3339823
mopt;objdump;6;-;-;;;3446247
mopt;objdump;7;-;-;;;3416715
mopt;objdump;8;-;-;;;3285713
mopt;objdump;9;-;-;;;3251148
mopt;objdump;10;-;-;;;3433832
mopt;objdump;11;-;-;;;3374774
mopt;objdump;12;-;-;;;3354921
mopt;objdump;13;-;-;;;3413324
mopt;objdump;14;-;-;;;3390080
superion;objdump;0;-;-;;;309679
superion;objdump;1;-;-;;;275121
superion;objdump;2;-;-;;;109693
superion;objdump;3;-;-;;;32518
superion;objdump;4;-;-;;;33927
superion;objdump;5;-;-;;;9819
superion;objdump;6;-;-;;;119512
superion;objdump;7;-;-;;;1417945
superion;objdump;8;-;-;;;57026
superion;objdump;9;-;-;;;269419
superion;objdump;10;-;-;;;222545
superion;objdump;11;-;-;;;252786
superion;objdump;12;-;-;;;143510
superion;objdump;13;-;-;;;36093
superion;objdump;14;-;-;;;56893
