Algorithm;Code;Repetition;Time_min;Bugs;Time_min_norm;Bugs_norm;Exec
AFLgo;pcre2test;0;39470;10;0.456828704;0.192307692;-
AFLgo;pcre2test;1;35464;3;0.410462963;0.057692308;-
AFLgo;pcre2test;2;39285;11;0.4546875;0.211538462;-
AFLgo;pcre2test;3;32356;5;0.374490741;0.096153846;-
AFLgo;pcre2test;4;30741;3;0.355798611;0.057692308;-
AFLgo;pcre2test;5;32979;9;0.381701389;0.173076923;-
AFLgo;pcre2test;6;30566;8;0.353773148;0.153846154;-
AFLgo;pcre2test;7;38014;3;0.439976852;0.057692308;-
AFLgo;pcre2test;8;31689;13;0.366770833;0.25;-
AFLgo;pcre2test;9;26123;52;0.302349537;1;-
AFLgo;pcre2test;10;34256;13;0.396481481;0.25;-
AFLgo;pcre2test;11;-;-;;;-
AFLgo;pcre2test;12;47769;3;0.552881944;0.057692308;-
AFLgo;pcre2test;13;29558;7;0.342106481;0.134615385;-
AFLgo;pcre2test;14;18875;16;0.218460648;0.307692308;-
AFLfast;pcre2test;0;-;-;;;7088896
AFLfast;pcre2test;1;70187;1;0.812349537;0.019230769;7139014
AFLfast;pcre2test;2;-;-;;;7047573
AFLfast;pcre2test;3;-;-;;;7017120
AFLfast;pcre2test;4;53274;1;0.616597222;0.019230769;7071702
AFLfast;pcre2test;5;-;-;;;6729485
AFLfast;pcre2test;6;-;-;;;6884856
AFLfast;pcre2test;7;-;-;;;7064576
AFLfast;pcre2test;8;-;-;;;7064576
AFLfast;pcre2test;9;-;-;;;6861059
AFLfast;pcre2test;10;-;-;;;7000523
AFLfast;pcre2test;11;14245;2;0.164872685;0.038461538;42068956
AFLfast;pcre2test;12;-;-;;;6986996
AFLfast;pcre2test;13;-;-;;;7025753
AFLfast;pcre2test;14;-;-;;;6896850
AFLplusplus;pcre2test;0;-;-;;;424960
AFLplusplus;pcre2test;1;-;-;;;408597
AFLplusplus;pcre2test;2;-;-;;;390240
AFLplusplus;pcre2test;3;-;-;;;348486
AFLplusplus;pcre2test;4;-;-;;;342331
