Algorithm;Code;Repetition;Time_min;Bugs;Time_min_norm;Bugs_norm;Exec
AFLgo;pdftops;0;759;11;0.008784722;0.009425878;70756
AFLgo;pdftops;1;1007;5;0.011655093;0.00428449;70363
AFLgo;pdftops;2;9231;168;0.106840278;0.143958869;174310
AFLgo;pdftops;3;11010;67;0.127430556;0.057412168;165611
AFLgo;pdftops;4;14624;525;0.169259259;0.449871465;110504
AFLgo;pdftops;5;919;7;0.010636574;0.005998286;71387
AFLgo;pdftops;6;26474;1;0.306412037;0.000856898;121192
AFLgo;pdftops;7;814;3;0.009421296;0.002570694;97619
AFLgo;pdftops;8;19265;1;0.222974537;0.000856898;165755
AFLgo;pdftops;9;1651;3;0.019108796;0.002570694;330207
AFLgo;pdftops;10;292;527;0.00337963;0.451585261;112066
AFLgo;pdftops;11;8380;526;0.096990741;0.450728363;113680
AFLgo;pdftops;12;14190;2;0.164236111;0.001713796;204043
AFLgo;pdftops;13;2061;19;0.023854167;0.016281063;201262
AFLgo;pdftops;14;-;-;;;164563
AFLfast;pdftops;0;3156;1;0.036527778;0.000856898;79970
AFLfast;pdftops;1;3439;3;0.039803241;0.002570694;79946
AFLfast;pdftops;2;10719;22;0.1240625;0.018851757;214075
AFLfast;pdftops;3;10689;27;0.123715278;0.023136247;200581
AFLfast;pdftops;4;28759;34;0.332858796;0.029134533;126594
AFLfast;pdftops;5;3857;2;0.044641204;0.001713796;80445
AFLfast;pdftops;6;-;-;;;142826
AFLfast;pdftops;7;5398;3;0.062476852;0.002570694;58036
AFLfast;pdftops;8;63483;1;0.734756944;0.000856898;193275
AFLfast;pdftops;9;1484;3;0.017175926;0.002570694;583768
AFLfast;pdftops;10;11762;32;0.136134259;0.027420737;125490
AFLfast;pdftops;11;11582;37;0.134050926;0.031705227;127113
AFLfast;pdftops;12;62331;1;0.721423611;0.000856898;113142
AFLfast;pdftops;13;756;10;0.00875;0.00856898;271531
AFLfast;pdftops;14;-;-;;;201613
AFLplusplus;pdftops;0;136;88;0.001574074;0.075407027;14994
AFLplusplus;pdftops;1;553;56;0.006400463;0.04798629;22895
AFLplusplus;pdftops;2;128;97;0.001481481;0.083119109;14801
AFLplusplus;pdftops;3;171;46;0.001979167;0.039417309;16035
AFLplusplus;pdftops;4;119;266;0.001377315;0.227934876;12962
AFLplusplus;pdftops;5;110;91;0.001273148;0.077977721;14513
AFLplusplus;pdftops;6;206;72;0.002384259;0.061696658;15436
AFLplusplus;pdftops;7;581;62;0.006724537;0.053127678;20399
AFLplusplus;pdftops;8;1081;2;0.012511574;0.001713796;17017
AFLplusplus;pdftops;9;1498;2;0.017337963;0.001713796;17039
AFLplusplus;pdftops;10;213;13;0.002465278;0.011139674;14346
AFLplusplus;pdftops;11;348;4;0.004027778;0.003427592;14744
AFLplusplus;pdftops;12;271;38;0.003136574;0.032562125;11135
AFLplusplus;pdftops;13;267;41;0.003090278;0.035132819;10172
AFLplusplus;pdftops;14;63996;1;0.740694444;0.000856898;11764
fairfuzz;pdftops;0;-;-;;;2062110
fairfuzz;pdftops;1;1939;1;0.02244213;0.000856898;1346626
fairfuzz;pdftops;2;6258;22;0.072430556;0.018851757;2149687
fairfuzz;pdftops;3;6102;22;0.070625;0.018851757;1948484
fairfuzz;pdftops;4;11541;22;0.133576389;0.018851757;2077294
fairfuzz;pdftops;5;-;-;;;1971944
fairfuzz;pdftops;6;-;-;;;2036745
fairfuzz;pdftops;7;-;-;;;237185
fairfuzz;pdftops;8;-;-;;;1923583
fairfuzz;pdftops;9;822;2;0.009513889;0.001713796;1956627
fairfuzz;pdftops;10;11452;23;0.132546296;0.019708655;1974424
fairfuzz;pdftops;11;11343;24;0.131284722;0.020565553;2024751
fairfuzz;pdftops;12;-;-;;;1931909
fairfuzz;pdftops;13;896;12;0.01037037;0.010282776;16810
fairfuzz;pdftops;14;-;-;;;16299
learnafl;pdftops;0;1356;104;0.015694444;0.089117395;774302
learnafl;pdftops;1;91;288;0.001053241;0.246786632;693557
learnafl;pdftops;2;237;362;0.002743056;0.310197087;815391
learnafl;pdftops;3;404;218;0.004675926;0.18680377;795752
learnafl;pdftops;4;22;1167;0.00025463;1;692761
learnafl;pdftops;5;3211;20;0.037164352;0.017137961;675402
learnafl;pdftops;6;129;236;0.001493056;0.202227935;646900
learnafl;pdftops;7;145;354;0.001678241;0.303341902;590482
learnafl;pdftops;8;11;678;0.000127315;0.580976864;771752
learnafl;pdftops;9;542;58;0.006273148;0.049700086;1315939
learnafl;pdftops;10;56;1132;0.000648148;0.970008569;1015008
learnafl;pdftops;11;12;546;0.000138889;0.467866324;1010928
learnafl;pdftops;12;67;426;0.000775463;0.36503856;1131395
learnafl;pdftops;13;42;389;0.000486111;0.333333333;951224
learnafl;pdftops;14;-;-;;;-
mopt;pdftops;0;-;-;;;80584
mopt;pdftops;1;2850;2;0.032986111;0.001713796;80107
mopt;pdftops;2;7225;23;0.083622685;0.019708655;212720
mopt;pdftops;3;6973;21;0.080706019;0.017994859;202908
mopt;pdftops;4;16737;27;0.193715278;0.023136247;128012
mopt;pdftops;5;3132;1;0.03625;0.000856898;81012
mopt;pdftops;6;7452;2;0.08625;0.001713796;142689
mopt;pdftops;7;-;-;;;1145
mopt;pdftops;8;-;-;;;194186
mopt;pdftops;9;1295;4;0.014988426;0.003427592;570752
mopt;pdftops;10;15171;27;0.175590278;0.023136247;127229
mopt;pdftops;11;11235;26;0.130034722;0.022279349;126594
mopt;pdftops;12;10939;1;0.126608796;0.000856898;113072
mopt;pdftops;13;1321;8;0.015289352;0.006855184;267994
mopt;pdftops;14;-;-;;;201429
superion;pdftops;0;-;-;;;27235
superion;pdftops;1;5759;4;0.066655093;0.003427592;165121
superion;pdftops;2;667;1;0.007719907;0.000856898;27235
superion;pdftops;3;60036;2;0.694861111;0.001713796;163492
superion;pdftops;4;-;-;;;27235
superion;pdftops;5;471;8;0.005451389;0.006855184;161701
superion;pdftops;6;40;1;0.000462963;0.000856898;27235
superion;pdftops;7;47280;5;0.547222222;0.00428449;163124
superion;pdftops;8;-;-;;;27235
superion;pdftops;9;53516;6;0.619398148;0.005141388;163556
superion;pdftops;10;-;-;;;27235
superion;pdftops;11;53641;5;0.620844907;0.00428449;161126
superion;pdftops;12;-;-;;;27235
superion;pdftops;13;-;-;;;158288
superion;pdftops;14;-;-;;;27235
