Algorithm;Code;Repetition;Time_min;Bugs;Time_min_norm;Bugs_norm;Exec
AFLgo;pdftotext;0;6702;5;0.077569444;0.026737968;726884
AFLgo;pdftotext;1;-;-;;;496169
AFLgo;pdftotext;2;2943;123;0.0340625;0.657754011;904029
AFLgo;pdftotext;3;17573;61;0.203391204;0.326203209;861380
AFLgo;pdftotext;4;6883;106;0.079664352;0.56684492;532407
AFLgo;pdftotext;5;-;-;;;490232
AFLgo;pdftotext;6;-;-;;;654535
AFLgo;pdftotext;7;-;-;;;322400
AFLgo;pdftotext;8;52764;1;0.610694444;0.005347594;689666
AFLgo;pdftotext;9;39420;1;0.45625;0.005347594;1276243
AFLgo;pdftotext;10;721;70;0.008344907;0.374331551;964745
AFLgo;pdftotext;11;679;70;0.007858796;0.374331551;1008756
AFLgo;pdftotext;12;17990;61;0.208217593;0.326203209;837919
AFLgo;pdftotext;13;6806;110;0.078773148;0.588235294;539234
AFLgo;pdftotext;14;6762;106;0.078263889;0.56684492;547518
AFLfast;pdftotext;0;-;-;;;187144
AFLfast;pdftotext;1;-;-;;;187458
AFLfast;pdftotext;2;3129;22;0.036215278;0.117647059;429511
AFLfast;pdftotext;3;6327;10;0.073229167;0.053475936;407732
AFLfast;pdftotext;4;7780;21;0.090046296;0.112299465;211679
AFLfast;pdftotext;5;-;-;;;185117
AFLfast;pdftotext;6;-;-;;;259335
AFLfast;pdftotext;7;-;-;;;125782
AFLfast;pdftotext;8;-;-;;;294571
AFLfast;pdftotext;9;19007;4;0.219988426;0.021390374;768296
AFLfast;pdftotext;10;650;24;0.007523148;0.128342246;486334
AFLfast;pdftotext;11;631;24;0.007303241;0.128342246;509408
AFLfast;pdftotext;12;6126;10;0.070902778;0.053475936;399403
AFLfast;pdftotext;13;7292;14;0.084398148;0.07486631;213176
AFLfast;pdftotext;14;7512;20;0.086944444;0.106951872;207995
AFLplusplus;pdftotext;0;2435;6;0.02818287;0.032085561;195356
AFLplusplus;pdftotext;1;528;18;0.006111111;0.096256684;166043
AFLplusplus;pdftotext;2;2276;5;0.026342593;0.026737968;149663
AFLplusplus;pdftotext;3;-;-;;;151033
AFLplusplus;pdftotext;4;3813;2;0.044131944;0.010695187;120742
AFLplusplus;pdftotext;5;1182;24;0.013680556;0.128342246;147609
AFLplusplus;pdftotext;6;6059;2;0.070127315;0.010695187;116909
AFLplusplus;pdftotext;7;-;-;;;111625
AFLplusplus;pdftotext;8;2255;3;0.026099537;0.016042781;116553
AFLplusplus;pdftotext;9;5522;1;0.063912037;0.005347594;195260
AFLplusplus;pdftotext;10;2199;3;0.025451389;0.016042781;108336
AFLplusplus;pdftotext;11;1005;15;0.011631944;0.080213904;122207
AFLplusplus;pdftotext;12;1656;2;0.019166667;0.010695187;131315
AFLplusplus;pdftotext;13;2726;4;0.031550926;0.021390374;124656
AFLplusplus;pdftotext;14;1987;17;0.022997685;0.090909091;148483
fairfuzz;pdftotext;0;-;-;;;582920
fairfuzz;pdftotext;1;-;-;;;247834
fairfuzz;pdftotext;2;2741;26;0.031724537;0.139037433;591545
fairfuzz;pdftotext;3;6304;15;0.072962963;0.080213904;537565
fairfuzz;pdftotext;4;7376;34;0.08537037;0.181818182;283163
fairfuzz;pdftotext;5;-;-;;;244780
fairfuzz;pdftotext;6;-;-;;;361679
fairfuzz;pdftotext;7;-;-;;;167901
fairfuzz;pdftotext;8;81948;1;0.948472222;0.005347594;367118
fairfuzz;pdftotext;9;22944;1;0.265555556;0.005347594;852846
fairfuzz;pdftotext;10;594;30;0.006875;0.160427807;663873
fairfuzz;pdftotext;11;579;32;0.006701389;0.171122995;675933
fairfuzz;pdftotext;12;6024;16;0.069722222;0.085561497;541245
fairfuzz;pdftotext;13;7069;21;0.08181713;0.112299465;279136
fairfuzz;pdftotext;14;7135;34;0.082581019;0.181818182;277643
learnafl;pdftotext;0;6222;32;0.072013889;0.171122995;623572
learnafl;pdftotext;1;720;187;0.008333333;1;528298
learnafl;pdftotext;2;5841;33;0.067604167;0.176470588;556016
learnafl;pdftotext;3;1073;169;0.012418981;0.903743316;533366
learnafl;pdftotext;4;212;37;0.002453704;0.197860963;504432
learnafl;pdftotext;5;1241;31;0.014363426;0.165775401;451753
learnafl;pdftotext;6;2299;18;0.026608796;0.096256684;452626
learnafl;pdftotext;7;197;25;0.002280093;0.13368984;430427
learnafl;pdftotext;8;3007;57;0.034803241;0.304812834;528292
learnafl;pdftotext;9;3220;13;0.037268519;0.069518717;625329
learnafl;pdftotext;10;767;168;0.008877315;0.898395722;508978
learnafl;pdftotext;11;1216;173;0.014074074;0.92513369;535227
learnafl;pdftotext;12;6024;16;0.069722222;0.085561497;-
learnafl;pdftotext;13;60;181;0.000694444;0.967914439;539303
learnafl;pdftotext;14;1200;25;0.013888889;0.13368984;558590
mopt;pdftotext;0;9836;3;0.113842593;0.016042781;1112670
mopt;pdftotext;1;-;-;;;257737
mopt;pdftotext;2;4028;28;0.04662037;0.14973262;613359
mopt;pdftotext;3;7824;16;0.090555556;0.085561497;608200
mopt;pdftotext;4;9858;36;0.114097222;0.192513369;302048
mopt;pdftotext;5;-;-;;;261943
