Algorithm;Code;Repetition;Time_min;Bugs;Time_min_norm;Bugs_norm;Exec
AFLgo;pngtest;0;18648;7;0.215833333;0.014;938072
AFLgo;pngtest;1;-;-;;;1088409
AFLgo;pngtest;2;17717;21;0.20505787;0.042;1018781
AFLgo;pngtest;3;-;-;;;1098277
AFLgo;pngtest;4;23773;1;0.275150463;0.002;916795
AFLgo;pngtest;5;-;-;;;1053115
AFLgo;pngtest;6;7734;7;0.089513889;0.014;750165
AFLgo;pngtest;7;-;-;;;1050394
AFLgo;pngtest;8;-;-;;;921863
AFLgo;pngtest;9;9703;45;0.112303241;0.09;1009357
AFLgo;pngtest;10;15142;5;0.17525463;0.01;894535
AFLgo;pngtest;11;19762;2;0.228726852;0.004;757991
AFLgo;pngtest;12;-;-;;;1008164
AFLgo;pngtest;13;6797;10;0.078668981;0.02;1101379
AFLgo;pngtest;14;577;3;0.006678241;0.006;949402
AFLfast;pngtest;0;-;-;;;5024744
AFLfast;pngtest;1;-;-;;;4770577
AFLfast;pngtest;2;-;-;;;5436006
AFLfast;pngtest;3;-;-;;;4152212
AFLfast;pngtest;4;-;-;;;4722004
AFLfast;pngtest;5;-;-;;;5132926
AFLfast;pngtest;6;-;-;;;3588393
AFLfast;pngtest;7;-;-;;;3802897
AFLfast;pngtest;8;-;-;;;3752078
AFLfast;pngtest;9;-;-;;;3990430
AFLfast;pngtest;10;-;-;;;3667735
AFLfast;pngtest;11;-;-;;;3321965
AFLfast;pngtest;12;-;-;;;3995789
AFLfast;pngtest;13;-;-;;;-
AFLfast;pngtest;14;-;-;;;3716155
AFLplusplus;pngtest;0;-;-;;;300503
AFLplusplus;pngtest;1;-;-;;;305281
AFLplusplus;pngtest;2;-;-;;;301924
AFLplusplus;pngtest;3;-;-;;;312620
AFLplusplus;pngtest;4;-;-;;;291362
AFLplusplus;pngtest;5;-;-;;;298234
AFLplusplus;pngtest;6;-;-;;;294772
AFLplusplus;pngtest;7;-;-;;;302119
AFLplusplus;pngtest;8;-;-;;;302236
AFLplusplus;pngtest;9;-;-;;;311555
AFLplusplus;pngtest;10;-;-;;;298771
AFLplusplus;pngtest;11;-;-;;;293717
AFLplusplus;pngtest;12;-;-;;;302365
AFLplusplus;pngtest;13;-;-;;;307835
AFLplusplus;pngtest;14;-;-;;;302595
fairfuzz;pngtest;0;16979;2;0.196516204;0.004;3617827
fairfuzz;pngtest;1;2564;3;0.029675926;0.006;3676154
fairfuzz;pngtest;2;53;25;0.000613426;0.05;3772691
fairfuzz;pngtest;3;4743;1;0.054895833;0.002;4200890
fairfuzz;pngtest;4;3721;2;0.04306713;0.004;3126716
fairfuzz;pngtest;5;-;-;;;3383227
fairfuzz;pngtest;6;14652;2;0.169583333;0.004;2674637
fairfuzz;pngtest;7;19518;1;0.225902778;0.002;2749196
fairfuzz;pngtest;8;435;3;0.005034722;0.006;2882618
fairfuzz;pngtest;9;1271;6;0.014710648;0.012;3009022
fairfuzz;pngtest;10;7377;2;0.085381944;0.004;-
fairfuzz;pngtest;11;3053;3;0.035335648;0.006;2635314
fairfuzz;pngtest;12;3031;4;0.035081019;0.008;2827700
fairfuzz;pngtest;13;13465;8;0.155844907;0.016;2662447
fairfuzz;pngtest;14;3764;4;0.043564815;0.008;2654480
learnafl;pngtest;0;3978;500;0.046041667;1;2679021
learnafl;pngtest;1;8023;500;0.092858796;1;1872646
learnafl;pngtest;2;43042;349;0.498171296;0.698;1985583
learnafl;pngtest;3;43100;157;0.498842593;0.314;1974123
learnafl;pngtest;4;28603;294;0.331053241;0.588;1753958
learnafl;pngtest;5;42742;235;0.494699074;0.47;1769710
learnafl;pngtest;6;43260;201;0.500694444;0.402;2690423
learnafl;pngtest;7;42750;63;0.494791667;0.126;2741127
learnafl;pngtest;8;42946;106;0.497060185;0.212;270736
learnafl;pngtest;9;43270;59;0.500810185;0.118;269351
learnafl;pngtest;10;43668;159;0.505416667;0.318;1772069
learnafl;pngtest;11;43484;36;0.503287037;0.072;1703916
learnafl;pngtest;12;42337;89;0.490011574;0.178;1779237
learnafl;pngtest;13;45869;43;0.530891204;0.086;1767992
learnafl;pngtest;14;45148;46;0.522546296;0.092;1742088
mopt;pngtest;0;-;-;;;1979920
mopt;pngtest;1;-;-;;;2377303
mopt;pngtest;2;-;-;;;2481836
mopt;pngtest;3;-;-;;;2368990
mopt;pngtest;4;-;-;;;2456537
mopt;pngtest;5;-;-;;;2409928
mopt;pngtest;6;-;-;;;2036143
mopt;pngtest;7;-;-;;;2410488
mopt;pngtest;8;-;-;;;2273420
mopt;pngtest;9;-;-;;;2446377
mopt;pngtest;10;-;-;;;2139569
mopt;pngtest;11;-;-;;;1970559
mopt;pngtest;12;-;-;;;2358485
mopt;pngtest;13;-;-;;;2397363
mopt;pngtest;14;-;-;;;2268442
superion;pngtest;0;6300;15;0.072916667;0.03;237796
superion;pngtest;1;4881;16;0.056493056;0.032;336267
superion;pngtest;2;4801;2;0.05556713;0.004;242910
superion;pngtest;3;4693;14;0.05431713;0.028;169606
superion;pngtest;4;6638;7;0.076828704;0.014;821773
superion;pngtest;5;-;-;;;788404
superion;pngtest;6;4276;5;0.049490741;0.01;949280
superion;pngtest;7;-;-;;;960367
superion;pngtest;8;4350;1;0.050347222;0.002;741464
superion;pngtest;9;5031;4;0.058229167;0.008;484501
superion;pngtest;10;6343;2;0.073414352;0.004;522541
superion;pngtest;11;6300;1;0.072916667;0.002;676867
superion;pngtest;12;7831;1;0.090636574;0.002;451741
superion;pngtest;13;-;-;;;833668
superion;pngtest;14;4079;1;0.047210648;0.002;691424
