Algorithm;Code;Repetition;Time_min;Bugs;Time_min_norm;Bugs_norm;Exec
AFLgo;size;0;-;-;;;3913365
AFLgo;size;1;27020;1;0.312731481;0.2;3683579
AFLgo;size;2;-;-;;;4463677
AFLgo;size;3;-;-;;;4478503
AFLgo;size;4;-;-;;;4480935
AFLgo;size;5;19260;1;0.222916667;0.2;4287277
AFLgo;size;6;-;-;;;2494141
AFLgo;size;7;78764;1;0.91162037;0.2;4622815
AFLgo;size;8;-;-;;;3999151
AFLgo;size;9;-;-;;;1885273
AFLgo;size;10;-;-;;;1883754
AFLgo;size;11;-;-;;;4407244
AFLgo;size;12;-;-;;;4535946
AFLgo;size;13;-;-;;;2617282
AFLgo;size;14;-;-;;;4123554
AFLfast;size;0;50742;1;0.587291667;0.2;2927851
AFLfast;size;1;59304;1;0.686388889;0.2;3027736
AFLfast;size;2;75494;1;0.873773148;0.2;3427034
AFLfast;size;3;-;-;;;3351515
AFLfast;size;4;-;-;;;3360507
AFLfast;size;5;-;-;;;3202846
AFLfast;size;6;-;-;;;1892292
AFLfast;size;7;-;-;;;2004325
AFLfast;size;8;-;-;;;2935566
AFLfast;size;9;-;-;;;1451219
AFLfast;size;10;-;-;;;1496213
AFLfast;size;11;-;-;;;3347778
AFLfast;size;12;-;-;;;3542282
AFLfast;size;13;-;-;;;20001609
AFLfast;size;14;49033;1;0.567511574;0.2;3146822
AFLplusplus;size;0;401;1;0.004641204;0.2;1784000
AFLplusplus;size;1;637;2;0.007372685;0.4;1694982
AFLplusplus;size;2;-;-;;;1342261
AFLplusplus;size;3;22450;1;0.259837963;0.2;1396838
AFLplusplus;size;4;17916;1;0.207361111;0.2;1418180
AFLplusplus;size;5;11412;1;0.132083333;0.2;1313629
AFLplusplus;size;6;3470;1;0.040162037;0.2;1330420
AFLplusplus;size;7;1190;1;0.013773148;0.2;1315008
AFLplusplus;size;8;48121;1;0.556956019;0.2;1211113
AFLplusplus;size;9;10444;1;0.12087963;0.2;1283751
AFLplusplus;size;10;2202;5;0.025486111;1;1344051
AFLplusplus;size;11;27496;1;0.318240741;0.2;1350894
AFLplusplus;size;12;169;5;0.001956019;1;1312784
AFLplusplus;size;13;-;-;;;1311801
AFLplusplus;size;14;13440;1;0.155555556;0.2;1468133
fairfuzz;size;0;;;0;0;5424907
fairfuzz;size;1;61187;4;0.70818287;0.8;5756978
fairfuzz;size;2;-;-;;;6298416
fairfuzz;size;3;-;-;;;6481831
fairfuzz;size;4;-;-;;;6538195
fairfuzz;size;5;-;-;;;6243567
fairfuzz;size;6;-;-;;;3621182
fairfuzz;size;7;82186;1;0.951226852;0.2;3811458
fairfuzz;size;8;-;-;;;5751654
fairfuzz;size;9;-;-;;;2773612
fairfuzz;size;10;-;-;;;2833100
fairfuzz;size;11;-;-;;;3426058
fairfuzz;size;12;51466;1;0.595671296;0.2;6250561
fairfuzz;size;13;57512;1;0.665648148;0.2;3803364
fairfuzz;size;14;-;-;;;5894682
learnafl;size;0;-;-;;;1085824
learnafl;size;1;-;-;;;252258
learnafl;size;2;-;-;;;1746578
learnafl;size;3;-;-;;;831970
learnafl;size;4;-;-;;;1758542
learnafl;size;5;-;-;;;916514
learnafl;size;6;-;-;;;213966
learnafl;size;7;-;-;;;190120
learnafl;size;8;-;-;;;909939
learnafl;size;9;-;-;;;172113
learnafl;size;10;-;-;;;210666
learnafl;size;11;-;-;;;196389
learnafl;size;12;-;-;;;455822
learnafl;size;13;-;-;;;260034
learnafl;size;14;-;-;;;404312
mopt;size;0;-;-;;;4561617
mopt;size;1;-;-;;;4817492
mopt;size;2;-;-;;;5111602
mopt;size;3;-;-;;;4834482
mopt;size;4;-;-;;;4847851
mopt;size;5;-;-;;;4636421
mopt;size;6;-;-;;;2826703
mopt;size;7;-;-;;;2972561
mopt;size;8;-;-;;;5173604
mopt;size;9;-;-;;;2099425
mopt;size;10;-;-;;;2183366
mopt;size;11;-;-;;;4647188
mopt;size;12;-;-;;;4995937
mopt;size;13;-;-;;;2883136
mopt;size;14;-;-;;;4466824
superion;size;0;-;-;;;2432164
superion;size;1;-;-;;;2344005
superion;size;2;-;-;;;2421357
superion;size;3;-;-;;;2569339
superion;size;4;-;-;;;2553490
superion;size;5;84819;2;0.981701389;0.4;2431969
superion;size;6;-;-;;;2397798
superion;size;7;-;-;;;2431781
superion;size;8;-;-;;;2526502
superion;size;9;-;-;;;2479790
superion;size;10;-;-;;;2422114
superion;size;11;-;-;;;2428779
superion;size;12;-;-;;;2451257
superion;size;13;-;-;;;2479893
superion;size;14;-;-;;;2482925
