Algorithm;Code;Repetition;Time_min;Bugs;Time_min_norm;Bugs_norm;Exec
AFLgo;strings;0;6539;11;0.07568287;1;24358
AFLgo;strings;1;21668;1;0.250787037;0.090909091;291366
AFLgo;strings;2;-;-;;;443336
AFLgo;strings;3;18715;1;0.216608796;0.090909091;168859
AFLgo;strings;4;-;-;;;423077
AFLgo;strings;5;16881;2;0.195381944;0.181818182;48774
AFLgo;strings;6;-;-;;;867252
AFLgo;strings;7;12065;1;0.139641204;0.090909091;32687
AFLgo;strings;8;-;-;;;155729
AFLgo;strings;9;-;-;;;929445
AFLgo;strings;10;-;-;;;494768
AFLgo;strings;11;33298;1;0.385393519;0.090909091;84862
AFLgo;strings;12;-;-;;;110046
AFLgo;strings;13;-;-;;;1092975
AFLgo;strings;14;-;-;;;478382
AFLfast;strings;0;14259;3;0.165034722;0.272727273;47230
AFLfast;strings;1;14251;2;0.16494213;0.181818182;437855
AFLfast;strings;2;64957;2;0.75181713;0.181818182;908547
AFLfast;strings;3;14188;1;0.164212963;0.090909091;348604
AFLfast;strings;4;14203;2;0.164386574;0.181818182;808444
AFLfast;strings;5;77340;1;0.895138889;0.090909091;1159855
AFLfast;strings;6;77327;1;0.894988426;0.090909091;1642949
AFLfast;strings;7;14119;2;0.163414352;0.181818182;227261
AFLfast;strings;8;14097;2;0.163159722;0.181818182;805850
AFLfast;strings;9;52372;2;0.606157407;0.181818182;996785
AFLfast;strings;10;14076;3;0.162916667;0.272727273;1049790
AFLfast;strings;11;64653;1;0.748298611;0.090909091;1042678
AFLfast;strings;12;52991;2;0.613321759;0.181818182;899493
AFLfast;strings;13;-;-;;;2103185
AFLfast;strings;14;64623;1;0.747951389;0.090909091;1019800
AFLplusplus;strings;0;-;-;;;905282
AFLplusplus;strings;1;149;1;0.001724537;0.090909091;625128
AFLplusplus;strings;2;-;-;;;528044
AFLplusplus;strings;3;-;-;;;788536
AFLplusplus;strings;4;-;-;;;929070
AFLplusplus;strings;5;-;-;;;729546
AFLplusplus;strings;6;-;-;;;272196
AFLplusplus;strings;7;67;5;0.000775463;0.454545455;527296
AFLplusplus;strings;8;157;8;0.00181713;0.727272727;708478
AFLplusplus;strings;9;-;-;;;669831
AFLplusplus;strings;10;-;-;;;319133
AFLplusplus;strings;11;-;-;;;260184
AFLplusplus;strings;12;2504;9;0.028981481;0.818181818;313845
AFLplusplus;strings;13;151;8;0.001747685;0.727272727;394168
AFLplusplus;strings;14;348;6;0.004027778;0.545454545;461008
fairfuzz;strings;0;43079;3;0.498599537;0.272727273;2062110
fairfuzz;strings;1;45429;2;0.525798611;0.181818182;1346626
fairfuzz;strings;2;52318;2;0.605532407;0.181818182;2149687
fairfuzz;strings;3;46922;1;0.543078704;0.090909091;1948484
fairfuzz;strings;4;-;-;;;2077294
fairfuzz;strings;5;83589;1;0.967465278;0.090909091;1971944
fairfuzz;strings;6;50332;1;0.582546296;0.090909091;2036745
fairfuzz;strings;7;47667;2;0.551701389;0.181818182;237185
fairfuzz;strings;8;42417;1;0.4909375;0.090909091;1923583
fairfuzz;strings;9;52372;2;0.606157407;0.181818182;1956627
fairfuzz;strings;10;42050;3;0.486689815;0.272727273;1974424
fairfuzz;strings;11;52942;1;0.61275463;0.090909091;2024751
fairfuzz;strings;12;52017;2;0.602048611;0.181818182;1931909
fairfuzz;strings;13;-;-;;;2096862
fairfuzz;strings;14;-;-;;;2158356
learnafl;strings;0;43079;3;0.498599537;0.272727273;50738
learnafl;strings;1;45429;2;0.525798611;0.181818182;1762847
learnafl;strings;2;52318;2;0.605532407;0.181818182;2653553
learnafl;strings;3;46922;1;0.543078704;0.090909091;1383441
learnafl;strings;4;-;-;;;4130917
learnafl;strings;5;83589;1;0.967465278;0.090909091;3544333
learnafl;strings;6;55035;1;0.636979167;0.090909091;2109524
learnafl;strings;7;47667;2;0.551701389;0.181818182;644274
learnafl;strings;8;42417;1;0.4909375;0.090909091;2992985
learnafl;strings;9;52372;2;0.606157407;0.181818182;2491434
learnafl;strings;10;42050;3;0.486689815;0.272727273;3850527
learnafl;strings;11;52942;1;0.61275463;0.090909091;1091788
learnafl;strings;12;46969;2;0.543622685;0.181818182;595474
learnafl;strings;13;-;-;;;640631
learnafl;strings;14;-;-;;;2367647
mopt;strings;0;-;-;;;37129
mopt;strings;1;-;-;;;342796
mopt;strings;2;-;-;;;701195
mopt;strings;3;-;-;;;271807
mopt;strings;4;-;-;;;625653
mopt;strings;5;-;-;;;887200
mopt;strings;6;-;-;;;872333
mopt;strings;7;-;-;;;180129
mopt;strings;8;-;-;;;372979
mopt;strings;9;-;-;;;681673
mopt;strings;10;-;-;;;802078
mopt;strings;11;-;-;;;799448
mopt;strings;12;-;-;;;177924
mopt;strings;13;-;-;;;1249810
mopt;strings;14;-;-;;;780221
superion;strings;0;57364;2;0.663935185;0.181818182;913830
superion;strings;1;60808;1;0.703796296;0.090909091;1152780
superion;strings;2;-;-;;;1078122
superion;strings;3;-;-;;;1228668
superion;strings;4;-;-;;;1386659
superion;strings;5;-;-;;;540997
superion;strings;6;-;-;;;1135415
superion;strings;7;-;-;;;375040
superion;strings;8;66297;1;0.767326389;0.090909091;1088523
superion;strings;9;-;-;;;1124249
superion;strings;10;-;-;;;778588
superion;strings;11;-;-;;;935643
superion;strings;12;41874;2;0.484652778;0.181818182;1013509
superion;strings;13;-;-;;;1403326
superion;strings;14;-;-;;;1102367
