Algorithm	Code	Repetition	Time_min	Bugs	Time_min_norm	Bugs_norm	Exec
AFLgo	tcpdump	0	44323	1	0.512997685	0.5	154143
AFLgo	tcpdump	1	-	-			8451272
AFLgo	tcpdump	2	-	-			8274927
AFLgo	tcpdump	3	-	-			8608898
AFLgo	tcpdump	4	-	-			8234964
AFLgo	tcpdump	5	-	-			8614774
AFLgo	tcpdump	6	-	-			8429740
AFLgo	tcpdump	7	-	-			8221132
AFLgo	tcpdump	8	-	-			8542133
AFLgo	tcpdump	9	-	-			8282675
AFLgo	tcpdump	10	-	-			7091417
AFLgo	tcpdump	11	-	-			6860630
AFLgo	tcpdump	12	-	-			7191692
AFLgo	tcpdump	13	-	-			7058302
AFLgo	tcpdump	14	-	-			6909540
AFLfast	tcpdump	0	-	-			-
AFLfast	tcpdump	1	-	-			-
AFLfast	tcpdump	2	-	-			-
AFLfast	tcpdump	3	-	-			-
AFLfast	tcpdump	4	-	-			-
AFLfast	tcpdump	5	-	-			-
AFLfast	tcpdump	6	-	-			-
AFLfast	tcpdump	7	-	-			-
AFLfast	tcpdump	8	-	-			-
AFLfast	tcpdump	9	-	-			-
AFLfast	tcpdump	10	-	-			-
AFLfast	tcpdump	11	-	-			-
AFLfast	tcpdump	12	-	-			-
AFLfast	tcpdump	13	-	-			-
AFLfast	tcpdump	14	-	-			-
AFLplusplus	tcpdump	0	-	-			292631
AFLplusplus	tcpdump	1	-	-			332919
AFLplusplus	tcpdump	2	-	-			326197
AFLplusplus	tcpdump	3	-	-			324582
AFLplusplus	tcpdump	4	-	-			312048
AFLplusplus	tcpdump	5	-	-			322283
AFLplusplus	tcpdump	6	-	-			86812
AFLplusplus	tcpdump	7	-	-			297959
AFLplusplus	tcpdump	8	-	-			333396
AFLplusplus	tcpdump	9	-	-			328664
AFLplusplus	tcpdump	10	-	-			321726
AFLplusplus	tcpdump	11	-	-			326752
AFLplusplus	tcpdump	12	-	-			329929
AFLplusplus	tcpdump	13	-	-			336845
AFLplusplus	tcpdump	14	-	-			330604
fairfuzz	tcpdump	0	-	-			178390
fairfuzz	tcpdump	1	-	-			178429
fairfuzz	tcpdump	2	-	-			178348
fairfuzz	tcpdump	3	-	-			-
fairfuzz	tcpdump	4	-	-			178166
fairfuzz	tcpdump	5	-	-			178094
fairfuzz	tcpdump	6	-	-			178191
fairfuzz	tcpdump	7	-	-			177992
fairfuzz	tcpdump	8	-	-			177414
fairfuzz	tcpdump	9	-	-			176023
fairfuzz	tcpdump	10	-	-			175956
fairfuzz	tcpdump	11	-	-			175964
fairfuzz	tcpdump	12	-	-			175966
fairfuzz	tcpdump	13	-	-			175926
fairfuzz	tcpdump	14	-	-			170058
learnafl	tcpdump	0	-	-			173095
learnafl	tcpdump	1	-	-			166375
learnafl	tcpdump	2	-	-			166371
learnafl	tcpdump	3	-	-			166475
learnafl	tcpdump	4	-	-			166344
learnafl	tcpdump	5	-	-			166219
learnafl	tcpdump	6	-	-			166229
learnafl	tcpdump	7	-	-			166240
learnafl	tcpdump	8	-	-			166276
learnafl	tcpdump	9	-	-			165896
learnafl	tcpdump	10	-	-			132836
learnafl	tcpdump	11	-	-			165840
learnafl	tcpdump	12	-	-			165725
learnafl	tcpdump	13	-	-			165754
learnafl	tcpdump	14	-	-			165717
mopt	tcpdump	0	-	-			215653
mopt	tcpdump	1	-	-			215621
mopt	tcpdump	2	-	-			215631
mopt	tcpdump	3	-	-			215619
mopt	tcpdump	4	-	-			215497
mopt	tcpdump	5	-	-			215546
mopt	tcpdump	6	-	-			515475
mopt	tcpdump	7	-	-			215482
mopt	tcpdump	8	-	-			215462
mopt	tcpdump	9	-	-			215371
mopt	tcpdump	10	-	-			123266
mopt	tcpdump	11	-	-			215353
mopt	tcpdump	12	76044	1	0.880138889	0.5	215223
mopt	tcpdump	13	77976	2	0.9025	1	215239
mopt	tcpdump	14	-	-			215221
superion	tcpdump	0	-	-			120117
superion	tcpdump	1	-	-			94427
superion	tcpdump	2	-	-			123318
superion	tcpdump	3	-	-			132301
superion	tcpdump	4	-	-			165429
superion	tcpdump	5	-	-			165543
superion	tcpdump	6	-	-			165462
superion	tcpdump	7	-	-			165515
superion	tcpdump	8	-	-			165509
superion	tcpdump	9	-	-			165543
superion	tcpdump	10	-	-			165512
superion	tcpdump	11	-	-			133418
superion	tcpdump	12	-	-			146621
superion	tcpdump	13	-	-			165633
superion	tcpdump	14	-	-			165645
