Algorithm;Code;Repetition;Time_min;Bugs;Time_min_norm;Bugs_norm;Exec
AFLgo;tiffsplit;0;950;48;0.01099537;0.103448276;2904065
AFLgo;tiffsplit;1;9393;48;0.108715278;0.103448276;2517818
AFLgo;tiffsplit;2;4493;8;0.052002315;0.017241379;935962
AFLgo;tiffsplit;3;2916;103;0.03375;0.221982759;3102090
AFLgo;tiffsplit;4;-;-;;;662848
AFLgo;tiffsplit;5;1573;56;0.018206019;0.120689655;3166930
AFLgo;tiffsplit;6;1925;45;0.022280093;0.096982759;2984665
AFLgo;tiffsplit;7;5167;53;0.059803241;0.114224138;3008737
AFLgo;tiffsplit;8;96;156;0.001111111;0.336206897;2968330
AFLgo;tiffsplit;9;8710;87;0.100810185;0.1875;2431748
AFLgo;tiffsplit;10;249;105;0.002881944;0.226293103;2753251
AFLgo;tiffsplit;11;4269;63;0.049409722;0.135775862;2821230
AFLgo;tiffsplit;12;3912;98;0.045277778;0.211206897;2807517
AFLgo;tiffsplit;13;4013;61;0.046446759;0.131465517;2545251
AFLgo;tiffsplit;14;1857;113;0.021493056;0.243534483;2802818
AFLfast;tiffsplit;0;3693;94;0.042743056;0.202586207;2260020
AFLfast;tiffsplit;1;2177;38;0.025196759;0.081896552;2198031
AFLfast;tiffsplit;2;2873;111;0.033252315;0.239224138;2161735
AFLfast;tiffsplit;3;1481;114;0.017141204;0.245689655;2144074
AFLfast;tiffsplit;4;-;-;;;461992
AFLfast;tiffsplit;5;1418;67;0.016412037;0.144396552;2173448
AFLfast;tiffsplit;6;1267;42;0.014664352;0.090517241;2323770
AFLfast;tiffsplit;7;8079;50;0.093506944;0.107758621;2091361
AFLfast;tiffsplit;8;3009;91;0.034826389;0.19612069;1977750
AFLfast;tiffsplit;9;4809;48;0.055659722;0.103448276;2009145
AFLfast;tiffsplit;10;4239;29;0.0490625;0.0625;2224317
AFLfast;tiffsplit;11;3665;37;0.042418981;0.079741379;2031805
AFLfast;tiffsplit;12;3146;100;0.036412037;0.215517241;2078153
AFLfast;tiffsplit;13;-;-;;;3422858
AFLfast;tiffsplit;14;1384;109;0.016018519;0.234913793;2051699
AFLplusplus;tiffsplit;0;605;14;0.007002315;0.030172414;236765
AFLplusplus;tiffsplit;1;1380;14;0.015972222;0.030172414;230031
AFLplusplus;tiffsplit;2;761;59;0.00880787;0.127155172;227400
AFLplusplus;tiffsplit;3;777;58;0.008993056;0.125;244956
AFLplusplus;tiffsplit;4;914;21;0.010578704;0.045258621;243823
AFLplusplus;tiffsplit;5;672;25;0.007777778;0.05387931;244959
AFLplusplus;tiffsplit;6;1410;37;0.016319444;0.079741379;241249
AFLplusplus;tiffsplit;7;2151;22;0.024895833;0.047413793;252479
AFLplusplus;tiffsplit;8;436;35;0.005046296;0.075431034;245107
AFLplusplus;tiffsplit;9;138;50;0.001597222;0.107758621;244174
AFLplusplus;tiffsplit;10;235;51;0.002719907;0.109913793;249373
AFLplusplus;tiffsplit;11;356;33;0.00412037;0.07112069;268294
AFLplusplus;tiffsplit;12;213;53;0.002465278;0.114224138;251555
AFLplusplus;tiffsplit;13;1169;18;0.013530093;0.038793103;257291
AFLplusplus;tiffsplit;14;302;63;0.00349537;0.135775862;263961
fairfuzz;tiffsplit;0;2870;49;0.033217593;0.105603448;2623672
fairfuzz;tiffsplit;1;1548;78;0.017916667;0.168103448;2742770
fairfuzz;tiffsplit;2;2226;7;0.025763889;0.015086207;998650
fairfuzz;tiffsplit;3;1102;225;0.01275463;0.484913793;2609329
fairfuzz;tiffsplit;4;83271;1;0.963784722;0.002155172;821728
fairfuzz;tiffsplit;5;1400;149;0.016203704;0.32112069;2674120
fairfuzz;tiffsplit;6;883;115;0.010219907;0.247844828;2838407
fairfuzz;tiffsplit;7;7168;110;0.082962963;0.237068966;2390474
fairfuzz;tiffsplit;8;3730;49;0.043171296;0.105603448;2688717
fairfuzz;tiffsplit;9;3835;83;0.044386574;0.17887931;2837115
fairfuzz;tiffsplit;10;3896;57;0.045092593;0.122844828;2753251
fairfuzz;tiffsplit;11;1924;95;0.022268519;0.204741379;2773076
fairfuzz;tiffsplit;12;3400;95;0.039351852;0.204741379;2603086
fairfuzz;tiffsplit;13;1835;58;0.021238426;0.125;2499088
fairfuzz;tiffsplit;14;3152;129;0.036481481;0.278017241;2565028
learnafl;tiffsplit;0;378;160;0.004375;0.344827586;3977593
learnafl;tiffsplit;1;1508;166;0.017453704;0.357758621;3938464
learnafl;tiffsplit;2;2137;258;0.024733796;0.556034483;3834218
learnafl;tiffsplit;3;664;262;0.007685185;0.564655172;3974653
learnafl;tiffsplit;4;2583;158;0.029895833;0.340517241;3828011
learnafl;tiffsplit;5;360;149;0.004166667;0.32112069;3876347
learnafl;tiffsplit;6;1581;181;0.018298611;0.390086207;4192930
learnafl;tiffsplit;7;718;202;0.008310185;0.435344828;3992756
learnafl;tiffsplit;8;1753;352;0.020289352;0.75862069;8951351
learnafl;tiffsplit;9;1587;178;0.018368056;0.38362069;3877998
learnafl;tiffsplit;10;1080;276;0.0125;0.594827586;4290157
learnafl;tiffsplit;11;74;217;0.000856481;0.467672414;3772847
learnafl;tiffsplit;12;535;192;0.00619213;0.413793103;4114733
learnafl;tiffsplit;13;784;141;0.009074074;0.30387931;3323951
learnafl;tiffsplit;14;252;197;0.002916667;0.424568966;3542487
mopt;tiffsplit;0;784;75;0.009074074;0.161637931;2193844
mopt;tiffsplit;1;1514;78;0.017523148;0.168103448;2300293
mopt;tiffsplit;2;3415;127;0.039525463;0.273706897;2078344
mopt;tiffsplit;3;713;464;0.008252315;1;20423708
mopt;tiffsplit;4;-;-;;;406210
mopt;tiffsplit;5;2406;164;0.027847222;0.353448276;2160748
mopt;tiffsplit;6;1583;120;0.018321759;0.25862069;2204127
mopt;tiffsplit;7;5604;142;0.064861111;0.306034483;2077088
mopt;tiffsplit;8;4098;77;0.047430556;0.165948276;1975208
mopt;tiffsplit;9;2499;173;0.028923611;0.372844828;2156070
mopt;tiffsplit;10;4201;63;0.048622685;0.135775862;2025069
mopt;tiffsplit;11;3284;73;0.038009259;0.157327586;1862467
mopt;tiffsplit;12;6243;51;0.072256944;0.109913793;1884393
mopt;tiffsplit;13;3066;89;0.035486111;0.191810345;2161024
mopt;tiffsplit;14;1014;82;0.011736111;0.176724138;1526605
superion;tiffsplit;0;31;73;0.000358796;0.157327586;5377133
superion;tiffsplit;1;508;54;0.00587963;0.11637931;5388527
superion;tiffsplit;2;744;18;0.008611111;0.038793103;1777261
superion;tiffsplit;3;425;161;0.004918981;0.346982759;5170059
superion;tiffsplit;4;78641;8;0.910196759;0.017241379;1638614
superion;tiffsplit;5;255;107;0.002951389;0.230603448;5235630
superion;tiffsplit;6;645;64;0.007465278;0.137931034;5405348
superion;tiffsplit;7;1713;77;0.019826389;0.165948276;5440048
superion;tiffsplit;8;2491;98;0.028831019;0.211206897;5162043
superion;tiffsplit;9;1724;96;0.019953704;0.206896552;5129530
superion;tiffsplit;10;2713;62;0.031400463;0.13362069;5232452
superion;tiffsplit;11;2126;77;0.024606481;0.165948276;5187647
superion;tiffsplit;12;2013;92;0.023298611;0.198275862;5044794
superion;tiffsplit;13;2402;68;0.027800926;0.146551724;5198525
superion;tiffsplit;14;987;123;0.011423611;0.265086207;4936042
