Algorithm;Code;Repetition;Time_min;Bugs;Time_min_norm;Bugs_norm;Exec
AFLgo;xmlcatalog;0;-;-;;;5586013
AFLgo;xmlcatalog;1;-;-;;;5264491
AFLgo;xmlcatalog;2;-;-;;;5066188
AFLgo;xmlcatalog;3;-;-;;;5064290
AFLgo;xmlcatalog;4;-;-;;;5823683
AFLgo;xmlcatalog;5;-;-;;;5914978
AFLgo;xmlcatalog;6;-;-;;;6349742
AFLgo;xmlcatalog;7;-;-;;;5638986
AFLgo;xmlcatalog;8;-;-;;;5665278
AFLgo;xmlcatalog;9;-;-;;;5742281
AFLgo;xmlcatalog;10;-;-;;;5690412
AFLgo;xmlcatalog;11;75036;1;0.868472222;1;9490250
AFLgo;xmlcatalog;12;-;-;;;5252800
AFLgo;xmlcatalog;13;-;-;;;5474691
AFLgo;xmlcatalog;14;-;-;;;5484408
AFLfast;xmlcatalog;0;-;-;;;4225311
AFLfast;xmlcatalog;1;-;-;;;5865038
AFLfast;xmlcatalog;2;-;-;;;4823901
AFLfast;xmlcatalog;3;-;-;;;5084073
AFLfast;xmlcatalog;4;-;-;;;5250160
AFLfast;xmlcatalog;5;-;-;;;5663740
AFLfast;xmlcatalog;6;-;-;;;4542114
AFLfast;xmlcatalog;7;-;-;;;4240889
AFLfast;xmlcatalog;8;-;-;;;5448984
AFLfast;xmlcatalog;9;-;-;;;5104453
AFLfast;xmlcatalog;10;-;-;;;5140115
AFLfast;xmlcatalog;11;-;-;;;40359684
AFLfast;xmlcatalog;12;-;-;;;4839043
AFLfast;xmlcatalog;13;-;-;;;5543465
AFLfast;xmlcatalog;14;-;-;;;4650284
AFLplusplus;xmlcatalog;0;-;-;;;600559
AFLplusplus;xmlcatalog;1;-;-;;;514568
AFLplusplus;xmlcatalog;2;-;-;;;519619
AFLplusplus;xmlcatalog;3;-;-;;;499440
AFLplusplus;xmlcatalog;4;-;-;;;484214
AFLplusplus;xmlcatalog;5;-;-;;;548112
AFLplusplus;xmlcatalog;6;-;-;;;516435
AFLplusplus;xmlcatalog;7;-;-;;;385268
AFLplusplus;xmlcatalog;8;-;-;;;503936
AFLplusplus;xmlcatalog;9;-;-;;;487511
AFLplusplus;xmlcatalog;10;-;-;;;494106
AFLplusplus;xmlcatalog;11;-;-;;;499898
AFLplusplus;xmlcatalog;12;-;-;;;547398
AFLplusplus;xmlcatalog;13;-;-;;;470227
AFLplusplus;xmlcatalog;14;-;-;;;488665
fairfuzz;xmlcatalog;0;-;-;;;6280084
fairfuzz;xmlcatalog;1;-;-;;;5828697
fairfuzz;xmlcatalog;2;-;-;;;6008513
fairfuzz;xmlcatalog;3;-;-;;;6136680
fairfuzz;xmlcatalog;4;-;-;;;5724658
fairfuzz;xmlcatalog;5;-;-;;;5739870
fairfuzz;xmlcatalog;6;-;-;;;5832217
fairfuzz;xmlcatalog;7;-;-;;;4850198
fairfuzz;xmlcatalog;8;-;-;;;5493296
fairfuzz;xmlcatalog;9;-;-;;;6040480
fairfuzz;xmlcatalog;10;-;-;;;5970100
fairfuzz;xmlcatalog;11;-;-;;;5981237
fairfuzz;xmlcatalog;12;-;-;;;6501771
fairfuzz;xmlcatalog;13;-;-;;;5734076
fairfuzz;xmlcatalog;14;-;-;;;5864758
learnafl;xmlcatalog;0;-;-;;;5000286
learnafl;xmlcatalog;1;-;-;;;5138173
learnafl;xmlcatalog;2;-;-;;;5360235
learnafl;xmlcatalog;3;-;-;;;4312315
learnafl;xmlcatalog;4;-;-;;;1013542
learnafl;xmlcatalog;5;-;-;;;5022086
learnafl;xmlcatalog;6;22602;1;0.261597222;1;3222651
learnafl;xmlcatalog;7;-;-;;;1548632
learnafl;xmlcatalog;8;-;-;;;5048895
learnafl;xmlcatalog;9;-;-;;;483715
learnafl;xmlcatalog;10;8801;1;0.101863426;1;5127708
learnafl;xmlcatalog;11;-;-;;;5306526
learnafl;xmlcatalog;12;-;-;;;4881404
learnafl;xmlcatalog;13;-;-;;;4557588
learnafl;xmlcatalog;14;-;-;;;1312828
mopt;xmlcatalog;0;-;-;;;6393078
mopt;xmlcatalog;1;-;-;;;6629945
mopt;xmlcatalog;2;-;-;;;6211256
mopt;xmlcatalog;3;-;-;;;6044201
mopt;xmlcatalog;4;-;-;;;6320164
mopt;xmlcatalog;5;-;-;;;6415186
mopt;xmlcatalog;6;-;-;;;6547108
mopt;xmlcatalog;7;-;-;;;6359428
mopt;xmlcatalog;8;-;-;;;6095281
mopt;xmlcatalog;9;-;-;;;6466187
mopt;xmlcatalog;10;-;-;;;6428682
mopt;xmlcatalog;11;-;-;;;6624206
mopt;xmlcatalog;12;-;-;;;6509315
mopt;xmlcatalog;13;-;-;;;6290912
mopt;xmlcatalog;14;-;-;;;6377085
superion;xmlcatalog;0;-;-;;;3042077
superion;xmlcatalog;1;-;-;;;3373976
superion;xmlcatalog;2;-;-;;;3371996
superion;xmlcatalog;3;-;-;;;1688474
superion;xmlcatalog;4;-;-;;;3432341
superion;xmlcatalog;5;-;-;;;3477494
superion;xmlcatalog;6;-;-;;;3337309
superion;xmlcatalog;7;-;-;;;2128605
superion;xmlcatalog;8;-;-;;;2930836
superion;xmlcatalog;9;-;-;;;3126908
superion;xmlcatalog;10;-;-;;;1725645
superion;xmlcatalog;11;-;-;;;3201205
superion;xmlcatalog;12;-;-;;;3337609
superion;xmlcatalog;13;-;-;;;3280828
superion;xmlcatalog;14;-;-;;;3191452
