Algorithm;Code;Repetition;Time_min;Bugs;Time_min_norm;Bugs_norm;Exec
AFLgo;xmllint;0;-;-;;;2504406
AFLgo;xmllint;1;-;-;;;2112118
AFLgo;xmllint;2;-;-;;;2241291
AFLgo;xmllint;3;-;-;;;2696971
AFLgo;xmllint;4;-;-;;;2822491
AFLgo;xmllint;5;-;-;;;2778224
AFLgo;xmllint;6;-;-;;;2436710
AFLgo;xmllint;7;-;-;;;2763669
AFLgo;xmllint;8;42791;1;0.495266204;0.047619048;2666623
AFLgo;xmllint;9;-;-;;;2420752
AFLgo;xmllint;10;-;-;;;2403333
AFLgo;xmllint;11;-;-;;;4178151
AFLgo;xmllint;12;-;-;;;2707398
AFLgo;xmllint;13;-;-;;;2674745
AFLgo;xmllint;14;-;-;;;2644218
AFLfast;xmllint;0;-;-;;;1952713
AFLfast;xmllint;1;-;-;;;1263855
AFLfast;xmllint;2;-;-;;;1744328
AFLfast;xmllint;3;-;-;;;1950348
AFLfast;xmllint;4;-;-;;;2127291
AFLfast;xmllint;5;-;-;;;2038895
AFLfast;xmllint;6;-;-;;;1936476
AFLfast;xmllint;7;-;-;;;490619
AFLfast;xmllint;8;-;-;;;1852303
AFLfast;xmllint;9;-;-;;;1807528
AFLfast;xmllint;10;-;-;;;1882160
AFLfast;xmllint;11;1857;2;0.021493056;0.095238095;3772847
AFLfast;xmllint;12;-;-;;;2011723
AFLfast;xmllint;13;-;-;;;1948125
AFLfast;xmllint;14;-;-;;;1917275
AFLplusplus;xmllint;0;-;-;;;205132
AFLplusplus;xmllint;1;8593;1;0.099456019;0.047619048;166436
AFLplusplus;xmllint;2;-;-;;;191440
AFLplusplus;xmllint;3;-;-;;;184180
AFLplusplus;xmllint;4;-;-;;;192990
AFLplusplus;xmllint;5;-;-;;;175383
AFLplusplus;xmllint;6;-;-;;;194395
AFLplusplus;xmllint;7;6856;3;0.079351852;0.142857143;163279
AFLplusplus;xmllint;8;-;-;;;193035
AFLplusplus;xmllint;9;-;-;;;188147
AFLplusplus;xmllint;10;-;-;;;195124
AFLplusplus;xmllint;11;-;-;;;195882
AFLplusplus;xmllint;12;-;-;;;186667
AFLplusplus;xmllint;13;-;-;;;203866
AFLplusplus;xmllint;14;-;-;;;198657
fairfuzz;xmllint;0;5228;2;0.060509259;0.095238095;2062110
fairfuzz;xmllint;1;-;-;;;1346626
fairfuzz;xmllint;2;17523;1;0.2028125;0.047619048;2149687
fairfuzz;xmllint;3;-;-;;;1948484
fairfuzz;xmllint;4;59680;2;0.690740741;0.095238095;2077294
fairfuzz;xmllint;5;83181;1;0.962743056;0.047619048;1971944
fairfuzz;xmllint;6;40215;1;0.465451389;0.047619048;2036745
fairfuzz;xmllint;7;20281;9;0.234733796;0.428571429;237185
fairfuzz;xmllint;8;4053;1;0.046909722;0.047619048;1923583
fairfuzz;xmllint;9;-;-;;;1956627
fairfuzz;xmllint;10;3837;1;0.044409722;0.047619048;1974424
fairfuzz;xmllint;11;-;-;;;2024751
fairfuzz;xmllint;12;-;-;;;1931909
fairfuzz;xmllint;13;-;-;;;2096862
fairfuzz;xmllint;14;20204;2;0.233842593;0.095238095;2158356
learnafl;xmllint;0;42038;1;0.486550926;0.047619048;2056838
learnafl;xmllint;1;-;-;;;147077
learnafl;xmllint;2;50463;2;0.5840625;0.095238095;1987077
learnafl;xmllint;3;26706;12;0.309097222;0.571428571;1923912
learnafl;xmllint;4;41216;1;0.477037037;0.047619048;2180060
learnafl;xmllint;5;-;-;;;5485587
learnafl;xmllint;6;42105;5;0.487326389;0.238095238;1943741
learnafl;xmllint;7;-;-;;;53096
learnafl;xmllint;8;-;-;;;2011539
learnafl;xmllint;9;15082;6;0.174560185;0.285714286;1917161
learnafl;xmllint;10;-;-;;;1979418
learnafl;xmllint;11;14984;1;0.173425926;0.047619048;1960508
learnafl;xmllint;12;29931;9;0.346423611;0.428571429;2103891
learnafl;xmllint;13;-;-;;;2058556
learnafl;xmllint;14;35632;2;0.412407407;0.095238095;2097859
mopt;xmllint;0;53482;9;0.61900463;0.428571429;1373012
mopt;xmllint;1;71006;4;0.821828704;0.19047619;1552180
mopt;xmllint;2;33906;6;0.392430556;0.285714286;1591987
mopt;xmllint;3;2437;12;0.028206019;0.571428571;1462241
mopt;xmllint;4;40601;8;0.469918981;0.380952381;1238306
mopt;xmllint;5;23180;8;0.268287037;0.380952381;1427987
mopt;xmllint;6;50849;15;0.588530093;0.714285714;1223219
mopt;xmllint;7;10609;9;0.122789352;0.428571429;1417259
mopt;xmllint;8;49537;10;0.573344907;0.476190476;1408364
mopt;xmllint;9;57618;8;0.666875;0.380952381;1410400
mopt;xmllint;10;53255;8;0.616377315;0.380952381;1366996
mopt;xmllint;11;52756;8;0.610601852;0.380952381;1189656
mopt;xmllint;12;20113;18;0.232789352;0.857142857;1315764
mopt;xmllint;13;59244;3;0.685694444;0.142857143;1369339
mopt;xmllint;14;40568;21;0.469537037;1;1404000
superion;xmllint;0;78043;1;0.903275463;0.047619048;1280376
superion;xmllint;1;-;-;;;1044719
superion;xmllint;2;-;-;;;1022807
superion;xmllint;3;-;-;;;1095694
superion;xmllint;4;25283;1;0.292627315;0.047619048;1191800
superion;xmllint;5;70133;1;0.811724537;0.047619048;1073291
superion;xmllint;6;-;-;;;1078845
superion;xmllint;7;80071;2;0.926747685;0.095238095;1081650
superion;xmllint;8;-;-;;;1114254
superion;xmllint;9;-;-;;;1099008
superion;xmllint;10;69450;2;0.803819444;0.095238095;1104468
superion;xmllint;11;-;-;;;1106722
superion;xmllint;12;-;-;;;1166700
superion;xmllint;13;-;-;;;1199542
superion;xmllint;14;21576;1;0.249722222;0.047619048;1199835
