Dif varianzas;jpegtran;pngtest;tcpdump;pcre2test;sqlite3;mp3gain;tiffsplit;xmllint;xmlcatalog;pdftops;pdftotext;objdump;nm-new;size;strings
2;0;0;0;0,5;0;40,5;0;0;0;0;0;0;0,5;0;0,5
3;0;0;0;0,166666667;0;13,5;0;0;0;0;161,3333333;0;0,166666667;0;0,166666667
4;0,25;0;0;0,083333333;0;8,75;0;0;0;0;52;0;0,083333333;0,25;0,333333333
5;0,05;0;0;0,05;0;3,25;0;0;0;0;6,466666667;0;0,05;0,05;0,166666667
6;0,033333333;0;0;0,033333333;0;0,133333333;0;0;0;0;4,433333333;0;0,033333333;0;0,066666667
7;0,028571429;0;0;0,028571429;0;1,080952381;0;0;0;0,142857143;7,414285714;0;0,023809524;0,014285714;0,004761905
8;0,029761905;0;0;0,023809524;0;1,303571429;0;0;0;0,553571429;7,68452381;0;0,017857143;0,017857143;0,071428571
9;0,017857143;0;0;0,01984127;0;1,287698413;0;0;0;0,08531746;7,156746032;0;0,375;0,017857143;0,055555556
10;1,85;0;0;0,016666667;0;1,961111111;0;0;0;0,288888889;9,544444444;0;0,044444444;0,016666667;0,044444444
11;0,118181818;0;0;0,014141414;0;9,03030303;0;0;0;85,59090909;22,48787879;0;0,037373737;0,015151515;0,090909091
12;0,157575758;0;0;0,260606061;0;5,781818182;0;0,333333333;0;82,38787879;13,78636364;0;0,031818182;0,013636364;0,024242424
13;0,034965035;0;0;0,026806527;0;3,685314685;0;0,025641026;0;11,45571096;9,533216783;0;0,011072261;0,012237762;0,040792541
14;0,113553114;0;0;0,023809524;0;1,851648352;0;0,021978022;0;11,17582418;6,28021978;0;0,023809524;0,010989011;0,206959707
15;0,102564103;0;0;0,021245421;0;2,03040293;0;0,019047619;0;7,504395604;0,610622711;0;0,007326007;0,028205128;0,014652015
