Dif varianzas;jpegtran;pngtest;tcpdump;pcre2test;sqlite3;mp3gain;tiffsplit;xmllint;xmlcatalog;pdftops;pdftotext;objdump;nm-new;size;strings
2;24,5;24,5;0,5;24,5;4,5;0;0;0;0;12,5;12,5;0,5;0;0,5;50
3;11,5;89,83333333;0,166666667;5,5;1,5;0;533,3333333;0;0;8473,833333;4833,833333;0,166666667;0;0,166666667;13
4;3,333333333;16,33333333;0,083333333;4,083333333;0,75;0;989,5833333;0;0;2821,666667;1531,416667;0,083333333;0;0,083333333;10,08333333
5;2,366666667;17,3;0,05;0,116666667;0,45;0;154,8833333;0;0;41272,63333;138,4166667;0,05;0;0,05;4,616666667
6;1,133333333;10,53333333;0,033333333;1,833333333;0,3;0,166666667;300,0333333;0;0;5717,033333;55,13333333;0,033333333;0,666666667;0,066666667;4,4
7;0,547619048;11,02380952;0,023809524;1,966666667;0,214285714;0,023809524;229,4333333;0;0;4468,12381;174,8904762;0,023809524;0,095238095;0,028571429;2,09047619
8;0,666666667;5,142857143;0,017857143;0,428571429;0,160714286;0,017857143;153,922619;0;0;3761,285714;198,922619;0,017857143;0,071428571;0,029761905;2,095238095
9;1,992063492;4,5;0,013888889;3,265873016;0,125;0,013888889;1241,617063;0,111111111;0;3067,607143;200,4424603;0,069444444;0,055555556;0,017857143;1,26984127
10;0,266666667;162,6;0,011111111;198,8722222;0,1;0,011111111;161,0944444;0,011111111;0;2607,961111;181,3222222;0,038888889;0,044444444;0,016666667;1,066666667
11;0,453535354;20,33636364;0,009090909;21,2030303;0,081818182;0,009090909;26,66060606;0,009090909;0;15498,00202;88,93434343;0,015151515;0,036363636;0,015151515;0,905050505
12;0,537878788;14,61212121;0,007575758;11,00757576;0,068181818;0,007575758;186,030303;0,007575758;0,083333333;9850,368182;95,13484848;0,013636364;0,03030303;0,013636364;0,934848485
13;2,614801865;10,62587413;0,006410256;13,83041958;0,057692308;0,006410256;67,9988345;0,006410256;0,006410256;2617,248834;135,3222611;0,026223776;0,025641026;0,012237762;0,64044289
14;0,254578755;12,06410256;0,005494505;10,93223443;0,049450549;0,005494505;135,5128205;0,005494505;0,005494505;2767,728938;209,7124542;0,010989011;0,021978022;0,010989011;0,562271062
15;0,589010989;9,966300366;0,004761905;2,907692308;0,042857143;0,052380952;25,66923077;0,004761905;0,004761905;2192,70989;99,86153846;0,18021978;0,019047619;0,00989011;0,497069597
