Dif varianzas;jpegtran;pngtest;tcpdump;pcre2test;sqlite3;mp3gain;tiffsplit;xmllint;xmlcatalog;pdftops;pdftotext;objdump;nm-new;size;strings
2;544,5;0;0;0;0;2520,5;0;0,5;0;72;72;0;0,5;0,5;0
3;235,5;0;0;0;0;1158,166667;675;0,166666667;0;47,66666667;19,66666667;0;0,166666667;0,5;0
4;67;0;0;0;0;124,0833333;14,75;0,083333333;0;139,9166667;5,916666667;0;0,083333333;0,333333333;0
5;59,7;0;0;0;0;46,75;118,55;0,05;0;7395,55;9,05;0;0,25;0,166666667;0
6;24,7;0;0;0;0;67,63333333;97,13333333;0,033333333;0;1535,933333;42,96666667;0;0,066666667;0,1;0
7;180,0190476;0;0;0;0;167,8666667;70,28095238;0,023809524;0;898,9619048;8,023809524;0;0,1;0,066666667;0
8;34,63690476;0;0;0;0;112,0714286;39,5;1;0;592,1190476;3,732142857;0;0,029761905;0,077380952;0
9;37,37103175;0;0;0;0;103,484127;40,28571429;0,115079365;0;386,4642857;8,160714286;0;0,001984127;0,049603175;0
10;29,15555556;0;0;0;0;34,84444444;0,888888889;0,094444444;0;121,3722222;4,816666667;0;0,072222222;0,038888889;0
11;22,4010101;0;0;0;0;49;1,697979798;0,078787879;0;161,6040404;5,86969697;0;0,058585859;1,350505051;0
12;10,50909091;0;0;0;0;32,69090909;26,33484848;0,066666667;0;95,11666667;1,428787879;0;0,048484848;0,127272727;0
13;15,4044289;0;0;0;0;37,97319347;2,874708625;0,057109557;0;372,4784382;3,633449883;0;0,01048951;0,813519814;0
14;288,7435897;0;0;0;0;41,0952381;3,153846154;0,049450549;0;334,1263736;2,611721612;0;0,036630037;0,042124542;0
15;33,24652015;0;0;0;0;12,44065934;32,73919414;0,043223443;0;68,75384615;9,281318681;0;0,031868132;0,143956044;0
