Dif varianzas;jpegtran;pngtest;tcpdump;pcre2test;sqlite3;mp3gain;tiffsplit;xmllint;xmlcatalog;pdftops;pdftotext;objdump;nm-new;size;strings
2;0,5;0,5;0;24,5;0;72;420,5;2;0;0,5;0;0;0;8;0,5
3;168,5;168,5;0;5,5;0;36;853,8333333;1;0;153,8333333;225,3333333;0;0;2,666666667;0,166666667
4;36,08333333;31,33333333;0;4,083333333;0;9,75;7705,25;0,083333333;0;0,083333333;65,08333333;0;0;1,333333333;0,333333333
5;26,61666667;23,16666667;0;0,116666667;0;6,55;669,5833333;0,083333333;0;15,45;72,75;0;0;0,8;0,633333333
6;14;16,9;0;1,833333333;0;0,566666667;673,8333333;0,2;0;2,166666667;9,1;0;0;0,533333333;0,2
7;13,63333333;12,6952381;0;1,966666667;0;2,6;1142,690476;0,133333333;0;5,680952381;14,9952381;0;0;0,380952381;0,147619048
8;9,238095238;9,833333333;0;0,428571429;0;1,398809524;873,2619048;7,904761905;0;7,875;15,49404762;0;0;0,303571429;0,095238095
9;8,428571429;7,821428571;0;3,265873016;0;2,017857143;499,4642857;0,96031746;0;8,132936508;16,38293651;0;0;0,204365079;0,079365079
10;6,5;39,47222222;0;198,8722222;0;2,427777778;567,3722222;0,488888889;0;10,28888889;14,12777778;0;0;0,166666667;0,055555556
11;4,881818182;7,922222222;0;21,2030303;0;6,194949495;375,6868687;0,667676768;0;12,66565657;28,91818182;0;0;0,138383838;0,132323232
12;4,375757576;6,898484848;0;5,848484848;0;18,05909091;369,5393939;0,363636364;0;9,315151515;23,90151515;0;0;0,116666667;0,043939394
13;3,768065268;7,632284382;0;10,82284382;0;22,20920746;309,3951049;0,334498834;0;3,726107226;16,47610723;0;0;0,086829837;0,054195804
14;2,133699634;5,626373626;0;12,76923077;0;2,067765568;214,6630037;0,305860806;0;9,111721612;9,441391941;0;0;0,076923077;0,128205128
15;114,3450549;78,64285714;0;75,32307692;87,6;3121,457875;97,42673993;0,355311355;0;2,865201465;17,05494505;0;0;0,068498168;0,086813187
