Dif varianzas;jpegtran;pngtest;tcpdump;pcre2test;sqlite3;mp3gain;tiffsplit;xmllint;xmlcatalog;pdftops;pdftotext;objdump;nm-new;size;strings
2;18;0;0;50;0;160744,5;18;0,5;0;16928;12012,5;0;0;0;0
3;7,666666667;7600,333333;0;16,66666667;0;35353,5;2999,333333;0,5;0;721,3333333;4055,5;0;0;0;0
4;2,083333333;18880;0;8,333333333;0;337043,25;127,6666667;29,91666667;0;5605,333333;846,0833333;0;0;0;0
5;0,55;5258,833333;0;5,8;0;115607,05;213,8;6,216666667;0;167744,2;846,1166667;0;0;0;0
6;1,3;1640,133333;0;3,033333333;0;61136,63333;139,0333333;3,233333333;0;8240,833333;640,9;0;0;0;0
7;0,495238095;536,4142857;0;2,214285714;0;23354,90952;447,547619;2,8;0,142857143;26400,55714;361,2809524;0;0;0;0
8;0,476190476;5498,744048;0;1,738095238;0;15366,49405;318,6190476;1,541666667;0,017857143;20717,68452;470,6190476;0;0;0;0
9;0,428571429;587,2480159;0;1,51984127;0;199202,7123;2591,194444;1,375;0,013888889;3130,680556;588,9722222;0;0;0;0
10;0,511111111;1543,322222;0;1,127777778;0;55532,03889;412,0388889;0,405555556;0,011111111;3059,055556;191,9611111;0;0;0;0
11;0,434343434;1972,993939;0;0,912121212;0;93453,15758;17,33535354;0,871717172;0,063636364;43982,62929;655,3333333;0;0;0;0
12;0,213636364;1170,083333;0;0,563636364;0;7509,618182;382,4681818;1,139393939;0,012121212;13418,72273;459,8651515;0;0;0;0
13;0,19988345;803,766317;0;0,655011655;0;39369,58625;285,266317;2,307692308;0,01048951;12398,8852;125,9061772;0;0;0;0
14;0,184981685;96,96520147;0;0,551282051;0;20717,63004;82,73809524;0,624542125;0,009157509;10373,02564;436,6739927;0;0;0;0
15;0,17032967;229,5739927;0;0,341758242;0;8901,320513;253,7135531;1,045054945;0,008058608;3153,024908;176,0805861;0;0;0;0
