Dif varianzas;jpegtran;pngtest;tcpdump;pcre2test;sqlite3;mp3gain;tiffsplit;xmllint;xmlcatalog;pdftops;pdftotext;objdump;nm-new;size;strings
2;8;0;0;0;0;0;4,5;12,5;0;2;4,5;0;0,5;0;0
3;3,666666667;0;0;0;0;0;847,8333333;6,166666667;0;160,3333333;231,8333333;0;0,166666667;0;0
4;17,33333333;0;0;0,25;0;0;34064,33333;5,916666667;0;14;70,75;0;0,083333333;0;0
5;4,966666667;0;0;0,05;0,2;0;1809,966667;3,05;0;10,96666667;76,21666667;0;0,05;0;0
6;3,233333333;0;0;0,066666667;0,033333333;0;6582,833333;1,833333333;0;1,033333333;2,433333333;0;0,033333333;0,666666667;0
7;1,228571429;0;0;0,028571429;0,023809524;0;4280,390476;6,10952381;0;11,12380952;12,55714286;0;0,023809524;0,095238095;0
8;1,380952381;0;0;0,023809524;0,017857143;0;3174,690476;1,922619048;0;6,285714286;17,66666667;0;0,017857143;0,071428571;0
9;1,329365079;0;0;0,01984127;0,013888889;0;1850,757937;1,303571429;0;7,579365079;23,89285714;0;0,013888889;0,055555556;0
10;1,027777778;0;0;0,016666667;0,011111111;0;1794,472222;1,038888889;0;12,83333333;10,58333333;0;0,011111111;0,044444444;0
11;0,263636364;0;0;0,014141414;0,009090909;0;974,9919192;0,847474747;0;20,77373737;39,35151515;0;0,009090909;0,036363636;0
12;0,418181818;0;0;0,012121212;0,007575758;2133,333333;995,0484848;0,704545455;0;9,228787879;3,860606061;0;0,007575758;0,03030303;0
13;0,284382284;0;0,076923077;0,01048951;0,006410256;664,9230769;645,0920746;5,943473193;0;4,716200466;16,71212121;0;0,006410256;0,025641026;0
14;0,289377289;0;0,258241758;0,009157509;0,005494505;1341,199634;899,6758242;1,935897436;0;10,82967033;14,33150183;0;0,005494505;0,021978022;0
15;0,643956044;0;0,020879121;0,008058608;0,004761905;227,7131868;748,4805861;8,49010989;0;2,777289377;24,14578755;0;0,004761905;0,019047619;0
