Dif varianzas;jpegtran;pngtest;tcpdump;pcre2test;sqlite3;mp3gain;tiffsplit;xmllint;xmlcatalog;pdftops;pdftotext;objdump;nm-new;size;strings
2;32;0,5;0;0;0;0;180,5;0,5;0;8;0;0;0;0;0,5
3;10,66666667;60,5;0;0;0;0;599,8333333;0,166666667;0;3,666666667;0;0;0;0;0,5
4;5,75;18,08333333;0;0;0;0;2913,333333;0,083333333;0;1,416666667;0;0;0;0;0,083333333
5;3,283333333;6,216666667;0;0;0;0;15,03333333;0,05;0;0,116666667;0;0;0;0;0,116666667
6;0,3;12,1;0;0;0;0;416,1333333;0;0;6,7;0;0;0;0,666666667;0,1
7;0,285714286;5,847619048;0;0;0;0;543,3285714;0,271428571;0;1,261904762;0;0;0;0,095238095;0,080952381
8;1,928571429;2,744047619;0;0;0;0;385,3095238;0,125;0;0,255952381;0;0;0;0,071428571;0,06547619
9;1,714285714;1,196428571;0;0;0;0;209,9285714;0,001984127;0;0,232142857;0;0;0;0,055555556;0,025793651
10;1,211111111;4,233333333;0;0;0;0;187,9555556;0,016666667;0;0,483333333;0;0;0;0,044444444;0,038888889
11;1,070707071;2,266666667;0;0;0;0;179,789899;0,085858586;0;0,160606061;0;0;0;0,036363636;0,034343434
12;0,884848485;1,371212121;0;0;0;0;161,8075758;0,013636364;0;0,193939394;0;0;0;0,03030303;0,03030303
13;0,666666667;1,436480186;0;0;0;0;112,0367133;0,019230769;0;0,10955711;0;0;0;0,025641026;0,178321678
14;0,483516484;0,752747253;0;0;0;0;111,8553114;0,021978022;0;0,164835165;0;0;0;0,021978022;0,031135531
15;10,83589744;1,468131868;0;0;0;0;51,28315018;0,042124542;0;0,194871795;0;0;0;0,019047619;0,028571429
