Algorithm;Code;rep;line_per;line;func_per;function.;branch_per;branch;bugs
learnafl;jpegtran;total;;15326;;676;;5752;
learnafl;jpegtran;1;17.4;2668;23.8;161;28.4;1636;1
learnafl;jpegtran;2;16.5;2525;23.2;157;26.2;1508;7
learnafl;jpegtran;3;15.7;2399;22.8;154;23.9;1372;2
learnafl;jpegtran;4;17.4;2671;23.7;160;28.5;1642;1
learnafl;jpegtran;5;NA;NA;NA;NA;NA;NA;0
learnafl;jpegtran;6;15.3;2352;22.3;151;23.7;1363;1
learnafl;jpegtran;7;16.3;2494;22.9;155;25.2;1452;0
learnafl;jpegtran;8;15.6;2396;22.8;676;24.3;1397;0
learnafl;jpegtran;9;NA;NA;NA;NA;NA;NA;0
learnafl;jpegtran;10;15.6;2396;22.8;676;24.3;1397;2
learnafl;jpegtran;11;16;2459;23.1;156;25.1;1443;1
learnafl;jpegtran;12;15.4;2356;22.3;151;23.7;1363;0
learnafl;jpegtran;13;15.4;2354;22.3;151;23.7;1363;0
learnafl;jpegtran;14;15.3;2351;22.3;151;23.8;1368;0
learnafl;jpegtran;15;NA;NA;NA;NA;NA;NA;0
mopt;jpegtran;total;;15326;;676;;5752;
mopt;jpegtran;1;17.3;2644;23.8;161;28.1;1616;2
mopt;jpegtran;2;16.4;2521;22.8;154;26.5;1524;0
mopt;jpegtran;3;15.2;2327;22.2;150;23.2;1337;5
mopt;jpegtran;4;17.5;2686;23.7;160;28.7;1650;4
mopt;jpegtran;5;15.2;2332;22.2;150;23.4;1346;1
mopt;jpegtran;6;15.2;2332;22.2;150;23.2;1337;5
mopt;jpegtran;7;15.4;2355;22.3;151;23.7;1365;2
mopt;jpegtran;8;15.3;2347;22.3;151;23.7;1361;4
mopt;jpegtran;9;15.4;2356;22.3;151;23.7;1363;4
mopt;jpegtran;10;16.4;2521;22.2;150;23.2;1337;8
mopt;jpegtran;11;15.5;2382;22.3;151;24;1380;3
mopt;jpegtran;12;15.7;2413;22.9;155;24.4;1402;5
mopt;jpegtran;13;15.5;2369;22.3;151;23.9;1376;2
mopt;jpegtran;14;15.3;2346;22.3;151;23.7;1362;12
mopt;jpegtran;15;17.5;2686;22.3;151;28.1;1616;3
