Algorithm;SUT;rep;line_per;line;func_per;function;branch_per;branch;bugs
fairfuzz;jpegtran;total;;15326;;676;;5752;
fairfuzz;jpegtran;0;17;2606;23.8;161;25.9;1490;2
fairfuzz;jpegtran;1;15.1;2321;22.3;151;21.3;1225;3
fairfuzz;jpegtran;2;13.2;2016;20.9;141;17.2;991;25
fairfuzz;jpegtran;3;16;2455;22.8;154;23.8;1368;1
fairfuzz;jpegtran;4;14.9;2283;22.2;150;20.8;1196;2
fairfuzz;jpegtran;5;14.6;2232;22;149;19.8;1137;-
fairfuzz;jpegtran;6;14.6;2234;22;149;20;1152;2
fairfuzz;jpegtran;7;15.2;2336;22.3;151;23.3;1343;1
fairfuzz;jpegtran;8;14.2;2175;21.6;146;19.1;1098;3
fairfuzz;jpegtran;9;15.1;2310;22.2;150;21.2;1219;6
fairfuzz;jpegtran;10;15;2306;22.2;150;20.9;1205;2
fairfuzz;jpegtran;11;15.2;2336;22.3;151;22.7;5752;3
fairfuzz;jpegtran;12;14.8;2266;22;149;22;1266;4
fairfuzz;jpegtran;13;14.6;2245;22;149;20.1;1159;8
fairfuzz;jpegtran;14;15.8;2424;22.6;153;23.2;1334;4
fairfuzz;sqlite3;total;;57734;;2878;;47933;
fairfuzz;sqlite3;0;27.5;15887;30.2;869;19.4;9318;-
fairfuzz;sqlite3;1;39.9;23015;41.7;1200;30.1;14410;-
fairfuzz;sqlite3;2;20.7;11923;24.5;705;14.4;6925;-
fairfuzz;sqlite3;3;27.9;16090;30.5;879;19.6;9385;-
fairfuzz;sqlite3;4;22.4;12924;26.3;757;15.4;7370;-
fairfuzz;sqlite3;5;23.3;13473;27.2;782;16;7668;-
fairfuzz;sqlite3;6;28;16164;32.1;923;19.9;9536;-
fairfuzz;sqlite3;7;21.6;12446;25.7;739;14.7;7051;-
fairfuzz;sqlite3;8;25;14410;19.1;838;17.4;8364;-
fairfuzz;sqlite3;9;22.4;12915;27;778;15.5;7414;-
fairfuzz;sqlite3;10;22;12685;25.8;743;15.3;47933;-
fairfuzz;sqlite3;11;27.1;15663;31.4;903;18.7;8945;-
fairfuzz;sqlite3;12;25.1;14490;29.3;844;17.2;8236;-
fairfuzz;sqlite3;13;21;12135;24.9;716;14.4;6881;-
fairfuzz;sqlite3;14;23.2;13391;27.2;782;15.9;7620;-
fairfuzz;tiffsplit;total;;28276;;1070;;8587;
fairfuzz;tiffsplit;0;0.1;7;0.2;2;0.1;1;49
fairfuzz;tiffsplit;1;0.1;7;0.2;2;0.1;1;78
fairfuzz;tiffsplit;2;0.1;7;0.2;2;0.1;1;7
fairfuzz;tiffsplit;3;0.1;7;0.2;2;0.1;1;225
fairfuzz;tiffsplit;4;0.1;7;0.2;2;0.1;1;1
fairfuzz;tiffsplit;5;0.1;7;0.2;2;0.1;1;149
fairfuzz;tiffsplit;6;0.1;7;0.2;2;0.1;1;115
fairfuzz;tiffsplit;7;0.1;7;0.2;2;0.1;1;110
fairfuzz;tiffsplit;8;0.1;7;0.2;2;0.1;1;49
fairfuzz;tiffsplit;9;0.1;7;0.2;2;0.1;1;83
fairfuzz;tiffsplit;10;0.1;7;0.2;2;0.1;1;57
fairfuzz;tiffsplit;11;0.1;7;0.2;2;0.1;1;95
fairfuzz;tiffsplit;12;0.1;7;0.2;2;0.1;1;95
fairfuzz;tiffsplit;13;0.1;7;0.2;2;0.1;1;58
fairfuzz;tiffsplit;14;0.1;7;0.2;2;0.1;1;129
fairfuzz;xmllint;total;;96421;;4418;;58590;
fairfuzz;xmllint;0;0.1;72;0.1;2;0.1;1;2
fairfuzz;xmllint;1;0.1;72;0.1;2;0.1;1;-
fairfuzz;xmllint;2;0.1;72;0.1;2;0.1;1;1
fairfuzz;xmllint;3;0.1;72;0.1;2;0.1;1;-
fairfuzz;xmllint;4;0.1;72;0.1;2;0.1;1;2
fairfuzz;xmllint;5;0.1;72;0.1;2;0.1;1;1
fairfuzz;xmllint;6;0.1;72;0.1;2;0.1;1;1
fairfuzz;xmllint;7;0.1;72;0.1;2;0.1;1;9
fairfuzz;xmllint;8;0.1;72;0.1;2;0.1;1;1
fairfuzz;xmllint;9;0.1;72;0.1;2;0.1;1;-
fairfuzz;xmllint;10;0.1;72;0.1;2;0.1;1;1
fairfuzz;xmllint;11;0.1;72;0.1;2;0.1;1;-
fairfuzz;xmllint;12;0.1;72;0.1;2;0.1;1;-
fairfuzz;xmllint;13;0.1;72;0.1;2;0.1;1;-
fairfuzz;xmllint;14;0.1;72;0.1;2;0.1;1;2
fairfuzz;xmlcatalog;total;;96421;;4418;;56436;
fairfuzz;xmlcatalog;0;0.1;9;0.1;2;0.1;1;-
fairfuzz;xmlcatalog;1;0.1;9;0.1;2;0.1;1;-
fairfuzz;xmlcatalog;2;0.1;9;0.1;2;0.1;1;-
fairfuzz;xmlcatalog;3;0.1;9;0.1;2;0.1;1;-
fairfuzz;xmlcatalog;4;0.1;9;0.1;2;0.1;1;-
fairfuzz;xmlcatalog;5;0.1;9;0.1;2;0.1;1;-
fairfuzz;xmlcatalog;6;0.1;9;0.1;2;0.1;1;-
fairfuzz;xmlcatalog;7;0.1;9;0.1;2;0.1;1;-
fairfuzz;xmlcatalog;8;0.1;9;0.1;2;0.1;1;-
fairfuzz;xmlcatalog;9;0.1;9;0.1;2;0.1;1;-
fairfuzz;xmlcatalog;10;0.1;9;0.1;2;0.1;1;-
fairfuzz;xmlcatalog;11;0.1;9;0.1;2;0.1;1;-
fairfuzz;xmlcatalog;12;0.1;9;0.1;2;0.1;1;-
fairfuzz;xmlcatalog;13;0.1;9;0.1;2;0.1;1;-
fairfuzz;xmlcatalog;14;0.1;9;0.1;2;0.1;1;-
learnafl;jpegtran;total;;15326;;676;;5752;
learnafl;jpegtran;0;17.3;2647;23.8;161;28;1613;1
learnafl;jpegtran;1;16;2452;22.6;153;25.2;5752;4
learnafl;jpegtran;2;15.5;2375;22.3;151;24.2;1390;3
learnafl;jpegtran;3;17.5;2681;23.8;161;28.3;1630;3
learnafl;jpegtran;4;15.4;2357;22.3;151;23.8;1367;1
learnafl;jpegtran;5;15.4;2361;22.6;153;23.7;1366;2
learnafl;jpegtran;6;15.3;2349;22.3;151;23.6;1360;3
learnafl;jpegtran;7;15.4;2356;22.3;151;23.8;1368;2
learnafl;jpegtran;8;15.8;2419;22.9;155;24.4;1405;10
learnafl;jpegtran;9;15.4;2353;22.3;151;23.7;1366;1
learnafl;jpegtran;10;15.7;2407;22.8;154;24.2;1393;1
learnafl;jpegtran;11;15.4;2354;22.3;151;23.7;1364;4
learnafl;jpegtran;12;15.3;2345;22.3;151;23.6;1360;5
learnafl;jpegtran;13;15.3;2345;22.3;151;23.7;1362;15
learnafl;jpegtran;14;16.3;2497;22.8;154;24.5;1410;10
learnafl;pcre2test;total;;10434;;177;;11563;
learnafl;pcre2test;0;39;4065;45.8;81;27.4;3167;10
learnafl;pcre2test;1;1.9;201;13.6;24;0.7;78;-
learnafl;pcre2test;2;36.5;3810;44.1;78;25.3;2924;-
learnafl;pcre2test;3;36.4;3802;45.2;80;25.3;2930;-
learnafl;pcre2test;4;35;3647;45.8;81;23.9;2765;1
learnafl;pcre2test;5;35.6;3718;46.3;82;24.3;2812;-
learnafl;pcre2test;6;37;3862;46.9;83;25.2;2913;-
learnafl;pcre2test;7;37;3865;46.3;82;25.8;2983;3
learnafl;pcre2test;8;37.4;3901;46.3;82;25.8;2981;2
learnafl;pcre2test;9;35.3;3679;44.1;78;24.4;2826;1
learnafl;pcre2test;10;37.4;3904;46.3;82;26.1;3020;1
learnafl;pcre2test;11;40.6;4240;48;85;28.8;3328;-
learnafl;pcre2test;12;34.3;3578;45.8;81;23;2656;-
learnafl;pcre2test;13;37.4;3906;46.9;83;26;3006;2
learnafl;pcre2test;14;36.1;3770;45.2;80;24.9;2884;1
learnafl;sqlite3;total;;57734;;2878;;47933;
learnafl;sqlite3;0;16.2;9362;21.1;607;10.3;4939;-
learnafl;sqlite3;1;28.1;16238;30.7;883;20.4;9756;-
learnafl;sqlite3;2;20.7;11926;24.5;705;14.4;6926;-
learnafl;sqlite3;3;27.2;15683;29.8;859;19.2;9186;1
learnafl;sqlite3;4;22.4;12921;26.3;757;15.4;7370;-
learnafl;sqlite3;5;3.9;2275;6.5;188;2;971;-
learnafl;sqlite3;6;27.9;16125;32;922;19.9;9515;-
learnafl;sqlite3;7;21.6;12442;25.7;739;14.7;7048;-
learnafl;sqlite3;8;25;14410;29.1;838;17.4;8364;-
learnafl;sqlite3;9;21.3;12286;25.5;734;14.7;7048;-
learnafl;sqlite3;10;22;12682;25.8;743;15.3;7338;-
learnafl;sqlite3;11;27.2;15691;31.4;904;18.7;8976;-
learnafl;sqlite3;12;16.8;9695;21.9;631;10.8;5167;-
