alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,nm-new,1,1622303509, 0, 0, 50.82
AFLfast,nm-new,1,1622303525, 0, 0, 83.11
AFLfast,nm-new,1,1622303530, 0, 0, 71.05
AFLfast,nm-new,1,1622303535, 0, 0, 64.28
AFLfast,nm-new,1,1622303540, 0, 0, 73.59
AFLfast,nm-new,1,1622303545, 0, 0, 64.02
AFLfast,nm-new,1,1622303550, 0, 0, 62.40
AFLfast,nm-new,1,1622303555, 0, 0, 61.03
AFLfast,nm-new,1,1622311889, 0, 0, 39.61
AFLfast,nm-new,1,1622311894, 0, 0, 39.80
AFLfast,nm-new,1,1622311915, 0, 0, 40.96
AFLfast,nm-new,1,1622311920, 0, 0, 40.37
AFLfast,nm-new,1,1622311925, 0, 0, 40.73
AFLfast,nm-new,1,1622312039, 0, 0, 40.96
AFLfast,nm-new,1,1622312054, 0, 0, 40.26
AFLfast,nm-new,1,1622312086, 0, 0, 42.01
AFLfast,nm-new,1,1622312091, 0, 0, 41.57
AFLfast,nm-new,1,1622312111, 0, 0, 41.44
AFLfast,nm-new,1,1622312117, 0, 0, 41.72
AFLfast,nm-new,1,1622312173, 0, 0, 41.15
AFLfast,nm-new,1,1622312204, 0, 0, 42.10
AFLfast,nm-new,1,1622312256, 0, 0, 37.66
AFLfast,nm-new,1,1622312318, 0, 0, 40.17
AFLfast,nm-new,1,1622312323, 0, 0, 40.25
AFLfast,nm-new,1,1622317550, 0, 0, 40.61
AFLfast,nm-new,1,1622317555, 0, 0, 40.66
AFLfast,nm-new,1,1622317679, 0, 0, 41.29
AFLfast,nm-new,1,1622317684, 0, 0, 41.61
AFLfast,nm-new,1,1622317705, 0, 0, 40.73
AFLfast,nm-new,1,1622317710, 0, 0, 40.59
AFLfast,nm-new,1,1622317725, 0, 0, 43.79
AFLfast,nm-new,1,1622317731, 0, 0, 43.62
AFLfast,nm-new,1,1622317736, 0, 0, 0.82
AFLfast,nm-new,1,1622317748, 0, 0, 1.07
AFLfast,nm-new,1,1622317753, 0, 0, 2.12
AFLfast,nm-new,1,1622317760, 0, 0, 7.37
AFLfast,nm-new,1,1622317778, 0, 0, 14.88
AFLfast,nm-new,1,1622317783, 0, 0, 36.65
AFLfast,nm-new,1,1622317788, 0, 0, 42.13
AFLfast,nm-new,1,1622317794, 0, 0, 4.17
AFLfast,nm-new,1,1622317799, 0, 0, 50.41
AFLfast,nm-new,1,1622317804, 0, 0, 46.76
AFLfast,nm-new,1,1622317809, 0, 0, 1.58
AFLfast,nm-new,1,1622317820, 0, 0, 51.74
AFLfast,nm-new,1,1622317825, 0, 0, 47.61
AFLfast,nm-new,1,1622317830, 0, 0, 4.24
AFLfast,nm-new,1,1622317836, 0, 0, 48.22
AFLfast,nm-new,1,1622317841, 0, 0, 45.67
AFLfast,nm-new,1,1622317846, 0, 0, 4.21
AFLfast,nm-new,1,1622317851, 0, 0, 51.12
AFLfast,nm-new,1,1622317856, 0, 0, 46.18
AFLfast,nm-new,1,1622317861, 0, 0, 4.16
AFLfast,nm-new,1,1622317866, 0, 0, 43.76
AFLfast,nm-new,1,1622317871, 0, 0, 44.24
AFLfast,nm-new,1,1622317877, 0, 0, 3.90
AFLfast,nm-new,1,1622317882, 0, 0, 48.27
AFLfast,nm-new,1,1622317903, 0, 0, 47.04
AFLfast,nm-new,1,1622317919, 0, 0, 42.67
AFLfast,nm-new,1,1622317924, 0, 0, 0.81
AFLfast,nm-new,1,1622317936, 0, 0, 2.32
AFLfast,nm-new,1,1622317941, 0, 0, 46.53
AFLfast,nm-new,1,1622317946, 0, 0, 42.49
AFLfast,nm-new,1,1622317957, 0, 0, 41.99
AFLfast,nm-new,1,1622317962, 0, 0, 41.72
AFLfast,nm-new,1,1622317967, 0, 0, 42.75
AFLfast,nm-new,1,1622317972, 0, 0, 42.46
AFLfast,nm-new,1,1622317978, 0, 0, 41.55
AFLfast,nm-new,1,1622317988, 0, 0, 40.69
AFLfast,nm-new,1,1622317998, 0, 0, 40.95
AFLfast,nm-new,1,1622318009, 0, 0, 41.60
AFLfast,nm-new,1,1622318014, 0, 0, 40.93
AFLfast,nm-new,1,1622318019, 0, 0, 42.66
AFLfast,nm-new,1,1622318030, 0, 0, 43.02
AFLfast,nm-new,1,1622318035, 0, 0, 43.48
AFLfast,nm-new,1,1622318040, 0, 0, 41.70
AFLfast,nm-new,1,1622318051, 0, 0, 40.74
AFLfast,nm-new,1,1622318071, 0, 0, 42.10
AFLfast,nm-new,1,1622318076, 0, 0, 41.49
AFLfast,nm-new,1,1622318087, 0, 0, 40.64
AFLfast,nm-new,1,1622318107, 0, 0, 43.07
AFLfast,nm-new,1,1622318112, 0, 0, 41.64
AFLfast,nm-new,1,1622318128, 0, 0, 40.89
AFLfast,nm-new,1,1622318154, 0, 0, 21.90
AFLfast,nm-new,1,1622318164, 0, 0, 38.03
