alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
AFLfast,nm-new,5,1622303614, 0, 0, 7, 7, 7, 2.53%, 0, 0, 1, 44.23
AFLfast,nm-new,5,1622303639, 0, 0, 16, 16, 7, 2.60%, 0, 0, 2, 63.98
AFLfast,nm-new,5,1622303644, 0, 0, 23, 23, 7, 2.73%, 0, 0, 2, 58.85
AFLfast,nm-new,5,1622303649, 0, 0, 38, 38, 7, 2.79%, 0, 0, 2, 51.40
AFLfast,nm-new,5,1622303654, 0, 0, 47, 47, 7, 2.84%, 0, 0, 2, 55.54
AFLfast,nm-new,5,1622303659, 0, 0, 54, 54, 7, 2.85%, 0, 0, 2, 53.42
AFLfast,nm-new,5,1622303665, 0, 0, 59, 59, 7, 2.86%, 0, 0, 2, 51.62
AFLfast,nm-new,5,1622303670, 0, 0, 60, 60, 7, 2.86%, 0, 0, 2, 50.55
AFLfast,nm-new,5,1622315584, 0, 0, 66, 66, 7, 2.89%, 0, 0, 2, 39.27
AFLfast,nm-new,5,1622315589, 0, 0, 70, 70, 7, 2.90%, 0, 0, 2, 39.74
AFLfast,nm-new,5,1622315615, 0, 0, 73, 73, 7, 2.90%, 0, 0, 2, 40.55
AFLfast,nm-new,5,1622315620, 0, 0, 74, 74, 7, 2.90%, 0, 0, 2, 40.17
AFLfast,nm-new,5,1622315661, 0, 0, 75, 75, 7, 2.91%, 0, 0, 2, 41.01
AFLfast,nm-new,5,1622315718, 0, 0, 76, 76, 7, 2.91%, 0, 0, 2, 40.59
AFLfast,nm-new,5,1622315723, 0, 0, 77, 77, 7, 2.91%, 0, 0, 2, 40.34
AFLfast,nm-new,5,1622315759, 0, 0, 78, 78, 7, 2.91%, 0, 0, 2, 40.55
AFLfast,nm-new,5,1622315780, 0, 0, 80, 80, 7, 2.91%, 0, 0, 2, 40.62
AFLfast,nm-new,5,1622315785, 0, 0, 82, 82, 7, 2.91%, 0, 0, 2, 40.39
AFLfast,nm-new,5,1622315790, 0, 0, 83, 83, 7, 2.91%, 0, 0, 2, 40.43
