# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
1622302421, 0, 0, 6, 6, 1, 0.05%, 0, 0, 1, 70.18
1622302427, 0, 5, 6, 6, 1, 0.05%, 0, 0, 1, 104.07
1622302432, 10, 5, 6, 0, 0, 0.05%, 0, 0, 1, 106.63
1622302437, 12, 0, 6, 0, 0, 0.05%, 0, 0, 1, 116.34
1622302447, 13, 1, 6, 0, 0, 0.05%, 0, 0, 1, 114.10
1622302457, 13, 2, 6, 0, 0, 0.05%, 0, 0, 1, 113.01
1622302462, 13, 5, 6, 0, 0, 0.05%, 0, 0, 1, 112.53
1622302467, 14, 3, 6, 0, 0, 0.05%, 0, 0, 1, 113.82
1622302478, 14, 4, 6, 0, 0, 0.05%, 0, 0, 1, 114.59
1622302483, 14, 5, 6, 0, 0, 0.05%, 0, 0, 1, 114.36
1622302488, 15, 1, 6, 0, 0, 0.05%, 0, 0, 1, 115.15
1622302493, 15, 3, 6, 0, 0, 0.05%, 0, 0, 1, 113.45
1622302498, 15, 5, 6, 0, 0, 0.05%, 0, 0, 1, 112.15
1622302503, 16, 1, 6, 0, 0, 0.05%, 0, 0, 1, 112.38
1622302508, 16, 2, 6, 0, 0, 0.05%, 0, 0, 1, 111.30
1622302513, 16, 4, 6, 0, 0, 0.05%, 0, 0, 1, 108.66
1622302518, 2832, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622302523, 7816, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622302529, 12915, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622302534, 18027, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622302539, 23012, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622302544, 28049, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622302549, 33123, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622302554, 38295, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622302559, 43289, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622302565, 48445, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622302570, 53482, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622302575, 58436, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622302580, 63532, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622302585, 68517, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622302590, 73467, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622302595, 78457, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622302600, 83346, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622302605, 88428, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
