alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
AFLfast,objdump,12,1622303080, 0, 0, 8, 8, 1, 0.05%, 0, 0, 1, 35.71
AFLfast,objdump,12,1622303085, 0, 5, 8, 8, 1, 0.05%, 0, 0, 1, 59.52
AFLfast,objdump,12,1622303101, 11, 5, 8, 0, 0, 0.05%, 0, 0, 1, 62.63
AFLfast,objdump,12,1622303106, 11, 6, 8, 0, 0, 0.05%, 0, 0, 1, 63.57
AFLfast,objdump,12,1622303111, 11, 7, 8, 0, 0, 0.05%, 0, 0, 1, 64.83
AFLfast,objdump,12,1622303121, 12, 5, 8, 0, 0, 0.05%, 0, 0, 1, 66.01
AFLfast,objdump,12,1622303126, 13, 0, 8, 0, 0, 0.05%, 0, 0, 1, 63.42
AFLfast,objdump,12,1622303137, 13, 1, 8, 0, 0, 0.05%, 0, 0, 1, 63.57
AFLfast,objdump,12,1622303147, 13, 2, 8, 0, 0, 0.05%, 0, 0, 1, 64.96
AFLfast,objdump,12,1622303157, 13, 5, 8, 0, 0, 0.05%, 0, 0, 1, 63.02
AFLfast,objdump,12,1622303162, 14, 3, 8, 0, 0, 0.05%, 0, 0, 1, 62.36
AFLfast,objdump,12,1622303172, 14, 4, 8, 0, 0, 0.05%, 0, 0, 1, 62.82
AFLfast,objdump,12,1622303183, 14, 5, 8, 0, 0, 0.05%, 0, 0, 1, 63.19
AFLfast,objdump,12,1622303188, 14, 6, 8, 0, 0, 0.05%, 0, 0, 1, 62.25
AFLfast,objdump,12,1622303193, 15, 1, 8, 0, 0, 0.05%, 0, 0, 1, 60.54
AFLfast,objdump,12,1622303198, 15, 5, 8, 0, 0, 0.05%, 0, 0, 1, 61.13
AFLfast,objdump,12,1622303209, 15, 6, 8, 0, 0, 0.05%, 0, 0, 1, 60.28
AFLfast,objdump,12,1622303214, 16, 0, 8, 0, 0, 0.05%, 0, 0, 1, 61.75
