alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,objdump,4,1622302828, 0, 0, 67.23
AFLfast,objdump,4,1622302834, 0, 0, 84.23
AFLfast,objdump,4,1622302844, 0, 0, 83.40
AFLfast,objdump,4,1622302849, 0, 0, 83.71
AFLfast,objdump,4,1622302854, 0, 0, 84.29
AFLfast,objdump,4,1622302864, 0, 0, 81.85
AFLfast,objdump,4,1622302869, 0, 0, 81.14
AFLfast,objdump,4,1622302884, 0, 0, 80.36
AFLfast,objdump,4,1622302890, 0, 0, 79.18
AFLfast,objdump,4,1622302895, 0, 0, 79.29
AFLfast,objdump,4,1622302905, 0, 0, 78.04
AFLfast,objdump,4,1622302920, 0, 0, 9.87
AFLfast,objdump,4,1622302936, 0, 0, 76.35
AFLfast,objdump,4,1622302946, 0, 0, 73.21
AFLfast,objdump,4,1622302951, 0, 0, 73.92
AFLfast,objdump,4,1622302956, 0, 0, 73.03
AFLfast,objdump,4,1622302971, 0, 0, 73.06
AFLfast,objdump,4,1622302976, 0, 0, 69.49
AFLfast,objdump,4,1622302981, 0, 0, 70.14
AFLfast,objdump,4,1622302987, 0, 0, 71.73
AFLfast,objdump,4,1622302992, 0, 0, 72.39
AFLfast,objdump,4,1622302997, 0, 0, 0.00
AFLfast,objdump,4,1622303002, 0, 0, 0.00
AFLfast,objdump,4,1622303007, 0, 0, 0.00
AFLfast,objdump,4,1622303012, 0, 0, 0.00
AFLfast,objdump,4,1622303017, 0, 0, 0.00
AFLfast,objdump,4,1622303023, 0, 0, 0.00
AFLfast,objdump,4,1622303028, 0, 0, 0.00
AFLfast,objdump,4,1622303033, 0, 0, 0.00
AFLfast,objdump,4,1622303038, 0, 0, 0.00
AFLfast,objdump,4,1622303043, 0, 0, 0.00
AFLfast,objdump,4,1622303048, 0, 0, 0.00
AFLfast,objdump,4,1622303053, 0, 0, 0.00
AFLfast,objdump,4,1622303058, 0, 0, 0.00
AFLfast,objdump,4,1622303063, 0, 0, 0.00
AFLfast,objdump,4,1622303068, 0, 0, 0.00
AFLfast,objdump,4,1622303073, 0, 0, 0.00
AFLfast,objdump,4,1622303078, 0, 0, 0.00
AFLfast,objdump,4,1622303084, 0, 0, 0.00
AFLfast,objdump,4,1622303089, 0, 0, 0.00
AFLfast,objdump,4,1622303094, 0, 0, 0.00
AFLfast,objdump,4,1622303099, 0, 0, 0.00
AFLfast,objdump,4,1622303104, 0, 0, 0.00
AFLfast,objdump,4,1622303109, 0, 0, 0.00
AFLfast,objdump,4,1622303114, 0, 0, 0.00
AFLfast,objdump,4,1622303120, 0, 0, 0.00
AFLfast,objdump,4,1622303125, 0, 0, 0.00
AFLfast,objdump,4,1622303130, 0, 0, 0.00
AFLfast,objdump,4,1622303135, 0, 0, 0.00
AFLfast,objdump,4,1622303140, 0, 0, 0.00
AFLfast,objdump,4,1622303145, 0, 0, 0.00
AFLfast,objdump,4,1622303151, 0, 0, 0.00
AFLfast,objdump,4,1622303156, 0, 0, 0.00
AFLfast,objdump,4,1622303161, 0, 0, 0.00
AFLfast,objdump,4,1622303166, 0, 0, 0.00
AFLfast,objdump,4,1622303171, 0, 0, 0.00
AFLfast,objdump,4,1622303176, 0, 0, 0.00
AFLfast,objdump,4,1622303181, 0, 0, 0.00
AFLfast,objdump,4,1622303187, 0, 0, 0.00
AFLfast,objdump,4,1622303192, 0, 0, 0.00
AFLfast,objdump,4,1622303197, 0, 0, 0.00
AFLfast,objdump,4,1622303202, 0, 0, 0.00
AFLfast,objdump,4,1622303207, 0, 0, 0.00
AFLfast,objdump,4,1622303212, 0, 0, 0.00
AFLfast,objdump,4,1622303217, 0, 0, 0.00
AFLfast,objdump,4,1622303223, 0, 0, 0.00
AFLfast,objdump,4,1622303228, 0, 0, 0.00
AFLfast,objdump,4,1622303233, 0, 0, 0.00
AFLfast,objdump,4,1622303238, 0, 0, 0.00
AFLfast,objdump,4,1622303243, 0, 0, 0.00
AFLfast,objdump,4,1622303248, 0, 0, 0.00
AFLfast,objdump,4,1622303253, 0, 0, 0.00
AFLfast,objdump,4,1622303259, 0, 0, 0.00
AFLfast,objdump,4,1622303264, 0, 0, 0.00
AFLfast,objdump,4,1622303269, 0, 0, 0.00
AFLfast,objdump,4,1622303274, 0, 0, 0.00
AFLfast,objdump,4,1622303279, 0, 0, 0.00
AFLfast,objdump,4,1622303284, 0, 0, 0.00
