alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,size,1,1622327013, 0, 0, 38.38
AFLfast,size,1,1622327039, 0, 0, 52.24
AFLfast,size,1,1622327044, 0, 0, 45.41
AFLfast,size,1,1622327049, 0, 0, 60.53
AFLfast,size,1,1622327054, 0, 0, 42.95
AFLfast,size,1,1622327060, 0, 0, 40.21
AFLfast,size,1,1622327065, 0, 0, 36.25
AFLfast,size,1,1622327070, 0, 0, 35.20
AFLfast,size,1,1622327075, 0, 0, 35.55
AFLfast,size,1,1622327080, 0, 0, 39.42
AFLfast,size,1,1622327086, 0, 0, 39.06
AFLfast,size,1,1622338190, 0, 0, 32.15
AFLfast,size,1,1622345217, 0, 0, 31.43
AFLfast,size,1,1622345381, 0, 0, 30.94
AFLfast,size,1,1622345386, 0, 0, 31.95
AFLfast,size,1,1622345412, 0, 0, 31.95
AFLfast,size,1,1622345422, 0, 0, 31.51
AFLfast,size,1,1622345442, 0, 0, 31.32
AFLfast,size,1,1622345447, 0, 0, 31.30
AFLfast,size,1,1622345453, 0, 0, 3.30
AFLfast,size,1,1622345470, 0, 0, 0.54
AFLfast,size,1,1622345481, 0, 0, 1.78
AFLfast,size,1,1622345486, 0, 0, 2.36
AFLfast,size,1,1622345491, 0, 0, 6.41
AFLfast,size,1,1622345498, 0, 0, 0.30
AFLfast,size,1,1622345523, 0, 0, 1.42
AFLfast,size,1,1622345528, 0, 0, 34.22
AFLfast,size,1,1622345533, 0, 0, 33.05
AFLfast,size,1,1622345538, 0, 0, 32.03
AFLfast,size,1,1622345543, 0, 0, 1.20
AFLfast,size,1,1622345553, 0, 0, 33.29
AFLfast,size,1,1622345559, 0, 0, 30.86
AFLfast,size,1,1622345569, 0, 0, 1.11
AFLfast,size,1,1622345585, 0, 0, 30.81
AFLfast,size,1,1622345590, 0, 0, 29.81
AFLfast,size,1,1622345595, 0, 0, 29.12
AFLfast,size,1,1622345600, 0, 0, 5.17
AFLfast,size,1,1622345611, 0, 0, 30.54
AFLfast,size,1,1622345616, 0, 0, 31.04
AFLfast,size,1,1622345627, 0, 0, 4.32
AFLfast,size,1,1622345637, 0, 0, 32.83
AFLfast,size,1,1622345642, 0, 0, 30.90
AFLfast,size,1,1622345647, 0, 0, 3.78
AFLfast,size,1,1622345658, 0, 0, 32.28
AFLfast,size,1,1622345663, 0, 0, 32.01
AFLfast,size,1,1622345668, 0, 0, 2.99
AFLfast,size,1,1622345678, 0, 0, 31.63
AFLfast,size,1,1622345684, 0, 0, 31.49
AFLfast,size,1,1622345704, 0, 0, 30.07
AFLfast,size,1,1622345709, 0, 0, 30.92
AFLfast,size,1,1622345736, 0, 0, 1.01
AFLfast,size,1,1622345763, 0, 0, 24.65
AFLfast,size,1,1622345769, 0, 0, 29.62
AFLfast,size,1,1622345774, 0, 0, 29.97
AFLfast,size,1,1622345789, 0, 0, 30.23
AFLfast,size,1,1622345794, 0, 0, 30.69
AFLfast,size,1,1622345799, 0, 0, 31.55
AFLfast,size,1,1622345804, 0, 0, 32.41
AFLfast,size,1,1622345809, 0, 0, 30.77
AFLfast,size,1,1622345820, 0, 0, 32.17
AFLfast,size,1,1622345825, 0, 0, 30.44
AFLfast,size,1,1622345830, 0, 0, 31.53
AFLfast,size,1,1622345845, 0, 0, 31.51
AFLfast,size,1,1622345851, 0, 0, 31.97
AFLfast,size,1,1622345861, 0, 0, 31.02
AFLfast,size,1,1622345871, 0, 0, 32.51
AFLfast,size,1,1622345887, 0, 0, 31.30
AFLfast,size,1,1622345897, 0, 0, 29.82
AFLfast,size,1,1622345912, 0, 0, 28.34
AFLfast,size,1,1622345943, 0, 0, 28.09
AFLfast,size,1,1622345948, 0, 0, 26.77
AFLfast,size,1,1622345954, 0, 0, 27.29
AFLfast,size,1,1622345969, 0, 0, 29.15
AFLfast,size,1,1622345994, 0, 0, 33.05
AFLfast,size,1,1622346005, 0, 0, 30.55
AFLfast,size,1,1622346020, 0, 0, 30.21
AFLfast,size,1,1622346051, 0, 0, 28.82
AFLfast,size,1,1622346071, 0, 0, 30.34
AFLfast,size,1,1622346102, 0, 0, 29.89
AFLfast,size,1,1622346122, 0, 0, 29.02
AFLfast,size,1,1622346169, 0, 0, 30.09
AFLfast,size,1,1622346215, 0, 0, 31.48
AFLfast,size,1,1622346220, 0, 0, 29.00
AFLfast,size,1,1622346303, 0, 0, 30.26
AFLfast,size,1,1622346308, 0, 0, 28.77
AFLfast,size,1,1622346313, 0, 0, 30.60
AFLfast,size,1,1622346323, 0, 0, 29.11
AFLfast,size,1,1622346339, 0, 0, 29.64
AFLfast,size,1,1622346344, 0, 0, 29.15
AFLfast,size,1,1622346359, 0, 0, 28.79
AFLfast,size,1,1622346396, 0, 0, 30.34
AFLfast,size,1,1622346436, 0, 0, 31.73
AFLfast,size,1,1622346498, 0, 0, 28.99
AFLfast,size,1,1622346503, 0, 0, 31.36
AFLfast,size,1,1622346544, 0, 0, 29.04
AFLfast,size,1,1622346549, 0, 0, 30.35
AFLfast,size,1,1622346580, 0, 0, 29.46
AFLfast,size,1,1622346586, 0, 0, 31.16
AFLfast,size,1,1622346591, 0, 0, 33.34
AFLfast,size,1,1622346601, 0, 0, 31.28
AFLfast,size,1,1622346606, 0, 0, 30.66
AFLfast,size,1,1622346611, 0, 0, 31.64
AFLfast,size,1,1622346616, 0, 0, 31.37
AFLfast,size,1,1622346621, 0, 0, 27.07
AFLfast,size,1,1622346626, 0, 0, 29.67
AFLfast,size,1,1622346631, 0, 0, 30.35
AFLfast,size,1,1622346641, 0, 0, 32.87
AFLfast,size,1,1622346652, 0, 0, 33.04
AFLfast,size,1,1622346657, 0, 0, 31.77
AFLfast,size,1,1622346667, 0, 0, 28.86
AFLfast,size,1,1622365073, 0, 0, 30.91
AFLfast,size,1,1622365089, 0, 0, 31.40
AFLfast,size,1,1622365094, 0, 0, 33.98
AFLfast,size,1,1622365099, 0, 0, 2.05
AFLfast,size,1,1622365127, 0, 0, 2.60
AFLfast,size,1,1622365132, 0, 0, 3.25
AFLfast,size,1,1622365142, 0, 0, 31.13
AFLfast,size,1,1622365163, 0, 0, 29.95
AFLfast,size,1,1622365174, 0, 0, 3.73
AFLfast,size,1,1622365205, 0, 0, 30.64
AFLfast,size,1,1622365287, 0, 0, 32.31
AFLfast,size,1,1622365298, 0, 0, 5.11
AFLfast,size,1,1622365318, 0, 0, 0.82
AFLfast,size,1,1622365334, 0, 0, 32.70
AFLfast,size,1,1622365349, 0, 0, 31.62
AFLfast,size,1,1622365359, 0, 0, 33.41
AFLfast,size,1,1622365365, 0, 0, 32.56
AFLfast,size,1,1622365380, 0, 0, 32.53
AFLfast,size,1,1622365426, 0, 0, 30.67
AFLfast,size,1,1622365437, 0, 0, 31.32
AFLfast,size,1,1622365483, 0, 0, 34.96
AFLfast,size,1,1622365528, 0, 0, 35.18
AFLfast,size,1,1622365667, 0, 0, 34.11
AFLfast,size,1,1622365682, 0, 0, 35.87
AFLfast,size,1,1622365707, 0, 0, 34.13
AFLfast,size,1,1622365738, 0, 0, 34.75
AFLfast,size,1,1622365769, 0, 0, 39.13
AFLfast,size,1,1622365784, 0, 0, 36.91
AFLfast,size,1,1622365794, 0, 0, 34.86
AFLfast,size,1,1622365809, 0, 0, 36.19
AFLfast,size,1,1622365851, 0, 0, 36.36
AFLfast,size,1,1622365877, 0, 0, 35.35
AFLfast,size,1,1622365892, 0, 0, 36.02
AFLfast,size,1,1622365908, 0, 0, 37.49
AFLfast,size,1,1622365990, 0, 0, 35.00
AFLfast,size,1,1622366005, 0, 0, 32.46
AFLfast,size,1,1622366021, 0, 0, 38.42
AFLfast,size,1,1622366036, 0, 0, 39.11
AFLfast,size,1,1622366062, 0, 0, 38.15
AFLfast,size,1,1622366072, 0, 0, 33.73
AFLfast,size,1,1622380865, 0, 0, 35.25
AFLfast,size,1,1622380911, 0, 0, 40.14
AFLfast,size,1,1622380918, 0, 0, 1.17
AFLfast,size,1,1622380960, 0, 0, 4.90
AFLfast,size,1,1622381117, 0, 0, 41.33
AFLfast,size,1,1622381189, 0, 0, 33.47
AFLfast,size,1,1622381733, 0, 0, 35.73
AFLfast,size,1,1622381748, 0, 0, 32.77
AFLfast,size,1,1622383723, 0, 0, 31.11
AFLfast,size,1,1622383810, 0, 0, 38.06
AFLfast,size,1,1622383857, 0, 0, 40.01
AFLfast,size,1,1622383873, 0, 0, 37.14
AFLfast,size,1,1622383898, 0, 0, 38.20
AFLfast,size,1,1622383929, 0, 0, 40.77
AFLfast,size,1,1622383940, 0, 0, 41.38
AFLfast,size,1,1622383945, 0, 0, 39.64
AFLfast,size,1,1622383950, 0, 0, 39.28
AFLfast,size,1,1622383960, 0, 0, 37.22
AFLfast,size,1,1622383971, 0, 0, 34.80
AFLfast,size,1,1622384002, 0, 0, 37.75
AFLfast,size,1,1622384012, 0, 0, 38.44
AFLfast,size,1,1622384017, 0, 0, 43.00
AFLfast,size,1,1622384022, 0, 0, 42.47
AFLfast,size,1,1622384027, 0, 0, 35.16
AFLfast,size,1,1622384032, 0, 0, 43.13
AFLfast,size,1,1622384346, 0, 0, 38.62
AFLfast,size,1,1622385466, 0, 0, 39.47
AFLfast,size,1,1622385482, 0, 0, 39.59
AFLfast,size,1,1622385513, 0, 0, 3.81
AFLfast,size,1,1622385518, 0, 0, 0.37
AFLfast,size,1,1622385575, 0, 0, 0.40
AFLfast,size,1,1622385580, 0, 0, 2.56
AFLfast,size,1,1622385626, 0, 0, 0.39
AFLfast,size,1,1622385700, 0, 0, 37.62
AFLfast,size,1,1622385727, 0, 0, 4.20
AFLfast,size,1,1622385834, 0, 0, 39.12
AFLfast,size,1,1622386242, 0, 0, 37.70
AFLfast,size,1,1622386273, 0, 0, 0.87
AFLfast,size,1,1622386317, 0, 1, 0.17
AFLfast,size,1,1622386832, 0, 1, 0.42
