alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
AFLfast,size,8,1622327263, 0, 0, 6, 6, 6, 1.75%, 0, 0, 1, 24.64
AFLfast,size,8,1622327284, 0, 0, 7, 7, 6, 1.79%, 0, 0, 2, 50.24
AFLfast,size,8,1622327289, 0, 0, 16, 16, 6, 1.98%, 0, 0, 2, 50.44
AFLfast,size,8,1622327294, 0, 0, 23, 23, 6, 2.08%, 0, 0, 2, 49.08
AFLfast,size,8,1622327299, 0, 0, 35, 35, 6, 2.16%, 0, 0, 2, 44.90
AFLfast,size,8,1622327463, 0, 0, 37, 37, 6, 2.16%, 0, 0, 2, 45.28
AFLfast,size,8,1622327468, 0, 0, 40, 40, 6, 2.17%, 0, 0, 2, 39.18
AFLfast,size,8,1622327473, 0, 0, 42, 42, 6, 2.17%, 0, 0, 2, 42.75
AFLfast,size,8,1622327483, 0, 0, 45, 45, 6, 2.17%, 0, 0, 2, 40.67
AFLfast,size,8,1622327499, 0, 0, 47, 47, 6, 2.20%, 0, 0, 2, 44.76
AFLfast,size,8,1622327504, 0, 0, 61, 61, 6, 2.31%, 0, 0, 2, 55.57
AFLfast,size,8,1622327509, 0, 0, 62, 62, 6, 2.31%, 0, 0, 2, 44.12
AFLfast,size,8,1622327514, 0, 0, 64, 64, 6, 2.31%, 0, 0, 2, 42.34
AFLfast,size,8,1622327519, 0, 0, 70, 70, 6, 2.31%, 0, 0, 2, 39.88
AFLfast,size,8,1622327525, 0, 0, 71, 71, 6, 2.31%, 0, 0, 2, 43.46
AFLfast,size,8,1622327530, 0, 0, 74, 74, 6, 2.31%, 0, 0, 2, 38.26
AFLfast,size,8,1622327535, 0, 0, 77, 77, 6, 2.32%, 0, 0, 2, 42.11
AFLfast,size,8,1622327545, 0, 0, 84, 84, 6, 2.33%, 0, 0, 2, 37.50
AFLfast,size,8,1622327550, 0, 0, 89, 89, 6, 2.36%, 0, 0, 2, 30.36
AFLfast,size,8,1622327555, 0, 0, 91, 91, 6, 2.36%, 0, 0, 2, 37.06
AFLfast,size,8,1622327560, 0, 0, 93, 93, 6, 2.37%, 0, 0, 2, 36.97
AFLfast,size,8,1622327566, 0, 0, 96, 96, 6, 2.42%, 0, 0, 2, 42.48
AFLfast,size,8,1622327571, 0, 0, 100, 100, 6, 2.50%, 0, 0, 2, 41.79
AFLfast,size,8,1622327576, 0, 0, 103, 103, 6, 2.50%, 0, 0, 2, 50.56
AFLfast,size,8,1622327581, 0, 0, 105, 105, 6, 2.50%, 0, 0, 2, 42.26
AFLfast,size,8,1622327586, 0, 0, 106, 106, 6, 2.50%, 0, 0, 2, 41.00
AFLfast,size,8,1622327591, 0, 0, 109, 109, 6, 2.51%, 0, 0, 2, 36.51
AFLfast,size,8,1622327601, 0, 0, 110, 110, 6, 2.51%, 0, 0, 2, 33.45
AFLfast,size,8,1622327606, 0, 0, 112, 112, 6, 2.51%, 0, 0, 2, 34.95
AFLfast,size,8,1622327616, 0, 0, 114, 114, 6, 2.51%, 0, 0, 2, 36.82
