alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,strings,12,1622326416, 0, 0, 1.05
AFLfast,strings,12,1622326421, 0, 0, 15.19
AFLfast,strings,12,1622326669, 0, 0, 7.74
AFLfast,strings,12,1622327055, 0, 0, 7.76
AFLfast,strings,12,1622330008, 0, 0, 7.44
AFLfast,strings,12,1622330014, 0, 0, 7.66
AFLfast,strings,12,1622330682, 0, 0, 8.00
AFLfast,strings,12,1622330846, 0, 0, 7.74
AFLfast,strings,12,1622379407, 0, 1, 0.05
AFLfast,strings,12,1622403702, 0, 1, 12.12
AFLfast,strings,12,1622403842, 0, 1, 12.66
AFLfast,strings,12,1622403872, 0, 1, 12.64
