alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
AFLfast,strings,9,1622326213, 0, 0, 6, 6, 3, 0.16%, 0, 0, 1, 2.38
AFLfast,strings,9,1622326218, 0, 1, 6, 6, 3, 0.16%, 0, 0, 1, 17.58
AFLfast,strings,9,1622326820, 0, 1, 7, 7, 3, 0.16%, 0, 0, 2, 7.49
AFLfast,strings,9,1622343337, 0, 1, 8, 8, 3, 0.16%, 0, 0, 2, 7.27
AFLfast,strings,9,1622408350, 0, 1, 9, 9, 3, 0.16%, 0, 0, 2, 8.44
AFLfast,strings,9,1622408356, 0, 1, 12, 12, 3, 0.16%, 0, 0, 2, 8.40
AFLfast,strings,9,1622408361, 0, 1, 16, 16, 3, 0.16%, 0, 0, 2, 8.79
AFLfast,strings,9,1622408366, 0, 1, 19, 19, 3, 0.16%, 0, 0, 2, 9.21
AFLfast,strings,9,1622408371, 0, 1, 22, 22, 3, 0.16%, 0, 0, 2, 9.11
AFLfast,strings,9,1622408376, 0, 1, 24, 24, 3, 0.16%, 0, 0, 2, 9.01
AFLfast,strings,9,1622408381, 0, 1, 27, 27, 3, 0.16%, 0, 0, 2, 9.31
AFLfast,strings,9,1622408386, 0, 1, 30, 30, 3, 0.16%, 0, 0, 2, 9.26
AFLfast,strings,9,1622408392, 0, 1, 31, 31, 3, 0.16%, 0, 0, 2, 9.08
AFLfast,strings,9,1622408397, 0, 1, 33, 33, 3, 0.16%, 0, 0, 2, 9.25
AFLfast,strings,9,1622408402, 0, 1, 34, 34, 3, 0.16%, 0, 0, 2, 9.18
AFLfast,strings,9,1622408412, 0, 1, 36, 36, 3, 0.16%, 0, 0, 2, 9.05
AFLfast,strings,9,1622408417, 0, 1, 37, 37, 3, 0.16%, 0, 0, 2, 9.16
AFLfast,strings,9,1622408423, 0, 1, 39, 39, 3, 0.16%, 0, 0, 2, 8.86
AFLfast,strings,9,1622408428, 0, 1, 41, 41, 3, 0.16%, 0, 0, 2, 9.02
AFLfast,strings,9,1622408443, 0, 1, 42, 42, 3, 0.16%, 0, 0, 2, 9.46
AFLfast,strings,9,1622408453, 0, 1, 44, 44, 3, 0.16%, 0, 0, 2, 9.41
AFLfast,strings,9,1622408474, 0, 1, 45, 45, 3, 0.16%, 0, 0, 2, 9.44
AFLfast,strings,9,1622408479, 0, 1, 46, 46, 3, 0.16%, 0, 0, 2, 9.20
AFLfast,strings,9,1622408484, 0, 1, 47, 47, 3, 0.16%, 0, 0, 2, 8.90
AFLfast,strings,9,1622408495, 0, 1, 48, 48, 3, 0.16%, 0, 0, 2, 9.24
AFLfast,strings,9,1622408500, 0, 1, 49, 49, 3, 0.16%, 0, 0, 2, 9.31
AFLfast,strings,9,1622408541, 0, 1, 50, 50, 3, 0.16%, 0, 0, 2, 9.40
AFLfast,strings,9,1622408567, 0, 1, 51, 51, 3, 0.16%, 0, 0, 2, 9.23
AFLfast,strings,9,1622408608, 0, 1, 52, 52, 3, 0.16%, 0, 0, 2, 9.29
AFLfast,strings,9,1622408634, 0, 1, 53, 53, 3, 0.16%, 0, 0, 2, 9.39
AFLfast,strings,9,1622408654, 0, 1, 54, 54, 3, 0.16%, 0, 0, 2, 9.37
AFLfast,strings,9,1622408660, 0, 4, 54, 53, 3, 0.16%, 0, 0, 2, 23.98
AFLfast,strings,9,1622408711, 0, 4, 55, 54, 3, 0.16%, 0, 0, 2, 50.06
AFLfast,strings,9,1622411397, 0, 4, 60, 59, 3, 0.16%, 0, 0, 2, 46.53
AFLfast,strings,9,1622411402, 0, 4, 62, 61, 3, 0.16%, 0, 0, 2, 47.84
AFLfast,strings,9,1622411407, 0, 4, 64, 63, 3, 0.16%, 0, 0, 2, 48.69
AFLfast,strings,9,1622411412, 0, 4, 65, 64, 3, 0.16%, 0, 0, 2, 48.34
AFLfast,strings,9,1622411448, 0, 47, 65, 63, 3, 0.16%, 0, 0, 2, 8.90
