alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,jpegtran,1,1621957834, 0, 0, 441.79
AFLfast,jpegtran,1,1621957840, 0, 0, 290.29
AFLfast,jpegtran,1,1621957845, 0, 0, 145.24
AFLfast,jpegtran,1,1621957850, 0, 0, 214.00
AFLfast,jpegtran,1,1621957855, 0, 0, 247.28
AFLfast,jpegtran,1,1621957860, 0, 0, 236.61
AFLfast,jpegtran,1,1621957865, 0, 0, 52.63
AFLfast,jpegtran,1,1621957876, 0, 0, 712.41
AFLfast,jpegtran,1,1621957881, 0, 0, 588.87
AFLfast,jpegtran,1,1621957886, 0, 0, 23.81
AFLfast,jpegtran,1,1621957891, 0, 0, 493.50
AFLfast,jpegtran,1,1621957896, 0, 0, 437.27
AFLfast,jpegtran,1,1621957907, 0, 0, 490.13
AFLfast,jpegtran,1,1621957912, 0, 0, 534.02
AFLfast,jpegtran,1,1621957927, 0, 0, 788.87
AFLfast,jpegtran,1,1621957932, 0, 0, 443.80
AFLfast,jpegtran,1,1621957983, 0, 0, 285.54
AFLfast,jpegtran,1,1621957994, 0, 0, 285.02
AFLfast,jpegtran,1,1621957999, 0, 0, 244.05
AFLfast,jpegtran,1,1621958004, 0, 0, 284.78
AFLfast,jpegtran,1,1621958009, 0, 0, 270.90
AFLfast,jpegtran,1,1621958014, 0, 0, 264.85
AFLfast,jpegtran,1,1621958019, 0, 0, 258.28
AFLfast,jpegtran,1,1621958024, 0, 0, 231.55
AFLfast,jpegtran,1,1621958035, 0, 0, 280.67
AFLfast,jpegtran,1,1621958065, 0, 0, 298.81
AFLfast,jpegtran,1,1621958070, 0, 0, 595.54
AFLfast,jpegtran,1,1621958075, 0, 0, 654.02
AFLfast,jpegtran,1,1621958080, 0, 0, 702.19
AFLfast,jpegtran,1,1621958096, 0, 0, 685.84
AFLfast,jpegtran,1,1621958111, 0, 0, 739.30
AFLfast,jpegtran,1,1621958116, 0, 0, 27.09
AFLfast,jpegtran,1,1621958122, 0, 0, 691.35
AFLfast,jpegtran,1,1621958157, 0, 0, 729.95
AFLfast,jpegtran,1,1621958172, 0, 0, 759.00
AFLfast,jpegtran,1,1621958178, 0, 0, 600.49
AFLfast,jpegtran,1,1621958183, 0, 0, 517.12
AFLfast,jpegtran,1,1621958188, 0, 0, 505.45
AFLfast,jpegtran,1,1621958193, 0, 0, 534.17
AFLfast,jpegtran,1,1621958198, 0, 0, 501.01
AFLfast,jpegtran,1,1621958203, 0, 0, 476.60
AFLfast,jpegtran,1,1621958208, 0, 0, 505.19
AFLfast,jpegtran,1,1621958213, 0, 0, 558.33
AFLfast,jpegtran,1,1621958219, 0, 0, 668.79
AFLfast,jpegtran,1,1621958224, 0, 0, 665.43
AFLfast,jpegtran,1,1621958229, 0, 0, 687.58
AFLfast,jpegtran,1,1621958234, 0, 0, 741.38
AFLfast,jpegtran,1,1621958239, 0, 0, 572.19
AFLfast,jpegtran,1,1621958244, 0, 0, 732.82
AFLfast,jpegtran,1,1621958249, 0, 0, 708.25
AFLfast,jpegtran,1,1621958254, 0, 0, 37.14
AFLfast,jpegtran,1,1621958265, 0, 0, 587.15
AFLfast,jpegtran,1,1621958270, 0, 0, 621.75
AFLfast,jpegtran,1,1621958285, 0, 0, 551.00
AFLfast,jpegtran,1,1621958290, 0, 0, 632.99
AFLfast,jpegtran,1,1621958295, 0, 0, 479.41
AFLfast,jpegtran,1,1621958300, 0, 0, 48.25
AFLfast,jpegtran,1,1621958305, 0, 0, 616.71
AFLfast,jpegtran,1,1621958310, 0, 0, 593.19
AFLfast,jpegtran,1,1621958316, 0, 0, 508.63
AFLfast,jpegtran,1,1621958326, 0, 0, 498.46
AFLfast,jpegtran,1,1621958331, 0, 0, 374.20
AFLfast,jpegtran,1,1621958336, 0, 0, 352.19
AFLfast,jpegtran,1,1621958341, 0, 0, 319.29
AFLfast,jpegtran,1,1621958346, 0, 0, 338.27
AFLfast,jpegtran,1,1621958351, 0, 0, 351.62
AFLfast,jpegtran,1,1621958357, 0, 0, 363.67
AFLfast,jpegtran,1,1621958362, 0, 0, 348.03
AFLfast,jpegtran,1,1621958367, 0, 0, 363.81
AFLfast,jpegtran,1,1621958372, 0, 0, 366.15
AFLfast,jpegtran,1,1621958377, 0, 0, 370.76
AFLfast,jpegtran,1,1621958382, 0, 0, 373.59
AFLfast,jpegtran,1,1621958412, 0, 0, 335.50
AFLfast,jpegtran,1,1621958418, 0, 0, 313.64
AFLfast,jpegtran,1,1621958423, 0, 0, 332.91
AFLfast,jpegtran,1,1621958428, 0, 0, 339.35
AFLfast,jpegtran,1,1621958433, 0, 0, 363.41
AFLfast,jpegtran,1,1621958448, 0, 0, 333.15
