alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
AFLfast,jpegtran,3,1621957926, 0, 0, 40, 40, 29, 4.03%, 0, 0, 1, 304.18
AFLfast,jpegtran,3,1621957931, 0, 0, 75, 75, 29, 4.10%, 0, 0, 2, 585.10
AFLfast,jpegtran,3,1621957936, 0, 0, 84, 84, 29, 4.11%, 0, 0, 2, 454.83
AFLfast,jpegtran,3,1621957941, 0, 0, 95, 95, 29, 4.12%, 0, 0, 2, 746.28
AFLfast,jpegtran,3,1621957947, 0, 0, 96, 96, 29, 4.12%, 0, 0, 2, 29.82
AFLfast,jpegtran,3,1621957952, 0, 0, 97, 97, 29, 4.12%, 0, 0, 2, 795.12
AFLfast,jpegtran,3,1621957957, 0, 0, 104, 104, 29, 4.13%, 0, 0, 2, 833.82
AFLfast,jpegtran,3,1621957962, 0, 0, 134, 134, 29, 4.17%, 0, 0, 2, 514.04
AFLfast,jpegtran,3,1621957967, 0, 0, 162, 162, 29, 4.20%, 0, 0, 2, 44.31
AFLfast,jpegtran,3,1621957972, 0, 0, 172, 172, 29, 4.20%, 0, 0, 2, 333.48
AFLfast,jpegtran,3,1621957977, 0, 0, 181, 181, 29, 4.21%, 0, 0, 2, 390.15
AFLfast,jpegtran,3,1621957982, 0, 0, 186, 186, 29, 4.22%, 0, 0, 2, 362.40
AFLfast,jpegtran,3,1621957992, 0, 0, 190, 190, 29, 4.22%, 0, 0, 2, 323.16
AFLfast,jpegtran,3,1621957998, 0, 0, 192, 192, 29, 4.22%, 0, 0, 2, 381.05
AFLfast,jpegtran,3,1621958003, 0, 0, 196, 196, 29, 4.22%, 0, 0, 2, 388.19
AFLfast,jpegtran,3,1621958008, 0, 0, 201, 201, 29, 4.22%, 0, 0, 2, 415.35
AFLfast,jpegtran,3,1621958013, 0, 0, 203, 203, 29, 4.22%, 0, 0, 2, 422.29
AFLfast,jpegtran,3,1621958018, 0, 0, 205, 205, 29, 4.23%, 0, 0, 2, 403.81
AFLfast,jpegtran,3,1621958023, 0, 0, 208, 208, 29, 4.23%, 0, 0, 2, 406.36
AFLfast,jpegtran,3,1621958028, 0, 1, 208, 207, 67, 4.23%, 0, 0, 2, 385.16
AFLfast,jpegtran,3,1621958038, 0, 1, 210, 209, 67, 4.23%, 0, 0, 2, 16.13
AFLfast,jpegtran,3,1621958043, 0, 1, 213, 212, 67, 4.24%, 0, 0, 2, 556.14
AFLfast,jpegtran,3,1621958049, 0, 1, 214, 213, 67, 4.24%, 0, 0, 2, 600.15
AFLfast,jpegtran,3,1621958069, 0, 6, 218, 216, 69, 4.24%, 0, 0, 2, 666.50
AFLfast,jpegtran,3,1621958079, 0, 6, 220, 218, 69, 4.26%, 0, 0, 2, 736.22
AFLfast,jpegtran,3,1621958084, 0, 6, 222, 220, 69, 4.26%, 0, 0, 2, 16.00
AFLfast,jpegtran,3,1621958094, 0, 6, 223, 221, 69, 4.27%, 0, 0, 2, 585.08
AFLfast,jpegtran,3,1621958120, 0, 6, 226, 224, 69, 4.29%, 0, 0, 2, 555.00
AFLfast,jpegtran,3,1621958135, 0, 6, 227, 225, 69, 4.29%, 0, 0, 2, 17.80
AFLfast,jpegtran,3,1621958202, 0, 6, 228, 226, 69, 4.29%, 0, 0, 2, 394.95
AFLfast,jpegtran,3,1621958228, 0, 9, 228, 225, 70, 4.29%, 0, 0, 2, 369.86
AFLfast,jpegtran,3,1621958243, 0, 9, 229, 226, 70, 4.29%, 0, 0, 2, 26.06
AFLfast,jpegtran,3,1621958289, 0, 9, 230, 227, 70, 4.29%, 0, 0, 2, 400.24
AFLfast,jpegtran,3,1621958294, 0, 9, 231, 228, 70, 4.29%, 0, 0, 2, 161.03
AFLfast,jpegtran,3,1621958299, 0, 9, 232, 229, 70, 4.29%, 0, 0, 2, 337.92
AFLfast,jpegtran,3,1621958310, 0, 9, 233, 230, 70, 4.29%, 0, 0, 2, 247.37
AFLfast,jpegtran,3,1621958340, 0, 9, 234, 231, 70, 4.29%, 0, 0, 2, 243.41
AFLfast,jpegtran,3,1621958407, 0, 9, 235, 232, 70, 4.29%, 0, 0, 2, 242.16
AFLfast,jpegtran,3,1621958427, 0, 10, 235, 231, 71, 4.29%, 0, 0, 2, 457.20
AFLfast,jpegtran,3,1621958433, 0, 10, 236, 232, 71, 4.29%, 0, 0, 2, 617.62
AFLfast,jpegtran,3,1621958464, 0, 10, 245, 241, 71, 4.32%, 0, 0, 2, 399.42
AFLfast,jpegtran,3,1621958469, 0, 10, 249, 245, 71, 4.32%, 0, 0, 2, 327.33
AFLfast,jpegtran,3,1621958474, 0, 10, 253, 249, 71, 4.32%, 0, 0, 2, 346.07
AFLfast,jpegtran,3,1621958479, 0, 10, 255, 251, 71, 4.32%, 0, 0, 2, 342.86
AFLfast,jpegtran,3,1621958484, 0, 10, 260, 256, 71, 4.32%, 0, 0, 2, 330.59
AFLfast,jpegtran,3,1621958489, 0, 10, 262, 258, 71, 4.32%, 0, 0, 2, 353.06
AFLfast,jpegtran,3,1621958494, 0, 10, 264, 260, 71, 4.32%, 0, 0, 2, 346.87
AFLfast,jpegtran,3,1621958499, 0, 10, 265, 261, 71, 4.32%, 0, 0, 2, 336.00
AFLfast,jpegtran,3,1621958504, 0, 10, 267, 263, 71, 4.32%, 0, 0, 2, 334.60
AFLfast,jpegtran,3,1621958515, 0, 10, 269, 265, 71, 4.32%, 0, 0, 2, 336.30
AFLfast,jpegtran,3,1621958525, 0, 10, 271, 267, 71, 4.32%, 0, 0, 2, 312.94
AFLfast,jpegtran,3,1621958530, 0, 10, 272, 268, 71, 4.32%, 0, 0, 2, 301.58
AFLfast,jpegtran,3,1621958535, 0, 10, 274, 270, 71, 4.32%, 0, 0, 2, 331.27
AFLfast,jpegtran,3,1621958540, 0, 12, 274, 269, 73, 4.32%, 0, 0, 2, 381.89
AFLfast,jpegtran,3,1621958597, 0, 12, 276, 271, 73, 4.32%, 0, 0, 2, 349.01
AFLfast,jpegtran,3,1621958612, 0, 12, 277, 272, 73, 4.32%, 0, 0, 2, 286.88
AFLfast,jpegtran,3,1621958678, 0, 12, 278, 273, 73, 4.32%, 0, 0, 2, 286.94
AFLfast,jpegtran,3,1621958683, 0, 13, 278, 272, 74, 4.32%, 0, 0, 2, 155.46
AFLfast,jpegtran,3,1621958699, 0, 13, 280, 274, 74, 4.33%, 0, 0, 2, 119.49
AFLfast,jpegtran,3,1621958704, 0, 13, 281, 275, 74, 4.33%, 0, 0, 2, 116.90
AFLfast,jpegtran,3,1621958709, 0, 13, 283, 277, 74, 4.34%, 0, 0, 2, 109.03
AFLfast,jpegtran,3,1621958714, 0, 13, 329, 323, 74, 4.43%, 0, 0, 2, 245.49
AFLfast,jpegtran,3,1621958719, 0, 13, 385, 379, 74, 4.50%, 0, 0, 2, 164.53
AFLfast,jpegtran,3,1621958724, 0, 13, 401, 395, 74, 4.51%, 0, 0, 2, 115.23
AFLfast,jpegtran,3,1621958735, 0, 13, 419, 413, 74, 4.53%, 0, 0, 2, 165.25
