alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
AFLfast,pngtest,10,1622061712, 0, 0, 20, 20, 14, 2.54%, 0, 0, 1, 118.61
AFLfast,pngtest,10,1622061717, 0, 0, 31, 31, 14, 2.64%, 0, 0, 2, 128.54
AFLfast,pngtest,10,1622061758, 0, 0, 37, 37, 14, 2.67%, 0, 0, 2, 63.55
AFLfast,pngtest,10,1622061763, 0, 0, 44, 44, 14, 2.68%, 0, 0, 2, 86.74
AFLfast,pngtest,10,1622061768, 0, 0, 56, 56, 14, 2.74%, 0, 0, 2, 73.15
AFLfast,pngtest,10,1622061773, 0, 0, 68, 68, 14, 2.80%, 0, 0, 2, 73.66
AFLfast,pngtest,10,1622061778, 0, 0, 80, 80, 14, 2.83%, 0, 0, 2, 69.91
AFLfast,pngtest,10,1622061783, 0, 0, 92, 92, 14, 2.83%, 0, 0, 2, 63.24
AFLfast,pngtest,10,1622061788, 0, 0, 94, 94, 14, 2.83%, 0, 0, 2, 60.79
AFLfast,pngtest,10,1622061799, 0, 0, 99, 99, 14, 2.89%, 0, 0, 2, 93.51
AFLfast,pngtest,10,1622061854, 0, 0, 106, 106, 14, 2.90%, 0, 0, 2, 79.36
AFLfast,pngtest,10,1622061869, 0, 0, 107, 107, 14, 2.90%, 0, 0, 2, 55.94
AFLfast,pngtest,10,1622061941, 0, 0, 108, 108, 14, 2.90%, 0, 0, 2, 52.00
AFLfast,pngtest,10,1622061956, 0, 0, 111, 111, 14, 2.91%, 0, 0, 2, 60.80
AFLfast,pngtest,10,1622061987, 0, 0, 112, 112, 14, 2.91%, 0, 0, 2, 53.33
AFLfast,pngtest,10,1622062441, 0, 0, 113, 113, 14, 2.91%, 0, 0, 2, 60.91
AFLfast,pngtest,10,1622062497, 0, 0, 116, 116, 14, 2.91%, 0, 0, 2, 82.21
AFLfast,pngtest,10,1622062528, 0, 0, 117, 117, 14, 2.92%, 0, 0, 2, 55.33
AFLfast,pngtest,10,1622062982, 0, 0, 118, 118, 14, 2.92%, 0, 0, 2, 67.78
AFLfast,pngtest,10,1622063094, 0, 0, 120, 120, 14, 2.92%, 0, 0, 2, 53.47
AFLfast,pngtest,10,1622063115, 0, 0, 121, 121, 14, 2.92%, 0, 0, 2, 85.55
AFLfast,pngtest,10,1622063353, 0, 0, 122, 122, 14, 2.92%, 0, 0, 2, 55.98
AFLfast,pngtest,10,1622063363, 0, 0, 123, 123, 14, 2.92%, 0, 0, 2, 59.54
AFLfast,pngtest,10,1622063969, 0, 0, 124, 124, 14, 2.92%, 0, 0, 2, 42.52
AFLfast,pngtest,10,1622064015, 0, 0, 128, 128, 14, 2.93%, 0, 0, 2, 73.35
AFLfast,pngtest,10,1622064020, 0, 0, 132, 132, 14, 2.94%, 0, 0, 2, 94.65
AFLfast,pngtest,10,1622064025, 0, 0, 135, 135, 14, 2.94%, 0, 0, 2, 52.72
AFLfast,pngtest,10,1622064167, 0, 0, 136, 136, 14, 2.94%, 0, 0, 2, 61.92
AFLfast,pngtest,10,1622064188, 0, 0, 139, 139, 14, 2.94%, 0, 0, 2, 85.49
AFLfast,pngtest,10,1622064193, 0, 0, 142, 142, 14, 2.94%, 0, 0, 2, 75.97
AFLfast,pngtest,10,1622064198, 0, 0, 143, 143, 14, 2.95%, 0, 0, 2, 58.57
AFLfast,pngtest,10,1622064203, 0, 0, 146, 146, 14, 2.95%, 0, 0, 2, 62.47
AFLfast,pngtest,10,1622064214, 0, 0, 148, 148, 14, 2.95%, 0, 0, 2, 60.94
AFLfast,pngtest,10,1622064275, 0, 0, 149, 149, 14, 2.96%, 0, 0, 2, 41.12
AFLfast,pngtest,10,1622064280, 0, 0, 156, 156, 14, 2.98%, 0, 0, 2, 60.66
AFLfast,pngtest,10,1622064285, 0, 0, 157, 157, 14, 2.98%, 0, 0, 2, 83.05
AFLfast,pngtest,10,1622064290, 0, 0, 158, 158, 14, 2.98%, 0, 0, 2, 87.15
AFLfast,pngtest,10,1622064295, 0, 0, 160, 160, 14, 2.98%, 0, 0, 2, 88.26
AFLfast,pngtest,10,1622064315, 0, 0, 161, 161, 14, 2.98%, 0, 0, 2, 92.38
AFLfast,pngtest,10,1622064326, 0, 0, 163, 163, 14, 2.99%, 0, 0, 2, 89.77
AFLfast,pngtest,10,1622064351, 0, 0, 164, 164, 14, 2.99%, 0, 0, 2, 88.97
AFLfast,pngtest,10,1622064361, 0, 0, 165, 165, 14, 2.99%, 0, 0, 2, 91.33
AFLfast,pngtest,10,1622064366, 0, 0, 166, 166, 14, 2.99%, 0, 0, 2, 93.20
AFLfast,pngtest,10,1622064387, 0, 0, 167, 167, 14, 2.99%, 0, 0, 2, 91.39
AFLfast,pngtest,10,1622064397, 0, 0, 168, 168, 14, 2.99%, 0, 0, 2, 93.58
AFLfast,pngtest,10,1622064402, 0, 0, 170, 170, 14, 2.99%, 0, 0, 2, 88.46
AFLfast,pngtest,10,1622064407, 0, 0, 171, 171, 14, 2.99%, 0, 0, 2, 90.82
AFLfast,pngtest,10,1622064433, 0, 0, 172, 172, 14, 3.01%, 0, 0, 2, 90.94
AFLfast,pngtest,10,1622064448, 0, 0, 173, 173, 14, 3.01%, 0, 0, 2, 88.82
AFLfast,pngtest,10,1622064458, 0, 0, 174, 174, 14, 3.01%, 0, 0, 2, 92.63
AFLfast,pngtest,10,1622064484, 0, 0, 175, 175, 14, 3.01%, 0, 0, 2, 89.26
AFLfast,pngtest,10,1622064525, 0, 0, 176, 176, 14, 3.01%, 0, 0, 2, 88.98
AFLfast,pngtest,10,1622064551, 0, 2, 176, 175, 80, 3.01%, 0, 0, 2, 91.75
AFLfast,pngtest,10,1622064606, 0, 2, 181, 180, 80, 3.02%, 0, 0, 2, 46.62
AFLfast,pngtest,10,1622064616, 0, 2, 182, 181, 80, 3.02%, 0, 0, 2, 62.27
AFLfast,pngtest,10,1622064627, 0, 2, 183, 182, 80, 3.02%, 0, 0, 2, 48.72
AFLfast,pngtest,10,1622064632, 0, 2, 191, 190, 80, 3.02%, 0, 0, 2, 44.77
AFLfast,pngtest,10,1622064637, 0, 2, 196, 195, 80, 3.02%, 0, 0, 2, 41.86
AFLfast,pngtest,10,1622064642, 0, 2, 197, 196, 80, 3.02%, 0, 0, 2, 40.43
AFLfast,pngtest,10,1622064718, 0, 2, 198, 197, 80, 3.02%, 0, 0, 2, 63.84
AFLfast,pngtest,10,1622064825, 0, 2, 199, 198, 80, 3.04%, 0, 0, 2, 51.25
AFLfast,pngtest,10,1622064830, 0, 2, 200, 199, 80, 3.04%, 0, 0, 2, 45.92
AFLfast,pngtest,10,1622064887, 0, 2, 201, 200, 80, 3.04%, 0, 0, 2, 48.04
AFLfast,pngtest,10,1622065252, 0, 2, 202, 201, 80, 3.05%, 0, 0, 2, 68.99
AFLfast,pngtest,10,1622065446, 0, 2, 203, 202, 80, 3.05%, 0, 0, 2, 40.47
AFLfast,pngtest,10,1622065747, 0, 2, 204, 203, 80, 3.05%, 0, 0, 2, 44.06
AFLfast,pngtest,10,1622066612, 0, 2, 205, 204, 80, 3.05%, 0, 0, 2, 42.15
AFLfast,pngtest,10,1622066881, 0, 2, 206, 205, 80, 3.05%, 0, 0, 2, 77.62
AFLfast,pngtest,10,1622066902, 0, 2, 207, 206, 80, 3.05%, 0, 0, 2, 54.38
AFLfast,pngtest,10,1622066994, 0, 5, 207, 205, 86, 3.05%, 0, 0, 2, 94.81
AFLfast,pngtest,10,1622066999, 0, 5, 209, 207, 86, 3.06%, 0, 0, 2, 104.62
AFLfast,pngtest,10,1622067721, 0, 6, 209, 206, 85, 3.06%, 0, 0, 2, 103.18
AFLfast,pngtest,10,1622067726, 0, 7, 211, 207, 84, 3.07%, 0, 0, 2, 103.74
AFLfast,pngtest,10,1622067865, 0, 7, 213, 209, 84, 3.07%, 0, 0, 2, 109.86
AFLfast,pngtest,10,1622067880, 0, 9, 213, 208, 86, 3.07%, 0, 0, 2, 109.34
AFLfast,pngtest,10,1622068049, 0, 11, 213, 207, 85, 3.07%, 0, 0, 2, 107.84
AFLfast,pngtest,10,1622068054, 0, 11, 216, 210, 85, 3.08%, 0, 0, 2, 106.61
AFLfast,pngtest,10,1622068269, 0, 11, 217, 211, 85, 3.08%, 0, 0, 2, 106.99
AFLfast,pngtest,10,1622068279, 0, 12, 217, 210, 87, 3.08%, 0, 0, 2, 108.76
AFLfast,pngtest,10,1622068284, 0, 12, 222, 215, 87, 3.09%, 0, 0, 2, 106.68
AFLfast,pngtest,10,1622068290, 0, 12, 224, 217, 87, 3.09%, 0, 0, 2, 105.83
AFLfast,pngtest,10,1622068346, 0, 12, 225, 218, 87, 3.09%, 0, 0, 2, 104.09
AFLfast,pngtest,10,1622068510, 0, 12, 226, 219, 87, 3.09%, 0, 0, 2, 108.12
AFLfast,pngtest,10,1622068515, 0, 12, 227, 220, 87, 3.09%, 0, 0, 2, 107.21
AFLfast,pngtest,10,1622068525, 0, 12, 228, 221, 87, 3.09%, 0, 0, 2, 105.13
AFLfast,pngtest,10,1622068536, 0, 12, 229, 222, 87, 3.09%, 0, 0, 2, 102.91
AFLfast,pngtest,10,1622068556, 0, 13, 232, 224, 92, 3.10%, 0, 0, 2, 105.44
AFLfast,pngtest,10,1622068668, 0, 13, 233, 225, 92, 3.10%, 0, 0, 2, 105.88
AFLfast,pngtest,10,1622068679, 0, 14, 235, 226, 94, 3.11%, 0, 0, 2, 107.25
AFLfast,pngtest,10,1622068807, 0, 16, 235, 224, 94, 3.11%, 0, 0, 2, 106.53
AFLfast,pngtest,10,1622068888, 0, 38, 235, 217, 87, 3.11%, 0, 0, 2, 101.85
AFLfast,pngtest,10,1622068893, 0, 41, 235, 214, 84, 3.11%, 0, 0, 2, 105.54
AFLfast,pngtest,10,1622068899, 0, 60, 235, 211, 81, 3.11%, 0, 0, 2, 101.57
AFLfast,pngtest,10,1622068904, 0, 64, 235, 209, 79, 3.11%, 0, 0, 2, 92.96
AFLfast,pngtest,10,1622068909, 0, 65, 235, 208, 78, 3.11%, 0, 0, 2, 88.44
AFLfast,pngtest,10,1622068914, 0, 83, 235, 206, 76, 3.11%, 0, 0, 2, 80.41
AFLfast,pngtest,10,1622068919, 0, 96, 235, 205, 75, 3.11%, 0, 0, 2, 80.08
AFLfast,pngtest,10,1622068924, 0, 97, 235, 204, 74, 3.11%, 0, 0, 2, 83.81
AFLfast,pngtest,10,1622068929, 0, 104, 235, 203, 73, 3.11%, 0, 0, 2, 99.00
AFLfast,pngtest,10,1622068985, 0, 104, 236, 204, 73, 3.11%, 0, 0, 3, 101.66
AFLfast,pngtest,10,1622069595, 0, 104, 237, 205, 73, 3.11%, 0, 0, 3, 107.68
AFLfast,pngtest,10,1622069739, 0, 106, 237, 204, 72, 3.11%, 0, 0, 3, 103.09
AFLfast,pngtest,10,1622072181, 0, 106, 239, 206, 72, 3.11%, 0, 0, 3, 81.08
AFLfast,pngtest,10,1622072196, 0, 106, 241, 208, 72, 3.11%, 0, 0, 3, 76.17
AFLfast,pngtest,10,1622072349, 0, 108, 241, 206, 71, 3.11%, 0, 0, 3, 95.91
AFLfast,pngtest,10,1622072354, 0, 114, 241, 204, 69, 3.11%, 0, 0, 3, 98.87
AFLfast,pngtest,10,1622072359, 0, 118, 241, 202, 67, 3.11%, 0, 0, 3, 88.97
AFLfast,pngtest,10,1622072364, 0, 134, 241, 194, 59, 3.11%, 0, 0, 3, 98.00
AFLfast,pngtest,10,1622072446, 0, 134, 242, 195, 59, 3.11%, 0, 0, 3, 49.21
AFLfast,pngtest,10,1622072451, 0, 134, 243, 196, 59, 3.11%, 0, 0, 3, 53.11
AFLfast,pngtest,10,1622073715, 0, 134, 245, 198, 59, 3.12%, 0, 0, 3, 90.36
AFLfast,pngtest,10,1622073741, 0, 134, 246, 199, 59, 3.12%, 0, 0, 3, 76.89
AFLfast,pngtest,10,1622073787, 0, 134, 247, 200, 59, 3.12%, 0, 0, 3, 92.21
AFLfast,pngtest,10,1622073822, 0, 134, 248, 201, 59, 3.12%, 0, 0, 3, 71.69
AFLfast,pngtest,10,1622073878, 0, 134, 249, 202, 59, 3.12%, 0, 0, 3, 42.86
AFLfast,pngtest,10,1622073954, 0, 134, 253, 206, 59, 3.14%, 0, 0, 3, 50.14
AFLfast,pngtest,10,1622073970, 0, 141, 253, 204, 64, 3.14%, 0, 0, 3, 103.81
AFLfast,pngtest,10,1622073975, 0, 143, 253, 203, 63, 3.14%, 0, 0, 3, 94.91
AFLfast,pngtest,10,1622074051, 0, 143, 254, 204, 63, 3.15%, 0, 0, 3, 51.43
AFLfast,pngtest,10,1622074061, 0, 143, 255, 205, 63, 3.15%, 0, 0, 3, 50.96
AFLfast,pngtest,10,1622074771, 0, 143, 256, 206, 63, 3.15%, 0, 0, 3, 66.77
AFLfast,pngtest,10,1622076722, 0, 143, 257, 207, 63, 3.15%, 0, 0, 3, 85.13
AFLfast,pngtest,10,1622076732, 0, 143, 258, 208, 63, 3.15%, 0, 0, 3, 94.33
AFLfast,pngtest,10,1622076768, 0, 143, 259, 209, 63, 3.15%, 0, 0, 3, 74.82
AFLfast,pngtest,10,1622076911, 0, 143, 260, 210, 63, 3.15%, 0, 0, 3, 84.63
AFLfast,pngtest,10,1622076931, 0, 145, 260, 208, 63, 3.15%, 0, 0, 3, 84.90
AFLfast,pngtest,10,1622076936, 0, 146, 260, 207, 62, 3.15%, 0, 0, 3, 90.50
AFLfast,pngtest,10,1622076972, 0, 146, 261, 208, 62, 3.15%, 0, 0, 3, 100.12
AFLfast,pngtest,10,1622077320, 0, 146, 262, 209, 62, 3.15%, 0, 0, 3, 97.38
AFLfast,pngtest,10,1622077853, 0, 146, 263, 210, 62, 3.15%, 0, 0, 3, 106.76
AFLfast,pngtest,10,1622078001, 0, 146, 264, 211, 62, 3.15%, 0, 0, 3, 101.87
AFLfast,pngtest,10,1622078021, 0, 146, 265, 212, 62, 3.15%, 0, 0, 3, 99.66
AFLfast,pngtest,10,1622078068, 0, 148, 265, 211, 62, 3.15%, 0, 0, 3, 95.29
AFLfast,pngtest,10,1622078150, 0, 148, 266, 212, 62, 3.15%, 0, 0, 3, 51.78
AFLfast,pngtest,10,1622078180, 0, 148, 267, 213, 62, 3.15%, 0, 0, 3, 74.44
AFLfast,pngtest,10,1622080740, 0, 148, 268, 214, 62, 3.15%, 0, 0, 3, 78.37
AFLfast,pngtest,10,1622080826, 0, 148, 269, 215, 62, 3.15%, 0, 0, 3, 76.03
AFLfast,pngtest,10,1622080989, 0, 149, 269, 214, 63, 3.15%, 0, 0, 3, 85.97
AFLfast,pngtest,10,1622080994, 0, 150, 269, 213, 62, 3.15%, 0, 0, 3, 82.05
AFLfast,pngtest,10,1622080999, 0, 151, 269, 212, 61, 3.15%, 0, 0, 3, 80.36
AFLfast,pngtest,10,1622081004, 0, 153, 269, 210, 59, 3.15%, 0, 0, 3, 80.98
AFLfast,pngtest,10,1622081009, 0, 160, 269, 209, 58, 3.15%, 0, 0, 3, 88.63
AFLfast,pngtest,10,1622081066, 0, 160, 270, 210, 58, 3.15%, 0, 0, 3, 68.77
AFLfast,pngtest,10,1622081591, 0, 160, 271, 211, 58, 3.15%, 0, 0, 3, 77.81
AFLfast,pngtest,10,1622081678, 0, 161, 271, 210, 59, 3.15%, 0, 0, 3, 97.10
AFLfast,pngtest,10,1622082557, 0, 161, 272, 211, 59, 3.15%, 0, 0, 3, 102.03
AFLfast,pngtest,10,1622082588, 0, 163, 272, 210, 58, 3.15%, 0, 0, 3, 104.67
AFLfast,pngtest,10,1622082593, 0, 163, 273, 211, 58, 3.15%, 0, 0, 3, 79.88
AFLfast,pngtest,10,1622082643, 0, 163, 274, 212, 58, 3.15%, 0, 0, 3, 68.23
AFLfast,pngtest,10,1622083271, 0, 164, 274, 211, 58, 3.15%, 0, 0, 3, 86.45
AFLfast,pngtest,10,1622083668, 0, 164, 275, 212, 58, 3.16%, 0, 0, 3, 56.88
AFLfast,pngtest,10,1622084586, 0, 164, 276, 213, 58, 3.16%, 0, 0, 3, 58.63
AFLfast,pngtest,10,1622084764, 0, 169, 276, 212, 58, 3.16%, 0, 0, 3, 85.09
AFLfast,pngtest,10,1622084943, 0, 169, 277, 213, 58, 3.16%, 0, 0, 3, 68.24
AFLfast,pngtest,10,1622086000, 0, 169, 278, 214, 58, 3.16%, 0, 0, 3, 94.37
AFLfast,pngtest,10,1622086010, 0, 169, 279, 215, 58, 3.16%, 0, 0, 3, 93.29
AFLfast,pngtest,10,1622086031, 0, 169, 280, 216, 58, 3.16%, 0, 0, 3, 70.25
AFLfast,pngtest,10,1622086276, 0, 170, 280, 215, 58, 3.16%, 0, 0, 3, 97.95
AFLfast,pngtest,10,1622086281, 0, 170, 281, 216, 58, 3.16%, 0, 0, 3, 103.57
AFLfast,pngtest,10,1622086307, 0, 170, 282, 217, 58, 3.16%, 0, 0, 3, 102.44
AFLfast,pngtest,10,1622086866, 0, 171, 282, 216, 57, 3.16%, 0, 0, 3, 103.63
AFLfast,pngtest,10,1622086912, 0, 171, 284, 218, 57, 3.16%, 0, 0, 3, 58.91
AFLfast,pngtest,10,1622086922, 0, 171, 286, 220, 57, 3.16%, 0, 0, 3, 70.20
AFLfast,pngtest,10,1622087587, 0, 178, 286, 218, 56, 3.16%, 0, 0, 3, 95.84
AFLfast,pngtest,10,1622087592, 0, 198, 286, 216, 54, 3.16%, 0, 0, 3, 83.70
AFLfast,pngtest,10,1622087597, 0, 200, 286, 215, 53, 3.16%, 0, 0, 3, 86.22
AFLfast,pngtest,10,1622089928, 0, 201, 286, 214, 52, 3.16%, 0, 0, 3, 99.36
AFLfast,pngtest,10,1622089933, 0, 208, 286, 211, 49, 3.16%, 0, 0, 3, 105.52
AFLfast,pngtest,10,1622089938, 0, 216, 286, 204, 42, 3.16%, 0, 0, 3, 107.41
AFLfast,pngtest,10,1622090179, 0, 219, 286, 203, 41, 3.16%, 0, 0, 3, 106.60
AFLfast,pngtest,10,1622090358, 0, 219, 287, 204, 41, 3.16%, 0, 0, 3, 106.75
AFLfast,pngtest,10,1622090378, 0, 220, 287, 203, 41, 3.16%, 0, 0, 3, 107.75
AFLfast,pngtest,10,1622090384, 0, 226, 287, 201, 39, 3.16%, 0, 0, 3, 106.28
AFLfast,pngtest,10,1622090645, 0, 226, 288, 202, 39, 3.16%, 0, 0, 3, 102.38
AFLfast,pngtest,10,1622090665, 0, 227, 288, 201, 39, 3.16%, 0, 0, 3, 103.51
AFLfast,pngtest,10,1622090671, 0, 227, 289, 202, 39, 3.16%, 0, 0, 3, 103.32
AFLfast,pngtest,10,1622090932, 0, 227, 290, 203, 39, 3.16%, 0, 0, 3, 105.13
AFLfast,pngtest,10,1622090957, 0, 228, 290, 202, 39, 3.16%, 0, 0, 3, 107.32
AFLfast,pngtest,10,1622091239, 0, 232, 290, 198, 35, 3.16%, 0, 0, 3, 107.54
AFLfast,pngtest,10,1622091362, 0, 232, 291, 199, 35, 3.16%, 0, 0, 3, 103.52
AFLfast,pngtest,10,1622091372, 0, 236, 291, 197, 34, 3.16%, 0, 0, 3, 106.62
AFLfast,pngtest,10,1622091377, 0, 237, 291, 196, 33, 3.16%, 0, 0, 3, 101.53
AFLfast,pngtest,10,1622093557, 0, 237, 292, 197, 33, 3.16%, 0, 0, 4, 98.93
