alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,pngtest,6,1622061311, 0, 0, 171.60
AFLfast,pngtest,6,1622061316, 0, 0, 292.57
AFLfast,pngtest,6,1622061321, 0, 0, 315.91
AFLfast,pngtest,6,1622061326, 0, 0, 316.87
AFLfast,pngtest,6,1622061352, 0, 0, 313.87
AFLfast,pngtest,6,1622061403, 0, 0, 250.27
AFLfast,pngtest,6,1622061408, 0, 0, 143.09
AFLfast,pngtest,6,1622061429, 0, 0, 94.65
AFLfast,pngtest,6,1622061434, 0, 0, 117.48
AFLfast,pngtest,6,1622061439, 0, 0, 109.35
AFLfast,pngtest,6,1622061444, 0, 0, 98.23
AFLfast,pngtest,6,1622061449, 0, 0, 90.90
AFLfast,pngtest,6,1622061454, 0, 0, 87.70
AFLfast,pngtest,6,1622061490, 0, 0, 121.26
AFLfast,pngtest,6,1622061506, 0, 0, 81.97
AFLfast,pngtest,6,1622061547, 0, 0, 107.21
AFLfast,pngtest,6,1622061557, 0, 0, 89.23
AFLfast,pngtest,6,1622061578, 0, 0, 84.88
AFLfast,pngtest,6,1622061889, 0, 0, 80.02
AFLfast,pngtest,6,1622061904, 0, 0, 88.69
AFLfast,pngtest,6,1622061914, 0, 0, 74.46
AFLfast,pngtest,6,1622062400, 0, 0, 69.89
AFLfast,pngtest,6,1622062513, 0, 0, 48.24
AFLfast,pngtest,6,1622062773, 0, 0, 49.25
AFLfast,pngtest,6,1622062783, 0, 0, 43.70
AFLfast,pngtest,6,1622063416, 0, 0, 38.53
AFLfast,pngtest,6,1622063472, 0, 0, 88.14
AFLfast,pngtest,6,1622063477, 0, 0, 75.86
AFLfast,pngtest,6,1622063646, 0, 0, 86.28
AFLfast,pngtest,6,1622063651, 0, 0, 74.93
AFLfast,pngtest,6,1622063656, 0, 0, 53.85
AFLfast,pngtest,6,1622063661, 0, 0, 59.51
AFLfast,pngtest,6,1622063672, 0, 0, 54.55
AFLfast,pngtest,6,1622063743, 0, 0, 36.69
AFLfast,pngtest,6,1622063748, 0, 0, 68.99
AFLfast,pngtest,6,1622063753, 0, 0, 87.64
AFLfast,pngtest,6,1622063764, 0, 0, 92.82
AFLfast,pngtest,6,1622063779, 0, 0, 93.49
AFLfast,pngtest,6,1622063784, 0, 0, 91.07
AFLfast,pngtest,6,1622063794, 0, 0, 94.78
