alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
AFLfast,tiffsplit,4,1622184283, 0, 0, 21, 21, 13, 2.98%, 0, 0, 1, 36.26
AFLfast,tiffsplit,4,1622184491, 0, 0, 28, 28, 13, 3.02%, 0, 0, 2, 6.79
AFLfast,tiffsplit,4,1622184502, 0, 0, 30, 30, 13, 3.02%, 0, 0, 2, 5.32
AFLfast,tiffsplit,4,1622184507, 0, 0, 34, 34, 13, 3.02%, 0, 0, 2, 6.34
AFLfast,tiffsplit,4,1622184512, 0, 0, 37, 37, 13, 3.02%, 0, 0, 2, 6.47
AFLfast,tiffsplit,4,1622184528, 0, 0, 38, 38, 13, 3.02%, 0, 0, 2, 6.54
AFLfast,tiffsplit,4,1622184559, 0, 0, 39, 39, 13, 3.02%, 0, 0, 2, 6.50
AFLfast,tiffsplit,4,1622184590, 0, 0, 40, 40, 13, 3.02%, 0, 0, 2, 6.42
AFLfast,tiffsplit,4,1622184668, 0, 0, 44, 44, 13, 3.03%, 0, 0, 2, 7.63
AFLfast,tiffsplit,4,1622184683, 0, 0, 46, 46, 13, 3.03%, 0, 0, 2, 6.51
AFLfast,tiffsplit,4,1622184699, 0, 0, 47, 47, 13, 3.03%, 0, 0, 2, 6.44
AFLfast,tiffsplit,4,1622184704, 0, 0, 49, 49, 13, 3.03%, 0, 0, 2, 6.38
AFLfast,tiffsplit,4,1622184735, 0, 0, 50, 50, 13, 3.03%, 0, 0, 2, 6.35
AFLfast,tiffsplit,4,1622184829, 0, 0, 51, 51, 13, 3.03%, 0, 0, 2, 5.88
AFLfast,tiffsplit,4,1622184912, 0, 0, 52, 52, 13, 3.03%, 0, 0, 2, 5.71
AFLfast,tiffsplit,4,1622185001, 0, 0, 53, 53, 13, 3.03%, 0, 0, 2, 5.71
AFLfast,tiffsplit,4,1622185333, 0, 0, 54, 54, 13, 3.03%, 0, 0, 2, 5.38
AFLfast,tiffsplit,4,1622185549, 0, 0, 55, 55, 13, 3.03%, 0, 0, 2, 4.95
AFLfast,tiffsplit,4,1622186741, 0, 0, 56, 56, 13, 3.03%, 0, 0, 2, 5.50
AFLfast,tiffsplit,4,1622187451, 0, 0, 58, 58, 13, 3.03%, 0, 0, 2, 6.57
AFLfast,tiffsplit,4,1622188178, 0, 0, 59, 59, 13, 3.03%, 0, 0, 2, 5.92
AFLfast,tiffsplit,4,1622188896, 0, 0, 60, 60, 13, 3.03%, 0, 0, 2, 5.02
AFLfast,tiffsplit,4,1622188901, 0, 0, 61, 61, 13, 3.03%, 0, 0, 2, 4.28
AFLfast,tiffsplit,4,1622188912, 0, 0, 65, 65, 13, 3.03%, 0, 0, 2, 16.82
AFLfast,tiffsplit,4,1622188928, 0, 0, 66, 66, 13, 3.04%, 0, 0, 2, 5.86
AFLfast,tiffsplit,4,1622189202, 0, 0, 67, 67, 13, 3.04%, 0, 0, 2, 6.52
AFLfast,tiffsplit,4,1622189650, 0, 0, 68, 68, 13, 3.04%, 0, 0, 2, 6.66
AFLfast,tiffsplit,4,1622191879, 0, 0, 69, 69, 13, 3.04%, 0, 0, 2, 6.52
AFLfast,tiffsplit,4,1622192605, 0, 0, 70, 70, 13, 3.04%, 0, 0, 2, 5.00
AFLfast,tiffsplit,4,1622192621, 0, 0, 74, 74, 13, 3.04%, 0, 0, 2, 4.22
AFLfast,tiffsplit,4,1622193030, 0, 0, 75, 75, 13, 3.04%, 0, 0, 2, 5.13
AFLfast,tiffsplit,4,1622195854, 0, 0, 77, 77, 13, 3.04%, 0, 0, 2, 5.51
AFLfast,tiffsplit,4,1622197591, 0, 0, 78, 78, 13, 3.04%, 0, 0, 2, 6.02
AFLfast,tiffsplit,4,1622197602, 0, 0, 79, 79, 13, 3.04%, 0, 0, 2, 5.54
AFLfast,tiffsplit,4,1622199439, 0, 0, 83, 83, 13, 3.05%, 0, 0, 2, 4.72
AFLfast,tiffsplit,4,1622199532, 0, 0, 86, 86, 13, 3.05%, 0, 0, 2, 5.74
AFLfast,tiffsplit,4,1622199537, 0, 0, 95, 95, 13, 3.05%, 0, 0, 2, 11.74
AFLfast,tiffsplit,4,1622199542, 0, 0, 103, 103, 13, 3.05%, 0, 0, 2, 14.12
AFLfast,tiffsplit,4,1622199548, 0, 0, 107, 107, 13, 3.05%, 0, 0, 2, 3.21
AFLfast,tiffsplit,4,1622226808, 0, 0, 108, 108, 13, 3.05%, 0, 0, 2, 6.21
AFLfast,tiffsplit,4,1622234222, 0, 0, 112, 112, 13, 3.05%, 0, 0, 2, 47.49
AFLfast,tiffsplit,4,1622234238, 0, 0, 113, 113, 13, 3.05%, 0, 0, 2, 6.49
AFLfast,tiffsplit,4,1622234740, 0, 0, 114, 114, 13, 3.06%, 0, 0, 2, 6.87
AFLfast,tiffsplit,4,1622242411, 0, 0, 115, 115, 13, 3.06%, 0, 0, 2, 6.07
AFLfast,tiffsplit,4,1622242416, 0, 0, 117, 117, 13, 3.06%, 0, 0, 2, 7.29
AFLfast,tiffsplit,4,1622242618, 0, 0, 118, 118, 13, 3.06%, 0, 0, 2, 6.34
AFLfast,tiffsplit,4,1622244660, 0, 0, 119, 119, 13, 3.06%, 0, 0, 2, 6.69
AFLfast,tiffsplit,4,1622244728, 0, 0, 120, 120, 13, 3.07%, 0, 0, 2, 6.74
AFLfast,tiffsplit,4,1622246213, 0, 0, 121, 121, 13, 3.07%, 0, 0, 2, 8.49
AFLfast,tiffsplit,4,1622249029, 0, 0, 122, 122, 13, 3.07%, 0, 0, 2, 6.08
AFLfast,tiffsplit,4,1622250226, 0, 0, 123, 123, 13, 3.07%, 0, 0, 2, 6.59
AFLfast,tiffsplit,4,1622250288, 0, 0, 124, 124, 13, 3.07%, 0, 0, 2, 6.26
AFLfast,tiffsplit,4,1622251002, 0, 0, 125, 125, 13, 3.07%, 0, 0, 2, 5.90
AFLfast,tiffsplit,4,1622251727, 0, 0, 126, 126, 13, 3.07%, 0, 0, 2, 5.95
AFLfast,tiffsplit,4,1622251789, 0, 0, 127, 127, 13, 3.07%, 0, 0, 2, 5.47
AFLfast,tiffsplit,4,1622251908, 0, 0, 128, 128, 13, 3.07%, 0, 0, 2, 5.28
AFLfast,tiffsplit,4,1622252090, 0, 0, 129, 129, 13, 3.07%, 0, 0, 2, 5.93
AFLfast,tiffsplit,4,1622254954, 0, 0, 130, 130, 13, 3.07%, 0, 0, 2, 6.14
AFLfast,tiffsplit,4,1622255324, 0, 0, 131, 131, 13, 3.07%, 0, 0, 2, 6.23
AFLfast,tiffsplit,4,1622255936, 0, 0, 132, 132, 13, 3.07%, 0, 0, 2, 5.28
AFLfast,tiffsplit,4,1622256554, 0, 0, 133, 133, 13, 3.07%, 0, 0, 2, 5.63
AFLfast,tiffsplit,4,1622257935, 0, 0, 134, 134, 13, 3.07%, 0, 0, 2, 7.01
AFLfast,tiffsplit,4,1622258002, 0, 0, 135, 135, 13, 3.07%, 0, 0, 2, 5.65
AFLfast,tiffsplit,4,1622258122, 0, 0, 136, 136, 13, 3.07%, 0, 0, 2, 6.85
AFLfast,tiffsplit,4,1622260564, 0, 0, 137, 137, 13, 3.07%, 0, 0, 2, 13.30
