alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,tiffsplit,5,1622186989, 0, 0, 32.26
AFLfast,tiffsplit,5,1622186994, 0, 0, 8.47
AFLfast,tiffsplit,5,1622187000, 0, 0, 33.71
AFLfast,tiffsplit,5,1622187030, 0, 0, 37.47
AFLfast,tiffsplit,5,1622187035, 0, 0, 37.27
AFLfast,tiffsplit,5,1622187040, 0, 0, 37.17
AFLfast,tiffsplit,5,1622187045, 0, 0, 36.98
AFLfast,tiffsplit,5,1622187051, 0, 0, 35.96
AFLfast,tiffsplit,5,1622187056, 0, 0, 36.39
AFLfast,tiffsplit,5,1622187061, 0, 0, 36.13
AFLfast,tiffsplit,5,1622187066, 0, 0, 35.58
AFLfast,tiffsplit,5,1622187071, 0, 0, 36.95
AFLfast,tiffsplit,5,1622187082, 0, 0, 36.06
AFLfast,tiffsplit,5,1622187087, 0, 0, 35.11
AFLfast,tiffsplit,5,1622187092, 0, 0, 40.32
AFLfast,tiffsplit,5,1622187128, 0, 0, 39.39
AFLfast,tiffsplit,5,1622187133, 0, 0, 37.73
AFLfast,tiffsplit,5,1622187138, 0, 0, 38.13
AFLfast,tiffsplit,5,1622187143, 0, 0, 37.72
AFLfast,tiffsplit,5,1622187153, 0, 0, 40.93
AFLfast,tiffsplit,5,1622187159, 0, 0, 41.23
AFLfast,tiffsplit,5,1622187164, 0, 0, 38.63
AFLfast,tiffsplit,5,1622187174, 0, 0, 8.58
AFLfast,tiffsplit,5,1622187211, 0, 0, 40.76
AFLfast,tiffsplit,5,1622187216, 0, 0, 44.96
AFLfast,tiffsplit,5,1622187236, 0, 0, 39.97
AFLfast,tiffsplit,5,1622187247, 0, 0, 39.05
AFLfast,tiffsplit,5,1622187294, 0, 0, 52.52
AFLfast,tiffsplit,5,1622187299, 0, 0, 43.71
AFLfast,tiffsplit,5,1622187304, 0, 0, 8.93
AFLfast,tiffsplit,5,1622187314, 0, 0, 38.67
AFLfast,tiffsplit,5,1622187319, 0, 0, 41.36
AFLfast,tiffsplit,5,1622187335, 0, 0, 39.12
AFLfast,tiffsplit,5,1622187361, 0, 0, 43.21
AFLfast,tiffsplit,5,1622187366, 0, 0, 39.25
AFLfast,tiffsplit,5,1622187443, 0, 0, 39.11
AFLfast,tiffsplit,5,1622187448, 0, 0, 42.80
AFLfast,tiffsplit,5,1622187505, 0, 0, 39.99
AFLfast,tiffsplit,5,1622187526, 0, 0, 15.19
AFLfast,tiffsplit,5,1622187712, 0, 0, 38.30
AFLfast,tiffsplit,5,1622187984, 0, 0, 37.41
AFLfast,tiffsplit,5,1622187989, 0, 0, 40.02
AFLfast,tiffsplit,5,1622188000, 0, 0, 34.57
AFLfast,tiffsplit,5,1622188045, 0, 0, 37.70
AFLfast,tiffsplit,5,1622188123, 0, 0, 39.47
AFLfast,tiffsplit,5,1622188180, 0, 0, 39.49
AFLfast,tiffsplit,5,1622188241, 0, 0, 39.24
AFLfast,tiffsplit,5,1622188247, 0, 0, 44.86
AFLfast,tiffsplit,5,1622188252, 0, 0, 45.46
AFLfast,tiffsplit,5,1622188257, 0, 0, 44.92
AFLfast,tiffsplit,5,1622188262, 0, 0, 44.18
AFLfast,tiffsplit,5,1622188267, 0, 0, 45.25
AFLfast,tiffsplit,5,1622188273, 0, 0, 46.44
AFLfast,tiffsplit,5,1622188278, 0, 0, 42.58
AFLfast,tiffsplit,5,1622188283, 0, 0, 8.40
