alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,xmlcatalog,10,1622197368, 0, 0, 73.69
AFLfast,xmlcatalog,10,1622197373, 0, 0, 62.92
AFLfast,xmlcatalog,10,1622197379, 0, 0, 60.75
AFLfast,xmlcatalog,10,1622197384, 0, 0, 58.38
AFLfast,xmlcatalog,10,1622197389, 0, 0, 55.95
AFLfast,xmlcatalog,10,1622197394, 0, 0, 57.18
AFLfast,xmlcatalog,10,1622197399, 0, 0, 52.82
AFLfast,xmlcatalog,10,1622197404, 0, 0, 54.91
AFLfast,xmlcatalog,10,1622197410, 0, 0, 51.32
AFLfast,xmlcatalog,10,1622197415, 0, 0, 52.40
AFLfast,xmlcatalog,10,1622197420, 0, 0, 54.27
AFLfast,xmlcatalog,10,1622197430, 0, 0, 56.09
AFLfast,xmlcatalog,10,1622197435, 0, 0, 56.95
AFLfast,xmlcatalog,10,1622197441, 0, 0, 52.35
AFLfast,xmlcatalog,10,1622197446, 0, 0, 56.27
AFLfast,xmlcatalog,10,1622197451, 0, 0, 55.26
AFLfast,xmlcatalog,10,1622197456, 0, 0, 52.71
AFLfast,xmlcatalog,10,1622197461, 0, 0, 52.44
AFLfast,xmlcatalog,10,1622197466, 0, 0, 58.10
AFLfast,xmlcatalog,10,1622197476, 0, 0, 58.78
AFLfast,xmlcatalog,10,1622197491, 0, 0, 54.42
AFLfast,xmlcatalog,10,1622197501, 0, 0, 53.87
AFLfast,xmlcatalog,10,1622197506, 0, 0, 56.44
AFLfast,xmlcatalog,10,1622197512, 0, 0, 55.76
AFLfast,xmlcatalog,10,1622197522, 0, 0, 54.82
AFLfast,xmlcatalog,10,1622197537, 0, 0, 56.04
AFLfast,xmlcatalog,10,1622197547, 0, 0, 54.92
AFLfast,xmlcatalog,10,1622197568, 0, 0, 55.86
AFLfast,xmlcatalog,10,1622197599, 0, 0, 55.63
AFLfast,xmlcatalog,10,1622197609, 0, 0, 55.32
AFLfast,xmlcatalog,10,1622197614, 0, 0, 55.70
AFLfast,xmlcatalog,10,1622197630, 0, 0, 55.23
AFLfast,xmlcatalog,10,1622197635, 0, 0, 55.12
AFLfast,xmlcatalog,10,1622197640, 0, 0, 55.35
AFLfast,xmlcatalog,10,1622197666, 0, 0, 56.09
AFLfast,xmlcatalog,10,1622197712, 0, 0, 54.55
AFLfast,xmlcatalog,10,1622197717, 0, 0, 55.07
AFLfast,xmlcatalog,10,1622197728, 0, 0, 53.87
AFLfast,xmlcatalog,10,1622197743, 0, 0, 55.15
AFLfast,xmlcatalog,10,1622197764, 0, 0, 55.73
AFLfast,xmlcatalog,10,1622197774, 0, 0, 54.85
