alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
AFLfast,xmlcatalog,3,1622196420, 0, 0, 43, 43, 2, 0.44%, 0, 0, 1, 81.96
AFLfast,xmlcatalog,3,1622196425, 0, 33, 59, 59, 2, 0.54%, 0, 0, 2, 81.71
AFLfast,xmlcatalog,3,1622196430, 0, 33, 77, 77, 2, 0.63%, 0, 0, 2, 76.71
AFLfast,xmlcatalog,3,1622196436, 0, 33, 90, 90, 2, 0.63%, 0, 0, 2, 74.69
AFLfast,xmlcatalog,3,1622196441, 0, 33, 99, 99, 2, 0.65%, 0, 0, 2, 71.59
AFLfast,xmlcatalog,3,1622196446, 0, 33, 101, 101, 2, 0.65%, 0, 0, 2, 70.92
AFLfast,xmlcatalog,3,1622196451, 0, 33, 106, 106, 2, 0.66%, 0, 0, 2, 52.11
AFLfast,xmlcatalog,3,1622196457, 0, 33, 111, 111, 2, 0.66%, 0, 0, 2, 67.02
AFLfast,xmlcatalog,3,1622196462, 0, 33, 116, 116, 2, 0.66%, 0, 0, 2, 70.08
AFLfast,xmlcatalog,3,1622196467, 0, 33, 119, 119, 2, 0.66%, 0, 0, 2, 75.32
AFLfast,xmlcatalog,3,1622196472, 0, 33, 121, 121, 2, 0.66%, 0, 0, 2, 68.60
AFLfast,xmlcatalog,3,1622196477, 0, 33, 123, 123, 2, 0.67%, 0, 0, 2, 67.09
AFLfast,xmlcatalog,3,1622196482, 0, 33, 124, 124, 2, 0.67%, 0, 0, 2, 64.22
AFLfast,xmlcatalog,3,1622196503, 0, 33, 125, 125, 2, 0.67%, 0, 0, 2, 53.81
AFLfast,xmlcatalog,3,1622196508, 0, 33, 129, 129, 2, 0.67%, 0, 0, 2, 100.63
AFLfast,xmlcatalog,3,1622196513, 0, 33, 130, 130, 2, 0.67%, 0, 0, 2, 54.86
AFLfast,xmlcatalog,3,1622196519, 0, 33, 132, 132, 2, 0.67%, 0, 0, 2, 73.81
AFLfast,xmlcatalog,3,1622196524, 0, 33, 133, 133, 2, 0.67%, 0, 0, 2, 60.19
AFLfast,xmlcatalog,3,1622196529, 0, 33, 134, 134, 2, 0.67%, 0, 0, 2, 67.89
AFLfast,xmlcatalog,3,1622196534, 0, 33, 135, 135, 2, 0.67%, 0, 0, 2, 57.18
AFLfast,xmlcatalog,3,1622196539, 0, 33, 137, 137, 2, 0.68%, 0, 0, 2, 69.70
AFLfast,xmlcatalog,3,1622196544, 0, 33, 138, 138, 2, 0.68%, 0, 0, 2, 72.62
AFLfast,xmlcatalog,3,1622196554, 0, 33, 140, 140, 2, 0.68%, 0, 0, 2, 9.26
AFLfast,xmlcatalog,3,1622196560, 0, 33, 141, 141, 2, 0.68%, 0, 0, 2, 72.40
AFLfast,xmlcatalog,3,1622196565, 0, 33, 142, 142, 2, 0.68%, 0, 0, 2, 74.76
AFLfast,xmlcatalog,3,1622196580, 0, 33, 144, 144, 2, 0.68%, 0, 0, 2, 70.55
AFLfast,xmlcatalog,3,1622196606, 0, 33, 145, 145, 2, 0.68%, 0, 0, 2, 73.45
AFLfast,xmlcatalog,3,1622196616, 0, 33, 146, 146, 2, 0.68%, 0, 0, 2, 72.06
AFLfast,xmlcatalog,3,1622196622, 0, 75, 146, 136, 33, 0.68%, 0, 0, 2, 72.72
AFLfast,xmlcatalog,3,1622196648, 0, 75, 147, 137, 33, 0.68%, 0, 0, 3, 72.10
AFLfast,xmlcatalog,3,1622196653, 0, 75, 149, 139, 33, 0.68%, 0, 0, 3, 73.27
AFLfast,xmlcatalog,3,1622196658, 0, 75, 150, 140, 33, 0.68%, 0, 0, 3, 73.29
AFLfast,xmlcatalog,3,1622196663, 0, 75, 151, 141, 33, 0.68%, 0, 0, 3, 53.48
