alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
AFLfast,xmllint,10,1622192736, 0, 0, 30, 30, 23, 8.30%, 0, 0, 1, 24.57
AFLfast,xmllint,10,1622192742, 0, 0, 34, 34, 23, 8.51%, 0, 0, 2, 27.58
AFLfast,xmllint,10,1622192747, 0, 0, 46, 46, 23, 8.63%, 0, 0, 2, 25.26
AFLfast,xmllint,10,1622192752, 0, 0, 55, 55, 23, 8.68%, 0, 0, 2, 23.89
AFLfast,xmllint,10,1622192757, 0, 0, 61, 61, 23, 8.78%, 0, 0, 2, 16.68
AFLfast,xmllint,10,1622192762, 0, 0, 72, 72, 23, 8.84%, 0, 0, 2, 21.66
AFLfast,xmllint,10,1622192767, 0, 0, 83, 83, 23, 8.92%, 0, 0, 2, 22.86
AFLfast,xmllint,10,1622192772, 0, 0, 93, 93, 23, 8.97%, 0, 0, 2, 22.77
AFLfast,xmllint,10,1622192777, 0, 0, 101, 101, 23, 8.97%, 0, 0, 2, 23.12
AFLfast,xmllint,10,1622192783, 0, 0, 107, 107, 23, 8.99%, 0, 0, 2, 22.76
AFLfast,xmllint,10,1622192788, 0, 0, 117, 117, 23, 9.08%, 0, 0, 2, 22.52
AFLfast,xmllint,10,1622192793, 0, 0, 127, 127, 23, 9.13%, 0, 0, 2, 22.52
AFLfast,xmllint,10,1622192798, 0, 0, 137, 137, 23, 9.23%, 0, 0, 2, 23.29
AFLfast,xmllint,10,1622192803, 0, 0, 145, 145, 23, 9.24%, 0, 0, 2, 22.94
AFLfast,xmllint,10,1622192808, 0, 0, 151, 151, 23, 9.24%, 0, 0, 2, 22.65
AFLfast,xmllint,10,1622192813, 0, 0, 155, 155, 23, 9.24%, 0, 0, 2, 22.40
AFLfast,xmllint,10,1622192818, 0, 0, 159, 159, 23, 9.24%, 0, 0, 2, 22.15
AFLfast,xmllint,10,1622192823, 0, 0, 169, 169, 23, 9.30%, 0, 0, 2, 22.51
AFLfast,xmllint,10,1622192829, 0, 0, 176, 176, 23, 9.32%, 0, 0, 2, 22.43
AFLfast,xmllint,10,1622192834, 0, 0, 182, 182, 23, 9.35%, 0, 0, 2, 22.30
AFLfast,xmllint,10,1622192839, 0, 0, 189, 189, 23, 9.37%, 0, 0, 2, 22.29
AFLfast,xmllint,10,1622192844, 0, 0, 195, 195, 23, 9.40%, 0, 0, 2, 22.37
AFLfast,xmllint,10,1622192849, 0, 0, 198, 198, 23, 9.42%, 0, 0, 2, 21.49
AFLfast,xmllint,10,1622192854, 0, 0, 204, 204, 23, 9.42%, 0, 0, 2, 21.74
AFLfast,xmllint,10,1622192859, 0, 0, 207, 207, 23, 9.42%, 0, 0, 2, 21.41
AFLfast,xmllint,10,1622192865, 0, 0, 209, 209, 23, 9.43%, 0, 0, 2, 20.30
AFLfast,xmllint,10,1622192870, 0, 0, 215, 215, 23, 9.43%, 0, 0, 2, 20.11
AFLfast,xmllint,10,1622192875, 0, 0, 220, 220, 23, 9.43%, 0, 0, 2, 20.83
AFLfast,xmllint,10,1622192880, 0, 0, 223, 223, 23, 9.43%, 0, 0, 2, 21.60
AFLfast,xmllint,10,1622192885, 0, 0, 230, 230, 23, 9.54%, 0, 0, 2, 21.31
AFLfast,xmllint,10,1622192890, 0, 0, 234, 234, 23, 9.55%, 0, 0, 2, 21.53
AFLfast,xmllint,10,1622192895, 0, 0, 236, 236, 23, 9.55%, 0, 0, 2, 21.53
AFLfast,xmllint,10,1622192901, 0, 0, 240, 240, 23, 9.56%, 0, 0, 2, 20.33
AFLfast,xmllint,10,1622192911, 0, 0, 244, 244, 23, 9.57%, 0, 0, 2, 20.05
AFLfast,xmllint,10,1622192916, 0, 0, 248, 248, 23, 9.57%, 0, 0, 2, 21.21
AFLfast,xmllint,10,1622192921, 0, 0, 251, 251, 23, 9.58%, 0, 0, 2, 20.94
AFLfast,xmllint,10,1622192926, 0, 0, 257, 257, 23, 9.59%, 0, 0, 2, 20.70
AFLfast,xmllint,10,1622192931, 0, 0, 260, 260, 23, 9.59%, 0, 0, 2, 21.30
AFLfast,xmllint,10,1622192936, 0, 0, 263, 263, 23, 9.59%, 0, 0, 2, 22.05
AFLfast,xmllint,10,1622192941, 0, 0, 267, 267, 23, 9.59%, 0, 0, 2, 21.44
AFLfast,xmllint,10,1622192962, 0, 0, 268, 268, 23, 9.59%, 0, 0, 2, 20.83
AFLfast,xmllint,10,1622192967, 0, 0, 271, 271, 23, 9.60%, 0, 0, 2, 20.53
AFLfast,xmllint,10,1622192973, 0, 0, 274, 274, 23, 9.64%, 0, 0, 2, 19.88
AFLfast,xmllint,10,1622192983, 0, 0, 276, 276, 23, 9.64%, 0, 0, 2, 8.82
AFLfast,xmllint,10,1622192988, 0, 0, 277, 277, 23, 9.64%, 0, 0, 2, 15.28
