alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,xmllint,5,1622191835, 0, 0, 31.83
AFLfast,xmllint,5,1622191840, 0, 0, 28.99
AFLfast,xmllint,5,1622191845, 0, 0, 36.16
AFLfast,xmllint,5,1622191850, 0, 0, 35.31
AFLfast,xmllint,5,1622191855, 0, 0, 4.55
AFLfast,xmllint,5,1622191861, 0, 0, 35.58
AFLfast,xmllint,5,1622191866, 0, 0, 31.93
AFLfast,xmllint,5,1622191871, 0, 0, 33.45
AFLfast,xmllint,5,1622191876, 0, 0, 32.41
AFLfast,xmllint,5,1622191882, 0, 0, 34.19
AFLfast,xmllint,5,1622191887, 0, 0, 31.36
AFLfast,xmllint,5,1622191892, 0, 0, 32.84
AFLfast,xmllint,5,1622191898, 0, 0, 33.46
AFLfast,xmllint,5,1622191903, 0, 0, 25.51
AFLfast,xmllint,5,1622191908, 0, 0, 29.67
AFLfast,xmllint,5,1622191913, 0, 0, 34.49
AFLfast,xmllint,5,1622191918, 0, 0, 34.60
AFLfast,xmllint,5,1622191923, 0, 0, 33.13
AFLfast,xmllint,5,1622191928, 0, 0, 32.88
AFLfast,xmllint,5,1622191934, 0, 0, 32.20
AFLfast,xmllint,5,1622191939, 0, 0, 33.07
AFLfast,xmllint,5,1622191949, 0, 0, 29.55
AFLfast,xmllint,5,1622191954, 0, 0, 31.78
AFLfast,xmllint,5,1622191959, 0, 0, 32.31
AFLfast,xmllint,5,1622191964, 0, 0, 34.08
AFLfast,xmllint,5,1622191969, 0, 0, 30.91
AFLfast,xmllint,5,1622191975, 0, 0, 30.06
AFLfast,xmllint,5,1622191980, 0, 0, 31.37
AFLfast,xmllint,5,1622191991, 0, 0, 30.25
AFLfast,xmllint,5,1622191996, 0, 0, 29.51
AFLfast,xmllint,5,1622192001, 0, 0, 28.58
AFLfast,xmllint,5,1622192006, 0, 0, 30.75
AFLfast,xmllint,5,1622192011, 0, 0, 30.28
AFLfast,xmllint,5,1622192017, 0, 0, 29.57
AFLfast,xmllint,5,1622192022, 0, 0, 30.78
AFLfast,xmllint,5,1622192027, 0, 0, 30.99
AFLfast,xmllint,5,1622192032, 0, 0, 32.37
AFLfast,xmllint,5,1622192042, 0, 0, 30.37
