alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,mp3gain,12,1622187360, 0, 0, 24.08
AFLfast,mp3gain,12,1622187427, 0, 0, 31.51
AFLfast,mp3gain,12,1622187438, 0, 0, 31.30
AFLfast,mp3gain,12,1622187572, 0, 0, 29.72
AFLfast,mp3gain,12,1622187654, 0, 0, 31.03
AFLfast,mp3gain,12,1622187731, 0, 0, 30.39
AFLfast,mp3gain,12,1622187799, 0, 0, 30.46
AFLfast,mp3gain,12,1622187804, 0, 0, 30.20
AFLfast,mp3gain,12,1622187866, 0, 0, 31.05
AFLfast,mp3gain,12,1622187958, 0, 0, 30.62
AFLfast,mp3gain,12,1622188092, 0, 0, 30.98
AFLfast,mp3gain,12,1622188185, 0, 0, 30.58
AFLfast,mp3gain,12,1622188221, 0, 0, 30.74
AFLfast,mp3gain,12,1622188252, 0, 0, 30.83
AFLfast,mp3gain,12,1622188339, 0, 0, 30.75
AFLfast,mp3gain,12,1622188375, 0, 0, 30.62
AFLfast,mp3gain,12,1622188427, 0, 0, 29.50
AFLfast,mp3gain,12,1622188581, 0, 0, 30.58
AFLfast,mp3gain,12,1622188726, 0, 0, 29.93
AFLfast,mp3gain,12,1622188767, 0, 0, 29.81
AFLfast,mp3gain,12,1622189046, 0, 0, 23.61
AFLfast,mp3gain,12,1622189067, 0, 0, 24.09
AFLfast,mp3gain,12,1622190299, 0, 0, 20.17
AFLfast,mp3gain,12,1622190453, 0, 0, 20.06
AFLfast,mp3gain,12,1622190525, 0, 0, 18.12
AFLfast,mp3gain,12,1622192455, 0, 0, 21.17
AFLfast,mp3gain,12,1622193617, 0, 0, 30.31
AFLfast,mp3gain,12,1622193772, 0, 0, 30.22
AFLfast,mp3gain,12,1622193777, 0, 0, 30.12
AFLfast,mp3gain,12,1622193783, 0, 0, 30.49
AFLfast,mp3gain,12,1622193974, 0, 0, 30.24
AFLfast,mp3gain,12,1622194527, 0, 0, 28.98
AFLfast,mp3gain,12,1622194532, 0, 0, 30.07
AFLfast,mp3gain,12,1622194821, 0, 0, 29.10
AFLfast,mp3gain,12,1622194863, 0, 0, 30.28
AFLfast,mp3gain,12,1622195008, 0, 0, 31.82
AFLfast,mp3gain,12,1622195034, 0, 0, 30.03
AFLfast,mp3gain,12,1622195039, 0, 0, 30.05
AFLfast,mp3gain,12,1622195044, 0, 0, 29.84
AFLfast,mp3gain,12,1622196257, 0, 0, 30.31
AFLfast,mp3gain,12,1622196268, 0, 0, 31.51
AFLfast,mp3gain,12,1622197509, 0, 0, 20.36
AFLfast,mp3gain,12,1622197859, 0, 0, 19.91
AFLfast,mp3gain,12,1622198856, 0, 0, 19.88
AFLfast,mp3gain,12,1622199298, 0, 0, 19.35
AFLfast,mp3gain,12,1622199328, 0, 0, 26.20
AFLfast,mp3gain,12,1622199333, 0, 0, 23.78
AFLfast,mp3gain,12,1622199338, 0, 0, 9.56
AFLfast,mp3gain,12,1622199344, 0, 0, 19.53
AFLfast,mp3gain,12,1622199349, 0, 0, 22.23
AFLfast,mp3gain,12,1622199354, 0, 0, 22.82
AFLfast,mp3gain,12,1622199359, 0, 0, 22.82
AFLfast,mp3gain,12,1622199364, 0, 0, 23.08
AFLfast,mp3gain,12,1622199370, 0, 0, 23.45
AFLfast,mp3gain,12,1622199375, 0, 0, 23.16
AFLfast,mp3gain,12,1622199380, 0, 0, 23.37
AFLfast,mp3gain,12,1622199385, 0, 0, 22.60
AFLfast,mp3gain,12,1622199390, 0, 0, 22.71
AFLfast,mp3gain,12,1622199396, 0, 0, 23.39
AFLfast,mp3gain,12,1622199401, 0, 0, 12.02
AFLfast,mp3gain,12,1622199416, 0, 0, 22.60
AFLfast,mp3gain,12,1622199421, 0, 0, 22.99
AFLfast,mp3gain,12,1622199427, 0, 0, 23.11
AFLfast,mp3gain,12,1622199442, 0, 0, 23.57
AFLfast,mp3gain,12,1622199447, 0, 0, 23.35
AFLfast,mp3gain,12,1622199453, 0, 0, 22.13
AFLfast,mp3gain,12,1622199483, 0, 0, 22.53
AFLfast,mp3gain,12,1622199509, 0, 0, 22.68
AFLfast,mp3gain,12,1622199524, 0, 0, 4.69
AFLfast,mp3gain,12,1622199529, 0, 0, 18.45
AFLfast,mp3gain,12,1622199534, 0, 0, 23.28
AFLfast,mp3gain,12,1622199550, 0, 0, 24.20
AFLfast,mp3gain,12,1622199560, 0, 0, 19.29
AFLfast,mp3gain,12,1622199725, 0, 0, 15.88
AFLfast,mp3gain,12,1622199936, 0, 0, 16.38
AFLfast,mp3gain,12,1622200177, 0, 0, 16.03
AFLfast,mp3gain,12,1622200198, 0, 0, 16.09
AFLfast,mp3gain,12,1622200286, 0, 0, 16.09
AFLfast,mp3gain,12,1622200466, 0, 0, 16.40
AFLfast,mp3gain,12,1622203324, 0, 0, 16.75
AFLfast,mp3gain,12,1622203858, 0, 0, 15.31
AFLfast,mp3gain,12,1622203863, 0, 0, 16.13
AFLfast,mp3gain,12,1622204053, 0, 0, 16.10
AFLfast,mp3gain,12,1622204806, 0, 0, 16.05
AFLfast,mp3gain,12,1622206692, 0, 0, 16.70
AFLfast,mp3gain,12,1622208462, 0, 0, 16.34
AFLfast,mp3gain,12,1622214379, 0, 0, 16.56
AFLfast,mp3gain,12,1622228683, 0, 0, 16.31
AFLfast,mp3gain,12,1622244865, 0, 0, 16.70
AFLfast,mp3gain,12,1622244890, 0, 0, 15.97
AFLfast,mp3gain,12,1622245694, 0, 0, 16.90
AFLfast,mp3gain,12,1622247841, 0, 0, 17.48
