alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
AFLfast,mp3gain,6,1622112580, 0, 0, 20, 20, 12, 3.31%, 0, 0, 1, 18.56
AFLfast,mp3gain,6,1622112667, 0, 0, 21, 21, 12, 3.31%, 0, 0, 2, 18.60
AFLfast,mp3gain,6,1622112672, 0, 0, 22, 22, 12, 3.32%, 0, 0, 2, 17.81
AFLfast,mp3gain,6,1622112729, 0, 0, 23, 23, 12, 3.32%, 0, 0, 2, 17.95
AFLfast,mp3gain,6,1622112872, 0, 0, 24, 24, 12, 3.32%, 0, 0, 2, 18.24
AFLfast,mp3gain,6,1622112883, 0, 0, 25, 25, 12, 3.32%, 0, 0, 2, 17.73
AFLfast,mp3gain,6,1622112888, 0, 0, 31, 31, 12, 3.33%, 0, 0, 2, 15.07
AFLfast,mp3gain,6,1622112893, 0, 0, 38, 38, 12, 3.35%, 0, 0, 2, 16.82
AFLfast,mp3gain,6,1622112898, 0, 0, 42, 42, 12, 3.35%, 0, 0, 2, 16.83
AFLfast,mp3gain,6,1622112903, 0, 0, 43, 43, 12, 3.35%, 0, 0, 2, 17.46
AFLfast,mp3gain,6,1622112913, 0, 0, 44, 44, 12, 3.35%, 0, 0, 2, 17.73
AFLfast,mp3gain,6,1622112919, 0, 0, 52, 52, 12, 3.35%, 0, 0, 2, 17.65
AFLfast,mp3gain,6,1622112924, 0, 0, 55, 55, 12, 3.35%, 0, 0, 2, 17.63
AFLfast,mp3gain,6,1622112929, 0, 0, 58, 58, 12, 3.35%, 0, 0, 2, 17.71
AFLfast,mp3gain,6,1622112934, 0, 0, 60, 60, 12, 3.35%, 0, 0, 2, 17.85
AFLfast,mp3gain,6,1622112949, 0, 0, 65, 65, 12, 3.36%, 0, 0, 2, 17.68
AFLfast,mp3gain,6,1622112954, 0, 0, 66, 66, 12, 3.36%, 0, 0, 2, 17.69
AFLfast,mp3gain,6,1622112980, 0, 0, 69, 69, 12, 3.36%, 0, 0, 2, 18.28
AFLfast,mp3gain,6,1622112985, 0, 0, 76, 76, 12, 3.37%, 0, 0, 2, 17.69
AFLfast,mp3gain,6,1622112991, 0, 0, 86, 86, 12, 3.38%, 0, 0, 2, 17.65
AFLfast,mp3gain,6,1622112996, 0, 0, 94, 94, 12, 3.38%, 0, 0, 2, 17.69
AFLfast,mp3gain,6,1622113001, 0, 0, 102, 102, 12, 3.39%, 0, 0, 2, 17.36
AFLfast,mp3gain,6,1622113006, 0, 0, 111, 111, 12, 3.39%, 0, 0, 2, 17.89
AFLfast,mp3gain,6,1622113011, 0, 0, 120, 120, 12, 3.39%, 0, 0, 2, 18.09
AFLfast,mp3gain,6,1622113016, 0, 0, 123, 123, 12, 3.39%, 0, 0, 2, 17.69
AFLfast,mp3gain,6,1622113335, 0, 0, 124, 124, 12, 3.39%, 0, 0, 2, 17.90
AFLfast,mp3gain,6,1622113345, 0, 0, 125, 125, 12, 3.39%, 0, 0, 2, 17.90
AFLfast,mp3gain,6,1622113391, 0, 0, 126, 126, 12, 3.39%, 0, 0, 2, 18.20
AFLfast,mp3gain,6,1622113396, 0, 0, 128, 128, 12, 3.39%, 0, 0, 2, 17.79
AFLfast,mp3gain,6,1622113880, 0, 0, 132, 132, 12, 3.39%, 0, 0, 2, 17.22
AFLfast,mp3gain,6,1622113905, 0, 0, 133, 133, 12, 3.39%, 0, 0, 2, 17.78
AFLfast,mp3gain,6,1622113977, 0, 0, 134, 134, 12, 3.39%, 0, 0, 2, 17.90
AFLfast,mp3gain,6,1622114121, 0, 0, 135, 135, 12, 3.39%, 0, 0, 2, 17.83
AFLfast,mp3gain,6,1622114824, 0, 0, 137, 137, 12, 3.39%, 0, 0, 2, 16.89
AFLfast,mp3gain,6,1622115297, 0, 0, 138, 138, 12, 3.39%, 0, 0, 2, 17.02
AFLfast,mp3gain,6,1622115770, 0, 0, 139, 139, 12, 3.39%, 0, 0, 2, 17.89
AFLfast,mp3gain,6,1622118093, 0, 0, 140, 140, 12, 3.39%, 0, 0, 2, 17.09
AFLfast,mp3gain,6,1622120637, 0, 0, 141, 141, 12, 3.40%, 0, 0, 2, 18.72
AFLfast,mp3gain,6,1622120781, 0, 0, 142, 142, 12, 3.40%, 0, 0, 2, 18.12
AFLfast,mp3gain,6,1622120807, 0, 0, 143, 143, 12, 3.40%, 0, 0, 2, 18.18
AFLfast,mp3gain,6,1622120832, 0, 0, 148, 148, 12, 3.40%, 0, 0, 2, 18.74
AFLfast,mp3gain,6,1622120838, 0, 0, 151, 151, 12, 3.40%, 0, 0, 2, 17.51
AFLfast,mp3gain,6,1622120878, 0, 0, 152, 152, 12, 3.40%, 0, 0, 2, 17.86
AFLfast,mp3gain,6,1622120909, 0, 0, 155, 155, 12, 3.40%, 0, 0, 2, 17.83
AFLfast,mp3gain,6,1622120914, 0, 0, 162, 162, 12, 3.40%, 0, 0, 2, 17.63
