alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
AFLfast,pcre2test,10,1622106116, 0, 0, 5, 5, 1, 0.20%, 0, 0, 1, 4444.44
AFLfast,pcre2test,10,1622106121, 0, 3, 17, 17, 1, 0.70%, 0, 0, 2, 234.69
AFLfast,pcre2test,10,1622106126, 0, 3, 25, 25, 1, 0.71%, 0, 0, 2, 174.31
AFLfast,pcre2test,10,1622106132, 0, 3, 29, 29, 1, 0.76%, 0, 0, 2, 153.67
AFLfast,pcre2test,10,1622106137, 0, 3, 34, 34, 1, 0.79%, 0, 0, 2, 155.24
AFLfast,pcre2test,10,1622106142, 0, 3, 39, 39, 1, 0.80%, 0, 0, 2, 146.45
AFLfast,pcre2test,10,1622106147, 0, 3, 42, 42, 1, 0.80%, 0, 0, 2, 148.41
AFLfast,pcre2test,10,1622106152, 0, 3, 47, 47, 1, 0.80%, 0, 0, 2, 148.85
AFLfast,pcre2test,10,1622106157, 0, 3, 51, 51, 1, 0.80%, 0, 0, 2, 146.31
AFLfast,pcre2test,10,1622106163, 0, 3, 52, 52, 1, 0.80%, 0, 0, 2, 145.33
AFLfast,pcre2test,10,1622106173, 0, 3, 54, 54, 1, 0.81%, 0, 0, 2, 144.71
AFLfast,pcre2test,10,1622106178, 0, 3, 55, 55, 1, 0.81%, 0, 0, 2, 133.63
AFLfast,pcre2test,10,1622106183, 0, 3, 56, 56, 1, 0.81%, 0, 0, 2, 141.95
AFLfast,pcre2test,10,1622106188, 0, 3, 57, 57, 1, 0.81%, 0, 0, 2, 134.50
AFLfast,pcre2test,10,1622106193, 0, 3, 58, 58, 1, 0.81%, 0, 0, 2, 134.07
AFLfast,pcre2test,10,1622106199, 0, 3, 59, 59, 1, 0.81%, 0, 0, 2, 137.52
AFLfast,pcre2test,10,1622106214, 0, 3, 60, 60, 1, 0.81%, 0, 0, 2, 128.71
AFLfast,pcre2test,10,1622106224, 0, 3, 61, 61, 1, 0.81%, 0, 0, 2, 129.41
AFLfast,pcre2test,10,1622106229, 0, 3, 63, 63, 1, 0.81%, 0, 0, 2, 128.99
AFLfast,pcre2test,10,1622106234, 0, 3, 64, 64, 1, 0.81%, 0, 0, 2, 127.61
AFLfast,pcre2test,10,1622106245, 0, 3, 66, 66, 1, 0.84%, 0, 0, 2, 127.71
AFLfast,pcre2test,10,1622106276, 0, 3, 67, 67, 1, 0.84%, 0, 0, 2, 124.32
AFLfast,pcre2test,10,1622106281, 0, 3, 68, 68, 1, 0.84%, 0, 0, 2, 121.33
AFLfast,pcre2test,10,1622106286, 0, 3, 69, 69, 1, 0.84%, 0, 0, 2, 124.57
AFLfast,pcre2test,10,1622106297, 0, 3, 70, 70, 1, 0.84%, 0, 0, 2, 123.91
AFLfast,pcre2test,10,1622106307, 0, 3, 71, 71, 1, 0.84%, 0, 0, 2, 122.33
AFLfast,pcre2test,10,1622106323, 0, 3, 72, 72, 1, 0.84%, 0, 0, 2, 122.70
AFLfast,pcre2test,10,1622106328, 0, 3, 73, 73, 1, 0.84%, 0, 0, 2, 122.59
AFLfast,pcre2test,10,1622106333, 0, 3, 74, 74, 1, 0.84%, 0, 0, 2, 123.39
AFLfast,pcre2test,10,1622106348, 0, 3, 75, 75, 1, 0.84%, 0, 0, 2, 121.98
AFLfast,pcre2test,10,1622106379, 0, 17, 75, 73, 17, 0.84%, 0, 0, 2, 119.23
AFLfast,pcre2test,10,1622106384, 0, 17, 76, 74, 17, 1.13%, 0, 0, 3, 119.63
AFLfast,pcre2test,10,1622106400, 0, 17, 77, 75, 17, 1.13%, 0, 0, 3, 120.59
AFLfast,pcre2test,10,1622106405, 0, 17, 79, 77, 17, 1.16%, 0, 0, 3, 120.83
AFLfast,pcre2test,10,1622106410, 0, 17, 80, 78, 17, 1.16%, 0, 0, 3, 120.61
AFLfast,pcre2test,10,1622106415, 0, 17, 83, 81, 17, 1.18%, 0, 0, 3, 124.43
AFLfast,pcre2test,10,1622106420, 0, 17, 84, 82, 17, 1.18%, 0, 0, 3, 120.51
AFLfast,pcre2test,10,1622106425, 0, 17, 85, 83, 17, 1.19%, 0, 0, 3, 120.64
AFLfast,pcre2test,10,1622106435, 0, 17, 87, 85, 17, 1.29%, 0, 0, 3, 119.89
AFLfast,pcre2test,10,1622106451, 0, 17, 88, 86, 17, 1.32%, 0, 0, 3, 120.52
AFLfast,pcre2test,10,1622106456, 0, 17, 89, 87, 17, 1.32%, 0, 0, 3, 119.24
AFLfast,pcre2test,10,1622106461, 0, 17, 91, 89, 17, 1.34%, 0, 0, 3, 118.47
AFLfast,pcre2test,10,1622106466, 0, 17, 92, 90, 17, 1.34%, 0, 0, 3, 118.25
AFLfast,pcre2test,10,1622106471, 0, 17, 93, 91, 17, 1.34%, 0, 0, 3, 118.40
AFLfast,pcre2test,10,1622106477, 0, 17, 95, 93, 17, 1.46%, 0, 0, 3, 117.85
AFLfast,pcre2test,10,1622106487, 0, 17, 96, 94, 17, 1.47%, 0, 0, 3, 118.92
AFLfast,pcre2test,10,1622106492, 0, 17, 97, 95, 17, 1.47%, 0, 0, 3, 119.31
AFLfast,pcre2test,10,1622106497, 0, 17, 98, 96, 17, 1.47%, 0, 0, 3, 118.60
AFLfast,pcre2test,10,1622106502, 0, 17, 99, 97, 17, 1.47%, 0, 0, 3, 119.66
AFLfast,pcre2test,10,1622106517, 0, 17, 102, 100, 17, 1.50%, 0, 0, 3, 118.05
AFLfast,pcre2test,10,1622106528, 0, 17, 103, 101, 17, 1.50%, 0, 0, 3, 117.98
AFLfast,pcre2test,10,1622106533, 0, 17, 104, 102, 17, 1.51%, 0, 0, 3, 117.78
AFLfast,pcre2test,10,1622106538, 0, 17, 105, 103, 17, 1.51%, 0, 0, 3, 117.52
AFLfast,pcre2test,10,1622106543, 0, 17, 106, 104, 17, 1.52%, 0, 0, 3, 116.98
AFLfast,pcre2test,10,1622106558, 0, 17, 108, 106, 17, 1.54%, 0, 0, 3, 117.34
AFLfast,pcre2test,10,1622106564, 0, 17, 110, 108, 17, 1.56%, 0, 0, 3, 117.75
AFLfast,pcre2test,10,1622106574, 0, 17, 112, 110, 17, 1.56%, 0, 0, 3, 122.75
AFLfast,pcre2test,10,1622106579, 0, 17, 115, 113, 17, 1.56%, 0, 0, 3, 117.54
AFLfast,pcre2test,10,1622106584, 0, 17, 116, 114, 17, 1.57%, 0, 0, 3, 118.50
AFLfast,pcre2test,10,1622106589, 0, 17, 117, 115, 17, 1.57%, 0, 0, 3, 117.69
AFLfast,pcre2test,10,1622106594, 0, 17, 118, 116, 17, 1.57%, 0, 0, 3, 119.24
AFLfast,pcre2test,10,1622106599, 0, 17, 121, 119, 17, 1.57%, 0, 0, 3, 120.13
AFLfast,pcre2test,10,1622106610, 0, 33, 121, 115, 30, 1.57%, 0, 0, 3, 118.95
