alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,pcre2test,6,1622106035, 0, 0, 4363.64
AFLfast,pcre2test,6,1622106040, 0, 0, 243.67
AFLfast,pcre2test,6,1622106045, 0, 0, 191.05
AFLfast,pcre2test,6,1622106050, 0, 0, 164.86
AFLfast,pcre2test,6,1622106055, 0, 0, 170.55
AFLfast,pcre2test,6,1622106060, 0, 0, 159.07
AFLfast,pcre2test,6,1622106065, 0, 0, 163.32
AFLfast,pcre2test,6,1622106071, 0, 0, 164.85
AFLfast,pcre2test,6,1622106076, 0, 0, 163.10
AFLfast,pcre2test,6,1622106081, 0, 0, 163.27
AFLfast,pcre2test,6,1622106091, 0, 0, 159.99
AFLfast,pcre2test,6,1622106117, 0, 0, 153.13
AFLfast,pcre2test,6,1622106122, 0, 0, 152.15
AFLfast,pcre2test,6,1622106127, 0, 0, 146.34
AFLfast,pcre2test,6,1622106142, 0, 0, 141.32
AFLfast,pcre2test,6,1622106153, 0, 0, 148.83
AFLfast,pcre2test,6,1622106158, 0, 0, 142.76
AFLfast,pcre2test,6,1622106220, 0, 0, 129.22
AFLfast,pcre2test,6,1622106245, 0, 0, 127.03
AFLfast,pcre2test,6,1622106251, 0, 0, 128.85
AFLfast,pcre2test,6,1622106256, 0, 0, 128.46
AFLfast,pcre2test,6,1622106261, 0, 0, 128.11
AFLfast,pcre2test,6,1622106266, 0, 0, 121.23
AFLfast,pcre2test,6,1622106271, 0, 0, 121.37
AFLfast,pcre2test,6,1622106277, 0, 0, 117.89
AFLfast,pcre2test,6,1622106282, 0, 0, 119.21
AFLfast,pcre2test,6,1622106287, 0, 0, 122.41
AFLfast,pcre2test,6,1622106292, 0, 0, 120.37
AFLfast,pcre2test,6,1622106297, 0, 0, 122.28
AFLfast,pcre2test,6,1622106308, 0, 0, 120.48
AFLfast,pcre2test,6,1622106318, 0, 0, 120.90
AFLfast,pcre2test,6,1622106323, 0, 0, 120.83
AFLfast,pcre2test,6,1622106328, 0, 0, 120.52
AFLfast,pcre2test,6,1622106334, 0, 0, 114.20
AFLfast,pcre2test,6,1622106344, 0, 0, 117.81
AFLfast,pcre2test,6,1622106354, 0, 0, 117.70
AFLfast,pcre2test,6,1622106359, 0, 0, 117.60
AFLfast,pcre2test,6,1622106370, 0, 0, 120.15
AFLfast,pcre2test,6,1622106375, 0, 0, 119.05
AFLfast,pcre2test,6,1622106380, 0, 0, 118.39
AFLfast,pcre2test,6,1622106391, 0, 0, 118.53
AFLfast,pcre2test,6,1622106396, 0, 0, 117.81
AFLfast,pcre2test,6,1622106416, 0, 0, 120.52
AFLfast,pcre2test,6,1622106427, 0, 0, 120.07
AFLfast,pcre2test,6,1622106432, 0, 0, 120.59
AFLfast,pcre2test,6,1622106442, 0, 0, 120.37
AFLfast,pcre2test,6,1622106453, 0, 0, 120.94
AFLfast,pcre2test,6,1622106479, 0, 0, 118.36
AFLfast,pcre2test,6,1622106484, 0, 0, 117.73
AFLfast,pcre2test,6,1622106489, 0, 0, 118.14
AFLfast,pcre2test,6,1622106510, 0, 0, 117.27
AFLfast,pcre2test,6,1622106551, 0, 0, 116.90
AFLfast,pcre2test,6,1622106556, 0, 0, 118.27
AFLfast,pcre2test,6,1622106587, 0, 0, 117.02
AFLfast,pcre2test,6,1622106592, 0, 0, 118.11
AFLfast,pcre2test,6,1622106602, 0, 0, 119.02
AFLfast,pcre2test,6,1622106612, 0, 0, 119.61
AFLfast,pcre2test,6,1622106643, 0, 0, 117.78
AFLfast,pcre2test,6,1622106653, 0, 0, 116.59
AFLfast,pcre2test,6,1622106658, 0, 0, 116.88
AFLfast,pcre2test,6,1622106674, 0, 0, 116.64
AFLfast,pcre2test,6,1622106689, 0, 0, 116.46
AFLfast,pcre2test,6,1622106694, 0, 0, 116.65
AFLfast,pcre2test,6,1622106699, 0, 0, 118.17
AFLfast,pcre2test,6,1622106730, 0, 0, 118.37
AFLfast,pcre2test,6,1622106735, 0, 0, 118.09
AFLfast,pcre2test,6,1622106776, 0, 0, 118.18
AFLfast,pcre2test,6,1622106781, 0, 0, 117.21
AFLfast,pcre2test,6,1622106787, 0, 0, 117.19
AFLfast,pcre2test,6,1622106792, 0, 0, 117.34
AFLfast,pcre2test,6,1622106797, 0, 0, 118.73
AFLfast,pcre2test,6,1622106802, 0, 0, 117.45
AFLfast,pcre2test,6,1622106807, 0, 0, 117.83
AFLfast,pcre2test,6,1622106813, 0, 0, 117.40
AFLfast,pcre2test,6,1622106818, 0, 0, 112.68
AFLfast,pcre2test,6,1622106823, 0, 0, 116.22
AFLfast,pcre2test,6,1622106828, 0, 0, 117.51
AFLfast,pcre2test,6,1622106833, 0, 0, 117.95
AFLfast,pcre2test,6,1622106844, 0, 0, 118.73
AFLfast,pcre2test,6,1622106854, 0, 0, 119.77
AFLfast,pcre2test,6,1622106859, 0, 0, 118.72
AFLfast,pcre2test,6,1622106864, 0, 0, 118.58
AFLfast,pcre2test,6,1622106869, 0, 0, 118.39
AFLfast,pcre2test,6,1622106885, 0, 0, 115.88
AFLfast,pcre2test,6,1622106890, 0, 0, 116.07
AFLfast,pcre2test,6,1622106895, 0, 0, 118.50
AFLfast,pcre2test,6,1622106905, 0, 0, 119.04
AFLfast,pcre2test,6,1622106921, 0, 0, 119.46
AFLfast,pcre2test,6,1622106926, 0, 0, 123.76
AFLfast,pcre2test,6,1622106942, 0, 0, 118.69
AFLfast,pcre2test,6,1622106947, 0, 0, 118.83
AFLfast,pcre2test,6,1622106957, 0, 0, 119.48
AFLfast,pcre2test,6,1622106962, 0, 0, 119.84
AFLfast,pcre2test,6,1622106967, 0, 0, 119.76
AFLfast,pcre2test,6,1622106972, 0, 0, 119.13
AFLfast,pcre2test,6,1622106977, 0, 0, 118.99
AFLfast,pcre2test,6,1622106988, 0, 0, 119.39
AFLfast,pcre2test,6,1622106993, 0, 0, 118.13
AFLfast,pcre2test,6,1622106998, 0, 0, 119.14
AFLfast,pcre2test,6,1622107003, 0, 0, 119.05
AFLfast,pcre2test,6,1622107009, 0, 0, 117.23
AFLfast,pcre2test,6,1622107014, 0, 0, 118.28
AFLfast,pcre2test,6,1622107050, 0, 0, 118.19
AFLfast,pcre2test,6,1622107055, 0, 0, 117.65
AFLfast,pcre2test,6,1622107060, 0, 0, 117.92
AFLfast,pcre2test,6,1622107065, 0, 0, 117.36
AFLfast,pcre2test,6,1622107076, 0, 0, 118.25
AFLfast,pcre2test,6,1622107086, 0, 0, 118.44
AFLfast,pcre2test,6,1622107111, 0, 0, 117.70
AFLfast,pcre2test,6,1622107152, 0, 0, 117.45
AFLfast,pcre2test,6,1622107158, 0, 0, 117.81
AFLfast,pcre2test,6,1622107173, 0, 0, 116.75
AFLfast,pcre2test,6,1622107204, 0, 0, 116.95
AFLfast,pcre2test,6,1622107240, 0, 0, 120.44
AFLfast,pcre2test,6,1622107255, 0, 0, 119.96
AFLfast,pcre2test,6,1622107266, 0, 0, 119.91
AFLfast,pcre2test,6,1622107291, 0, 0, 121.44
AFLfast,pcre2test,6,1622107297, 0, 0, 120.59
AFLfast,pcre2test,6,1622107328, 0, 0, 120.54
AFLfast,pcre2test,6,1622107353, 0, 0, 120.82
AFLfast,pcre2test,6,1622107359, 0, 0, 120.74
AFLfast,pcre2test,6,1622107364, 0, 0, 120.62
AFLfast,pcre2test,6,1622107369, 0, 0, 120.95
AFLfast,pcre2test,6,1622107385, 0, 0, 121.17
AFLfast,pcre2test,6,1622107390, 0, 0, 120.53
AFLfast,pcre2test,6,1622107395, 0, 0, 120.02
AFLfast,pcre2test,6,1622107400, 0, 0, 118.87
AFLfast,pcre2test,6,1622107405, 0, 0, 119.80
AFLfast,pcre2test,6,1622107410, 0, 0, 119.12
AFLfast,pcre2test,6,1622107415, 0, 0, 118.88
AFLfast,pcre2test,6,1622107421, 0, 0, 117.83
AFLfast,pcre2test,6,1622107426, 0, 0, 118.22
AFLfast,pcre2test,6,1622107436, 0, 0, 118.18
AFLfast,pcre2test,6,1622107441, 0, 0, 120.13
AFLfast,pcre2test,6,1622107446, 0, 0, 118.79
AFLfast,pcre2test,6,1622107451, 0, 0, 114.89
AFLfast,pcre2test,6,1622107456, 0, 0, 117.46
AFLfast,pcre2test,6,1622107461, 0, 0, 118.54
AFLfast,pcre2test,6,1622107477, 0, 0, 117.57
AFLfast,pcre2test,6,1622107482, 0, 0, 117.71
AFLfast,pcre2test,6,1622107492, 0, 0, 117.63
AFLfast,pcre2test,6,1622107503, 0, 0, 117.91
AFLfast,pcre2test,6,1622107508, 0, 0, 118.49
AFLfast,pcre2test,6,1622107513, 0, 0, 117.52
AFLfast,pcre2test,6,1622107523, 0, 0, 117.31
AFLfast,pcre2test,6,1622107529, 0, 0, 118.50
AFLfast,pcre2test,6,1622107569, 0, 0, 118.56
AFLfast,pcre2test,6,1622107595, 0, 0, 117.82
AFLfast,pcre2test,6,1622107600, 0, 0, 117.11
AFLfast,pcre2test,6,1622107605, 0, 0, 116.90
AFLfast,pcre2test,6,1622107610, 0, 0, 117.11
AFLfast,pcre2test,6,1622107615, 0, 0, 116.68
AFLfast,pcre2test,6,1622107620, 0, 0, 114.17
AFLfast,pcre2test,6,1622107626, 0, 0, 112.64
AFLfast,pcre2test,6,1622107631, 0, 0, 111.54
AFLfast,pcre2test,6,1622107646, 0, 0, 118.04
AFLfast,pcre2test,6,1622107662, 0, 0, 113.59
AFLfast,pcre2test,6,1622107667, 0, 0, 112.96
AFLfast,pcre2test,6,1622107672, 0, 0, 114.54
AFLfast,pcre2test,6,1622107677, 0, 0, 116.43
AFLfast,pcre2test,6,1622107682, 0, 0, 115.27
AFLfast,pcre2test,6,1622107687, 0, 0, 115.30
AFLfast,pcre2test,6,1622107693, 0, 0, 115.77
AFLfast,pcre2test,6,1622107698, 0, 0, 116.13
AFLfast,pcre2test,6,1622107708, 0, 0, 116.82
AFLfast,pcre2test,6,1622107713, 0, 0, 116.99
AFLfast,pcre2test,6,1622107723, 0, 0, 115.53
AFLfast,pcre2test,6,1622107729, 0, 0, 114.99
AFLfast,pcre2test,6,1622107739, 0, 0, 115.65
AFLfast,pcre2test,6,1622107744, 0, 0, 115.88
AFLfast,pcre2test,6,1622107754, 0, 0, 114.30
AFLfast,pcre2test,6,1622107765, 0, 0, 115.44
AFLfast,pcre2test,6,1622107770, 0, 0, 113.96
AFLfast,pcre2test,6,1622107785, 0, 0, 115.93
AFLfast,pcre2test,6,1622107796, 0, 0, 116.38
AFLfast,pcre2test,6,1622107806, 0, 0, 116.64
AFLfast,pcre2test,6,1622107811, 0, 0, 117.70
AFLfast,pcre2test,6,1622107827, 0, 0, 117.42
AFLfast,pcre2test,6,1622107832, 0, 0, 115.93
AFLfast,pcre2test,6,1622107837, 0, 0, 117.89
AFLfast,pcre2test,6,1622107847, 0, 0, 118.06
AFLfast,pcre2test,6,1622107853, 0, 0, 117.56
AFLfast,pcre2test,6,1622107863, 0, 0, 116.25
AFLfast,pcre2test,6,1622107868, 0, 0, 116.59
AFLfast,pcre2test,6,1622107878, 0, 0, 118.78
AFLfast,pcre2test,6,1622107909, 0, 0, 113.19
AFLfast,pcre2test,6,1622107940, 0, 0, 114.08
AFLfast,pcre2test,6,1622107945, 0, 0, 113.97
AFLfast,pcre2test,6,1622107950, 0, 0, 113.99
AFLfast,pcre2test,6,1622107955, 0, 0, 113.24
AFLfast,pcre2test,6,1622107965, 0, 0, 114.60
AFLfast,pcre2test,6,1622108032, 0, 0, 113.34
AFLfast,pcre2test,6,1622108047, 0, 0, 114.55
AFLfast,pcre2test,6,1622108078, 0, 0, 113.94
AFLfast,pcre2test,6,1622108083, 0, 0, 113.52
AFLfast,pcre2test,6,1622108160, 0, 0, 117.92
AFLfast,pcre2test,6,1622108201, 0, 0, 116.51
AFLfast,pcre2test,6,1622108206, 0, 0, 118.68
AFLfast,pcre2test,6,1622108211, 0, 0, 120.13
AFLfast,pcre2test,6,1622108217, 0, 0, 119.71
AFLfast,pcre2test,6,1622108222, 0, 0, 120.13
AFLfast,pcre2test,6,1622108227, 0, 0, 119.02
AFLfast,pcre2test,6,1622108253, 0, 0, 119.31
AFLfast,pcre2test,6,1622108263, 0, 0, 118.70
AFLfast,pcre2test,6,1622108278, 0, 0, 117.92
AFLfast,pcre2test,6,1622108283, 0, 0, 119.97
AFLfast,pcre2test,6,1622108288, 0, 0, 118.17
AFLfast,pcre2test,6,1622108304, 0, 0, 118.31
AFLfast,pcre2test,6,1622108320, 0, 0, 118.95
AFLfast,pcre2test,6,1622108330, 0, 0, 119.05
