alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
AFLfast,pdftotext,11,1622279834, 0, 0, 10, 10, 10, 10.69%, 0, 0, 1, 3.43
AFLfast,pdftotext,11,1622279973, 0, 0, 11, 11, 10, 10.84%, 0, 0, 2, 7.59
AFLfast,pdftotext,11,1622279978, 0, 0, 12, 12, 10, 10.98%, 0, 0, 2, 6.69
AFLfast,pdftotext,11,1622279983, 0, 0, 14, 14, 10, 10.98%, 0, 0, 2, 6.30
AFLfast,pdftotext,11,1622280133, 0, 0, 17, 17, 10, 11.21%, 0, 0, 2, 7.49
AFLfast,pdftotext,11,1622280139, 0, 0, 21, 21, 10, 11.22%, 0, 0, 2, 8.46
AFLfast,pdftotext,11,1622280144, 0, 0, 24, 24, 10, 11.23%, 0, 0, 2, 8.01
AFLfast,pdftotext,11,1622280149, 0, 0, 26, 26, 10, 11.23%, 0, 0, 2, 8.45
AFLfast,pdftotext,11,1622280154, 0, 0, 30, 30, 10, 11.26%, 0, 0, 2, 8.26
AFLfast,pdftotext,11,1622280159, 0, 0, 34, 34, 10, 11.27%, 0, 0, 2, 8.47
AFLfast,pdftotext,11,1622280164, 0, 0, 38, 38, 10, 11.27%, 0, 0, 2, 8.79
AFLfast,pdftotext,11,1622280169, 0, 0, 42, 42, 10, 11.31%, 0, 0, 2, 8.74
AFLfast,pdftotext,11,1622280174, 0, 0, 44, 44, 10, 11.31%, 0, 0, 2, 8.69
AFLfast,pdftotext,11,1622280179, 0, 0, 46, 46, 10, 11.31%, 0, 0, 2, 8.84
AFLfast,pdftotext,11,1622280185, 0, 0, 49, 49, 10, 11.31%, 0, 0, 2, 8.79
AFLfast,pdftotext,11,1622280190, 0, 0, 52, 52, 10, 11.33%, 0, 0, 2, 8.77
AFLfast,pdftotext,11,1622280195, 0, 0, 54, 54, 10, 11.33%, 0, 0, 2, 8.88
AFLfast,pdftotext,11,1622280200, 0, 0, 56, 56, 10, 11.34%, 0, 0, 2, 8.60
AFLfast,pdftotext,11,1622280205, 0, 0, 60, 60, 10, 11.35%, 0, 0, 2, 8.61
AFLfast,pdftotext,11,1622280210, 0, 0, 65, 65, 10, 11.35%, 0, 0, 2, 8.54
AFLfast,pdftotext,11,1622280215, 0, 0, 67, 67, 10, 11.35%, 0, 0, 2, 8.50
AFLfast,pdftotext,11,1622280226, 0, 0, 69, 69, 10, 11.36%, 0, 0, 2, 8.41
AFLfast,pdftotext,11,1622280231, 0, 0, 72, 72, 10, 11.36%, 0, 0, 2, 8.51
AFLfast,pdftotext,11,1622280236, 0, 0, 73, 73, 10, 11.37%, 0, 0, 2, 8.47
AFLfast,pdftotext,11,1622280241, 0, 0, 75, 75, 10, 11.37%, 0, 0, 2, 8.54
AFLfast,pdftotext,11,1622280246, 0, 0, 79, 79, 10, 11.39%, 0, 0, 2, 8.62
AFLfast,pdftotext,11,1622280251, 0, 0, 80, 80, 10, 11.40%, 0, 0, 2, 8.53
AFLfast,pdftotext,11,1622280257, 0, 0, 81, 81, 10, 11.40%, 0, 0, 2, 8.67
AFLfast,pdftotext,11,1622280262, 0, 0, 82, 82, 10, 11.40%, 0, 0, 2, 7.22
AFLfast,pdftotext,11,1622280267, 0, 0, 85, 85, 10, 11.40%, 0, 0, 2, 6.53
AFLfast,pdftotext,11,1622280272, 0, 0, 87, 87, 10, 11.40%, 0, 0, 2, 5.85
AFLfast,pdftotext,11,1622280277, 0, 0, 88, 88, 10, 11.40%, 0, 0, 2, 5.59
AFLfast,pdftotext,11,1622280282, 0, 0, 89, 89, 10, 11.40%, 0, 0, 2, 5.54
AFLfast,pdftotext,11,1622280297, 0, 0, 90, 90, 10, 11.40%, 0, 0, 2, 5.67
AFLfast,pdftotext,11,1622280323, 0, 0, 91, 91, 10, 11.40%, 0, 0, 2, 5.56
AFLfast,pdftotext,11,1622280364, 0, 0, 92, 92, 10, 11.40%, 0, 0, 2, 5.40
AFLfast,pdftotext,11,1622280379, 0, 0, 95, 95, 10, 11.41%, 0, 0, 2, 6.71
AFLfast,pdftotext,11,1622280384, 0, 0, 98, 98, 10, 11.42%, 0, 0, 2, 7.73
AFLfast,pdftotext,11,1622280390, 0, 0, 99, 99, 10, 11.42%, 0, 0, 2, 7.96
AFLfast,pdftotext,11,1622280395, 0, 0, 102, 102, 10, 11.48%, 0, 0, 2, 8.07
AFLfast,pdftotext,11,1622280400, 0, 0, 106, 106, 10, 11.51%, 0, 0, 2, 8.12
AFLfast,pdftotext,11,1622280405, 0, 0, 109, 109, 10, 11.51%, 0, 0, 2, 8.04
AFLfast,pdftotext,11,1622280410, 0, 0, 112, 112, 10, 11.53%, 0, 0, 2, 7.38
AFLfast,pdftotext,11,1622280416, 0, 0, 113, 113, 10, 11.53%, 0, 0, 2, 5.86
AFLfast,pdftotext,11,1622280421, 0, 0, 114, 114, 10, 11.53%, 0, 0, 2, 5.43
