alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,pdftotext,3,1622279001, 0, 0, 5.96
AFLfast,pdftotext,3,1622279104, 0, 0, 10.12
AFLfast,pdftotext,3,1622279109, 0, 0, 8.13
AFLfast,pdftotext,3,1622279114, 0, 0, 7.26
AFLfast,pdftotext,3,1622279124, 0, 0, 8.12
AFLfast,pdftotext,3,1622279130, 0, 0, 9.08
AFLfast,pdftotext,3,1622279135, 0, 0, 9.38
AFLfast,pdftotext,3,1622279140, 0, 0, 8.87
AFLfast,pdftotext,3,1622279145, 0, 0, 8.75
AFLfast,pdftotext,3,1622279150, 0, 0, 8.51
AFLfast,pdftotext,3,1622279155, 0, 0, 8.90
AFLfast,pdftotext,3,1622279161, 0, 0, 8.26
AFLfast,pdftotext,3,1622279166, 0, 0, 7.58
AFLfast,pdftotext,3,1622279171, 0, 0, 7.01
AFLfast,pdftotext,3,1622279176, 0, 0, 7.01
AFLfast,pdftotext,3,1622279181, 0, 0, 8.36
AFLfast,pdftotext,3,1622279192, 0, 0, 8.90
AFLfast,pdftotext,3,1622279197, 0, 0, 8.96
AFLfast,pdftotext,3,1622279202, 0, 0, 8.99
AFLfast,pdftotext,3,1622279207, 0, 0, 8.50
AFLfast,pdftotext,3,1622279212, 0, 0, 8.72
AFLfast,pdftotext,3,1622279217, 0, 0, 8.70
AFLfast,pdftotext,3,1622279223, 0, 0, 7.89
AFLfast,pdftotext,3,1622279228, 0, 0, 7.93
AFLfast,pdftotext,3,1622279233, 0, 0, 8.27
AFLfast,pdftotext,3,1622279238, 0, 0, 8.01
AFLfast,pdftotext,3,1622279243, 0, 0, 8.47
AFLfast,pdftotext,3,1622279248, 0, 0, 8.17
AFLfast,pdftotext,3,1622279254, 0, 0, 7.33
AFLfast,pdftotext,3,1622279259, 0, 0, 7.76
AFLfast,pdftotext,3,1622279264, 0, 0, 7.65
AFLfast,pdftotext,3,1622279269, 0, 0, 7.61
AFLfast,pdftotext,3,1622279274, 0, 0, 7.97
AFLfast,pdftotext,3,1622279279, 0, 0, 7.94
AFLfast,pdftotext,3,1622279284, 0, 0, 7.74
AFLfast,pdftotext,3,1622279289, 0, 0, 7.64
AFLfast,pdftotext,3,1622279294, 0, 0, 7.05
AFLfast,pdftotext,3,1622279299, 0, 0, 7.15
AFLfast,pdftotext,3,1622279305, 0, 0, 7.26
AFLfast,pdftotext,3,1622279310, 0, 0, 7.52
AFLfast,pdftotext,3,1622279315, 0, 0, 7.60
AFLfast,pdftotext,3,1622279320, 0, 0, 7.76
AFLfast,pdftotext,3,1622279325, 0, 0, 7.88
AFLfast,pdftotext,3,1622279330, 0, 0, 7.28
AFLfast,pdftotext,3,1622279335, 0, 0, 7.20
AFLfast,pdftotext,3,1622279340, 0, 0, 6.94
AFLfast,pdftotext,3,1622279346, 0, 0, 7.08
AFLfast,pdftotext,3,1622279351, 0, 0, 6.95
AFLfast,pdftotext,3,1622279356, 0, 0, 7.35
AFLfast,pdftotext,3,1622279361, 0, 0, 7.57
AFLfast,pdftotext,3,1622279366, 0, 0, 7.54
AFLfast,pdftotext,3,1622279371, 0, 0, 6.71
AFLfast,pdftotext,3,1622279376, 0, 0, 6.65
AFLfast,pdftotext,3,1622279381, 0, 0, 6.73
AFLfast,pdftotext,3,1622279387, 0, 0, 6.58
AFLfast,pdftotext,3,1622279392, 0, 0, 6.42
AFLfast,pdftotext,3,1622279397, 0, 0, 6.85
AFLfast,pdftotext,3,1622279402, 0, 0, 6.89
AFLfast,pdftotext,3,1622279407, 0, 0, 6.65
AFLfast,pdftotext,3,1622279412, 0, 0, 6.66
AFLfast,pdftotext,3,1622279417, 0, 0, 6.33
AFLfast,pdftotext,3,1622279422, 0, 0, 6.59
AFLfast,pdftotext,3,1622279427, 0, 0, 6.97
AFLfast,pdftotext,3,1622279432, 0, 0, 6.73
AFLfast,pdftotext,3,1622279437, 0, 0, 6.36
AFLfast,pdftotext,3,1622279443, 0, 0, 6.15
AFLfast,pdftotext,3,1622279448, 0, 0, 5.87
AFLfast,pdftotext,3,1622279453, 0, 0, 6.22
AFLfast,pdftotext,3,1622279458, 0, 0, 6.18
AFLfast,pdftotext,3,1622279463, 0, 0, 6.67
AFLfast,pdftotext,3,1622279469, 0, 0, 6.82
AFLfast,pdftotext,3,1622279474, 0, 0, 6.73
AFLfast,pdftotext,3,1622279479, 0, 0, 6.32
AFLfast,pdftotext,3,1622279484, 0, 0, 6.60
AFLfast,pdftotext,3,1622279489, 0, 0, 6.66
AFLfast,pdftotext,3,1622279494, 0, 0, 6.62
AFLfast,pdftotext,3,1622279499, 0, 0, 5.84
AFLfast,pdftotext,3,1622279504, 0, 0, 6.03
AFLfast,pdftotext,3,1622279509, 0, 0, 6.27
AFLfast,pdftotext,3,1622279515, 0, 0, 6.15
AFLfast,pdftotext,3,1622279520, 0, 0, 6.42
AFLfast,pdftotext,3,1622279525, 0, 0, 6.45
AFLfast,pdftotext,3,1622279530, 0, 0, 6.31
AFLfast,pdftotext,3,1622279535, 0, 0, 6.51
AFLfast,pdftotext,3,1622279540, 0, 0, 6.36
AFLfast,pdftotext,3,1622279546, 0, 0, 6.34
AFLfast,pdftotext,3,1622279551, 0, 0, 6.37
AFLfast,pdftotext,3,1622279556, 0, 0, 6.30
AFLfast,pdftotext,3,1622279561, 0, 0, 6.41
AFLfast,pdftotext,3,1622279566, 0, 0, 6.37
AFLfast,pdftotext,3,1622279571, 0, 0, 6.28
AFLfast,pdftotext,3,1622279576, 0, 0, 6.04
AFLfast,pdftotext,3,1622279581, 0, 0, 6.27
AFLfast,pdftotext,3,1622279587, 0, 0, 6.16
AFLfast,pdftotext,3,1622279592, 0, 0, 5.59
AFLfast,pdftotext,3,1622279597, 0, 0, 6.30
AFLfast,pdftotext,3,1622279602, 0, 0, 5.96
AFLfast,pdftotext,3,1622279608, 0, 0, 6.16
AFLfast,pdftotext,3,1622279613, 0, 0, 6.07
AFLfast,pdftotext,3,1622279618, 0, 0, 6.12
AFLfast,pdftotext,3,1622279623, 0, 0, 5.91
AFLfast,pdftotext,3,1622279628, 0, 0, 6.28
AFLfast,pdftotext,3,1622279633, 0, 0, 5.85
AFLfast,pdftotext,3,1622279639, 0, 0, 6.14
AFLfast,pdftotext,3,1622279644, 0, 0, 5.85
AFLfast,pdftotext,3,1622279649, 0, 0, 5.85
AFLfast,pdftotext,3,1622279654, 0, 0, 5.49
AFLfast,pdftotext,3,1622279659, 0, 0, 5.97
AFLfast,pdftotext,3,1622279664, 0, 0, 6.18
AFLfast,pdftotext,3,1622279670, 0, 0, 6.40
AFLfast,pdftotext,3,1622279675, 0, 0, 6.37
AFLfast,pdftotext,3,1622279680, 0, 0, 6.11
AFLfast,pdftotext,3,1622279685, 0, 0, 5.85
AFLfast,pdftotext,3,1622279690, 0, 0, 5.99
AFLfast,pdftotext,3,1622279696, 0, 0, 5.91
AFLfast,pdftotext,3,1622279701, 0, 0, 6.12
AFLfast,pdftotext,3,1622279706, 0, 0, 6.47
AFLfast,pdftotext,3,1622279711, 0, 0, 6.04
AFLfast,pdftotext,3,1622279716, 0, 0, 5.77
AFLfast,pdftotext,3,1622279721, 0, 0, 6.13
AFLfast,pdftotext,3,1622279727, 0, 0, 6.35
AFLfast,pdftotext,3,1622279732, 0, 0, 5.85
AFLfast,pdftotext,3,1622279737, 0, 0, 5.99
AFLfast,pdftotext,3,1622279742, 0, 0, 6.00
AFLfast,pdftotext,3,1622279748, 0, 0, 6.11
AFLfast,pdftotext,3,1622279753, 0, 0, 6.08
AFLfast,pdftotext,3,1622279758, 0, 0, 5.93
AFLfast,pdftotext,3,1622279763, 0, 0, 6.04
AFLfast,pdftotext,3,1622279768, 0, 0, 5.72
AFLfast,pdftotext,3,1622279774, 0, 0, 5.80
AFLfast,pdftotext,3,1622279779, 0, 0, 5.97
AFLfast,pdftotext,3,1622279784, 0, 0, 6.32
AFLfast,pdftotext,3,1622279789, 0, 0, 6.03
AFLfast,pdftotext,3,1622279794, 0, 0, 5.77
AFLfast,pdftotext,3,1622279800, 0, 0, 5.90
AFLfast,pdftotext,3,1622279805, 0, 0, 5.79
AFLfast,pdftotext,3,1622279810, 0, 0, 5.48
AFLfast,pdftotext,3,1622279815, 0, 0, 5.51
AFLfast,pdftotext,3,1622279820, 0, 0, 5.39
AFLfast,pdftotext,3,1622279825, 0, 0, 5.47
AFLfast,pdftotext,3,1622279830, 0, 0, 5.47
AFLfast,pdftotext,3,1622279835, 0, 0, 5.54
AFLfast,pdftotext,3,1622279840, 0, 0, 5.36
AFLfast,pdftotext,3,1622279845, 0, 0, 5.21
AFLfast,pdftotext,3,1622279850, 0, 0, 5.12
AFLfast,pdftotext,3,1622279856, 0, 0, 5.34
AFLfast,pdftotext,3,1622279861, 0, 0, 5.32
AFLfast,pdftotext,3,1622279866, 0, 0, 5.40
AFLfast,pdftotext,3,1622279871, 0, 0, 5.34
AFLfast,pdftotext,3,1622279877, 0, 0, 5.20
AFLfast,pdftotext,3,1622279882, 0, 0, 5.21
AFLfast,pdftotext,3,1622279887, 0, 0, 5.32
AFLfast,pdftotext,3,1622279892, 0, 0, 5.29
AFLfast,pdftotext,3,1622279897, 0, 0, 5.51
AFLfast,pdftotext,3,1622279902, 0, 0, 5.48
AFLfast,pdftotext,3,1622279908, 0, 0, 5.27
AFLfast,pdftotext,3,1622279913, 0, 0, 5.34
AFLfast,pdftotext,3,1622279918, 0, 0, 5.01
AFLfast,pdftotext,3,1622279923, 0, 0, 5.19
AFLfast,pdftotext,3,1622279928, 0, 0, 5.14
AFLfast,pdftotext,3,1622279933, 0, 0, 4.87
AFLfast,pdftotext,3,1622279938, 0, 0, 5.23
AFLfast,pdftotext,3,1622279943, 0, 0, 5.05
AFLfast,pdftotext,3,1622279948, 0, 0, 4.82
AFLfast,pdftotext,3,1622279953, 0, 0, 5.22
AFLfast,pdftotext,3,1622279958, 0, 0, 5.34
AFLfast,pdftotext,3,1622279964, 0, 0, 5.25
AFLfast,pdftotext,3,1622279969, 0, 0, 4.93
AFLfast,pdftotext,3,1622279974, 0, 0, 4.84
AFLfast,pdftotext,3,1622279980, 0, 0, 4.71
AFLfast,pdftotext,3,1622279985, 0, 0, 4.61
AFLfast,pdftotext,3,1622279990, 0, 0, 4.51
AFLfast,pdftotext,3,1622279995, 0, 0, 4.70
AFLfast,pdftotext,3,1622280000, 0, 0, 4.95
AFLfast,pdftotext,3,1622280006, 0, 0, 4.95
AFLfast,pdftotext,3,1622280011, 0, 0, 5.05
AFLfast,pdftotext,3,1622280016, 0, 0, 4.99
AFLfast,pdftotext,3,1622280021, 0, 0, 5.19
AFLfast,pdftotext,3,1622280026, 0, 0, 5.14
AFLfast,pdftotext,3,1622280031, 0, 0, 5.10
AFLfast,pdftotext,3,1622280036, 0, 0, 4.67
AFLfast,pdftotext,3,1622280041, 0, 0, 4.66
AFLfast,pdftotext,3,1622280047, 0, 0, 4.77
AFLfast,pdftotext,3,1622280052, 0, 0, 4.49
AFLfast,pdftotext,3,1622280057, 0, 0, 4.48
AFLfast,pdftotext,3,1622280062, 0, 0, 4.62
AFLfast,pdftotext,3,1622280067, 0, 0, 4.46
AFLfast,pdftotext,3,1622280072, 0, 0, 4.65
AFLfast,pdftotext,3,1622280078, 0, 0, 4.52
AFLfast,pdftotext,3,1622280083, 0, 0, 4.49
AFLfast,pdftotext,3,1622280088, 0, 0, 4.35
AFLfast,pdftotext,3,1622280093, 0, 0, 4.56
AFLfast,pdftotext,3,1622280099, 0, 0, 4.74
AFLfast,pdftotext,3,1622280104, 0, 0, 4.72
AFLfast,pdftotext,3,1622280109, 0, 0, 4.59
AFLfast,pdftotext,3,1622280114, 0, 0, 4.72
AFLfast,pdftotext,3,1622280119, 0, 0, 4.70
AFLfast,pdftotext,3,1622280124, 0, 0, 4.63
AFLfast,pdftotext,3,1622280129, 0, 0, 4.61
AFLfast,pdftotext,3,1622280134, 0, 0, 4.68
AFLfast,pdftotext,3,1622280139, 0, 0, 4.47
AFLfast,pdftotext,3,1622280144, 0, 0, 4.36
AFLfast,pdftotext,3,1622280150, 0, 0, 4.26
AFLfast,pdftotext,3,1622280155, 0, 0, 4.18
AFLfast,pdftotext,3,1622280160, 0, 0, 4.28
AFLfast,pdftotext,3,1622280165, 0, 0, 4.42
AFLfast,pdftotext,3,1622280170, 0, 0, 4.51
AFLfast,pdftotext,3,1622280176, 0, 0, 4.46
AFLfast,pdftotext,3,1622280181, 0, 0, 4.52
AFLfast,pdftotext,3,1622280186, 0, 0, 4.41
AFLfast,pdftotext,3,1622280191, 0, 0, 4.55
AFLfast,pdftotext,3,1622280196, 0, 0, 4.27
AFLfast,pdftotext,3,1622280201, 0, 0, 4.38
AFLfast,pdftotext,3,1622280207, 0, 0, 4.26
