alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
AFLfast,nm-new,1,1622530851, 0, 0, 7, 7, 7, 2.74%, 0, 0, 1, 26.37
AFLfast,nm-new,1,1622530877, 0, 0, 15, 15, 7, 2.79%, 0, 0, 2, 46.06
AFLfast,nm-new,1,1622530882, 0, 0, 17, 17, 7, 2.84%, 0, 0, 2, 39.38
AFLfast,nm-new,1,1622530887, 0, 0, 24, 24, 7, 2.94%, 0, 0, 2, 40.37
AFLfast,nm-new,1,1622530892, 0, 0, 39, 39, 7, 2.99%, 0, 0, 2, 36.00
AFLfast,nm-new,1,1622530898, 0, 0, 45, 45, 7, 3.03%, 0, 0, 2, 37.08
AFLfast,nm-new,1,1622530903, 0, 0, 51, 51, 7, 3.05%, 0, 0, 2, 36.25
AFLfast,nm-new,1,1622530908, 0, 0, 56, 56, 7, 3.06%, 0, 0, 2, 36.74
AFLfast,nm-new,1,1622530913, 0, 0, 59, 59, 7, 3.06%, 0, 0, 2, 36.20
AFLfast,nm-new,1,1622530918, 0, 0, 62, 62, 7, 3.06%, 0, 0, 2, 35.43
AFLfast,nm-new,1,1622530924, 0, 0, 64, 64, 7, 3.06%, 0, 0, 2, 35.25
AFLfast,nm-new,1,1622540573, 0, 0, 69, 69, 7, 3.09%, 0, 0, 2, 36.96
AFLfast,nm-new,1,1622540578, 0, 0, 70, 70, 7, 3.09%, 0, 0, 2, 36.93
AFLfast,nm-new,1,1622540583, 0, 0, 72, 72, 7, 3.09%, 0, 0, 2, 36.68
AFLfast,nm-new,1,1622540604, 0, 0, 73, 73, 7, 3.09%, 0, 0, 2, 36.46
AFLfast,nm-new,1,1622540609, 0, 0, 76, 76, 7, 3.10%, 0, 0, 2, 36.81
AFLfast,nm-new,1,1622540614, 0, 0, 77, 77, 7, 3.10%, 0, 0, 2, 37.07
AFLfast,nm-new,1,1622540743, 0, 0, 78, 78, 7, 3.10%, 0, 0, 2, 37.96
AFLfast,nm-new,1,1622540759, 0, 0, 79, 79, 7, 3.10%, 0, 0, 2, 37.55
AFLfast,nm-new,1,1622540790, 0, 0, 80, 80, 7, 3.10%, 0, 0, 2, 33.43
AFLfast,nm-new,1,1622540795, 0, 0, 81, 81, 7, 3.10%, 0, 0, 2, 35.17
AFLfast,nm-new,1,1622540821, 0, 0, 82, 82, 7, 3.10%, 0, 0, 2, 35.49
AFLfast,nm-new,1,1622540826, 0, 0, 83, 83, 7, 3.11%, 0, 0, 2, 36.55
AFLfast,nm-new,1,1622540831, 0, 0, 84, 84, 7, 3.11%, 0, 0, 2, 36.51
AFLfast,nm-new,1,1622540893, 0, 0, 87, 87, 7, 3.12%, 0, 0, 2, 36.55
AFLfast,nm-new,1,1622540981, 0, 0, 88, 88, 7, 3.12%, 0, 0, 2, 38.32
AFLfast,nm-new,1,1622541049, 0, 0, 89, 89, 7, 3.12%, 0, 0, 2, 36.82
AFLfast,nm-new,1,1622541054, 0, 0, 91, 91, 7, 3.13%, 0, 0, 2, 37.14
AFLfast,nm-new,1,1622546862, 0, 0, 92, 92, 7, 3.13%, 0, 0, 2, 36.91
AFLfast,nm-new,1,1622546867, 0, 0, 93, 93, 7, 3.13%, 0, 0, 2, 36.51
AFLfast,nm-new,1,1622547006, 0, 0, 98, 98, 7, 3.14%, 0, 0, 2, 36.86
AFLfast,nm-new,1,1622547032, 0, 0, 100, 100, 7, 3.14%, 0, 0, 2, 38.58
AFLfast,nm-new,1,1622547037, 0, 0, 102, 102, 7, 3.14%, 0, 0, 2, 37.22
AFLfast,nm-new,1,1622547042, 0, 0, 103, 103, 7, 3.14%, 0, 0, 2, 37.66
AFLfast,nm-new,1,1622547058, 0, 0, 114, 114, 7, 3.20%, 0, 0, 2, 37.85
AFLfast,nm-new,1,1622547063, 0, 0, 121, 121, 7, 3.33%, 0, 0, 2, 38.16
AFLfast,nm-new,1,1622547069, 0, 0, 124, 124, 7, 3.36%, 0, 0, 2, 0.74
AFLfast,nm-new,1,1622547080, 0, 0, 125, 125, 7, 3.36%, 0, 0, 2, 0.97
AFLfast,nm-new,1,1622547085, 0, 0, 126, 126, 7, 3.36%, 0, 0, 2, 1.76
AFLfast,nm-new,1,1622547091, 0, 0, 131, 131, 7, 3.36%, 0, 0, 2, 0.87
AFLfast,nm-new,1,1622547096, 0, 0, 132, 132, 7, 3.36%, 0, 0, 2, 0.45
AFLfast,nm-new,1,1622547115, 0, 0, 136, 136, 7, 3.38%, 0, 0, 2, 48.48
AFLfast,nm-new,1,1622547120, 0, 0, 140, 140, 7, 3.39%, 0, 0, 2, 45.21
AFLfast,nm-new,1,1622547125, 0, 0, 145, 145, 7, 3.40%, 0, 0, 2, 42.23
AFLfast,nm-new,1,1622547130, 0, 0, 150, 150, 7, 3.40%, 0, 0, 2, 4.81
AFLfast,nm-new,1,1622547136, 0, 0, 151, 151, 7, 3.40%, 0, 0, 2, 47.25
AFLfast,nm-new,1,1622547141, 0, 0, 154, 154, 7, 3.41%, 0, 0, 2, 44.87
AFLfast,nm-new,1,1622547146, 0, 0, 157, 157, 7, 3.41%, 0, 0, 2, 43.28
AFLfast,nm-new,1,1622547151, 0, 0, 161, 161, 7, 3.41%, 0, 0, 2, 4.88
AFLfast,nm-new,1,1622547161, 0, 0, 163, 163, 7, 3.41%, 0, 0, 2, 45.07
AFLfast,nm-new,1,1622547167, 0, 0, 168, 168, 7, 3.42%, 0, 0, 2, 41.02
AFLfast,nm-new,1,1622547172, 0, 0, 169, 169, 7, 3.42%, 0, 0, 2, 3.38
AFLfast,nm-new,1,1622547177, 0, 0, 171, 171, 7, 3.42%, 0, 0, 2, 45.90
AFLfast,nm-new,1,1622547182, 0, 0, 173, 173, 7, 3.42%, 0, 0, 2, 43.44
AFLfast,nm-new,1,1622547188, 0, 0, 174, 174, 7, 3.42%, 0, 0, 2, 6.19
AFLfast,nm-new,1,1622547193, 0, 0, 175, 175, 7, 3.42%, 0, 0, 2, 41.72
AFLfast,nm-new,1,1622547198, 0, 0, 177, 177, 7, 3.42%, 0, 0, 2, 41.93
AFLfast,nm-new,1,1622547208, 0, 0, 179, 179, 7, 3.42%, 0, 0, 2, 3.86
AFLfast,nm-new,1,1622547213, 0, 0, 180, 180, 7, 3.42%, 0, 0, 2, 38.09
AFLfast,nm-new,1,1622547219, 0, 0, 182, 182, 7, 3.42%, 0, 0, 2, 38.56
AFLfast,nm-new,1,1622547224, 0, 0, 183, 183, 7, 3.42%, 0, 0, 2, 4.50
AFLfast,nm-new,1,1622547230, 0, 0, 184, 184, 7, 3.42%, 0, 0, 2, 42.54
AFLfast,nm-new,1,1622547235, 0, 0, 185, 185, 7, 3.42%, 0, 0, 2, 41.45
AFLfast,nm-new,1,1622547250, 0, 0, 186, 186, 7, 3.42%, 0, 0, 2, 39.07
AFLfast,nm-new,1,1622547255, 0, 0, 187, 187, 7, 3.42%, 0, 0, 2, 4.46
AFLfast,nm-new,1,1622547266, 0, 0, 188, 188, 7, 3.42%, 0, 0, 2, 38.07
AFLfast,nm-new,1,1622547277, 0, 0, 194, 194, 7, 3.43%, 0, 0, 2, 0.75
AFLfast,nm-new,1,1622547288, 0, 0, 195, 195, 7, 3.43%, 0, 0, 2, 6.19
AFLfast,nm-new,1,1622547303, 0, 0, 204, 204, 7, 3.48%, 0, 0, 2, 37.70
AFLfast,nm-new,1,1622547319, 0, 0, 212, 212, 7, 3.52%, 0, 0, 2, 35.33
AFLfast,nm-new,1,1622547329, 0, 0, 216, 216, 7, 3.59%, 0, 0, 2, 38.75
AFLfast,nm-new,1,1622547335, 0, 0, 218, 218, 7, 3.59%, 0, 0, 2, 38.41
AFLfast,nm-new,1,1622547340, 0, 0, 219, 219, 7, 3.59%, 0, 0, 2, 37.28
AFLfast,nm-new,1,1622547345, 0, 0, 220, 220, 7, 3.59%, 0, 0, 2, 37.90
AFLfast,nm-new,1,1622547350, 0, 0, 223, 223, 7, 3.60%, 0, 0, 2, 36.56
AFLfast,nm-new,1,1622547361, 0, 0, 224, 224, 7, 3.61%, 0, 0, 2, 37.47
AFLfast,nm-new,1,1622547366, 0, 0, 226, 226, 7, 3.61%, 0, 0, 2, 36.97
AFLfast,nm-new,1,1622547371, 0, 0, 227, 227, 7, 3.61%, 0, 0, 2, 37.99
AFLfast,nm-new,1,1622547376, 0, 0, 229, 229, 7, 3.61%, 0, 0, 2, 37.33
AFLfast,nm-new,1,1622547386, 0, 0, 230, 230, 7, 3.61%, 0, 0, 2, 38.44
AFLfast,nm-new,1,1622547397, 0, 0, 231, 231, 7, 3.61%, 0, 0, 2, 37.50
AFLfast,nm-new,1,1622547402, 0, 0, 233, 233, 7, 3.62%, 0, 0, 2, 39.35
AFLfast,nm-new,1,1622547407, 0, 0, 235, 235, 7, 3.62%, 0, 0, 2, 37.81
AFLfast,nm-new,1,1622547417, 0, 0, 236, 236, 7, 3.62%, 0, 0, 2, 37.19
AFLfast,nm-new,1,1622547422, 0, 0, 237, 237, 7, 3.62%, 0, 0, 2, 36.49
AFLfast,nm-new,1,1622547443, 0, 0, 240, 240, 7, 3.64%, 0, 0, 2, 38.29
AFLfast,nm-new,1,1622547448, 0, 0, 243, 243, 7, 3.64%, 0, 0, 2, 37.23
AFLfast,nm-new,1,1622547464, 0, 0, 244, 244, 7, 3.64%, 0, 0, 2, 36.06
AFLfast,nm-new,1,1622547484, 0, 0, 246, 246, 7, 3.64%, 0, 0, 2, 38.84
AFLfast,nm-new,1,1622547489, 0, 0, 248, 248, 7, 3.65%, 0, 0, 2, 37.99
AFLfast,nm-new,1,1622547505, 0, 0, 249, 249, 7, 3.65%, 0, 0, 2, 36.74
AFLfast,nm-new,1,1622547531, 0, 0, 252, 252, 7, 3.65%, 0, 0, 2, 38.28
