alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,nm-new,5,1622530887, 0, 0, 30.24
AFLfast,nm-new,5,1622530923, 0, 0, 47.25
AFLfast,nm-new,5,1622530928, 0, 0, 38.25
AFLfast,nm-new,5,1622530933, 0, 0, 36.88
AFLfast,nm-new,5,1622530938, 0, 0, 34.04
AFLfast,nm-new,5,1622530944, 0, 0, 34.20
AFLfast,nm-new,5,1622530949, 0, 0, 34.87
AFLfast,nm-new,5,1622530954, 0, 0, 34.86
AFLfast,nm-new,5,1622530959, 0, 0, 36.09
AFLfast,nm-new,5,1622530964, 0, 0, 35.09
AFLfast,nm-new,5,1622530969, 0, 0, 36.03
AFLfast,nm-new,5,1622544518, 0, 0, 35.22
AFLfast,nm-new,5,1622544523, 0, 0, 35.21
AFLfast,nm-new,5,1622544549, 0, 0, 35.13
AFLfast,nm-new,5,1622544559, 0, 0, 35.80
AFLfast,nm-new,5,1622544605, 0, 0, 36.10
AFLfast,nm-new,5,1622544662, 0, 0, 36.18
AFLfast,nm-new,5,1622544672, 0, 0, 35.88
AFLfast,nm-new,5,1622544708, 0, 0, 35.18
AFLfast,nm-new,5,1622544734, 0, 0, 35.51
AFLfast,nm-new,5,1622544739, 0, 0, 35.86
AFLfast,nm-new,5,1622544744, 0, 0, 35.67
AFLfast,nm-new,5,1622544760, 0, 0, 36.73
AFLfast,nm-new,5,1622544806, 0, 0, 35.86
AFLfast,nm-new,5,1622544817, 0, 0, 35.46
AFLfast,nm-new,5,1622544827, 0, 0, 35.80
AFLfast,nm-new,5,1622544863, 0, 0, 35.53
AFLfast,nm-new,5,1622544976, 0, 0, 35.56
AFLfast,nm-new,5,1622545023, 0, 0, 35.42
AFLfast,nm-new,5,1622554574, 0, 0, 36.08
AFLfast,nm-new,5,1622554579, 0, 0, 36.25
AFLfast,nm-new,5,1622554699, 0, 0, 36.80
AFLfast,nm-new,5,1622554704, 0, 0, 36.09
AFLfast,nm-new,5,1622554725, 0, 0, 36.05
AFLfast,nm-new,5,1622554735, 0, 0, 35.66
AFLfast,nm-new,5,1622554751, 0, 0, 35.79
AFLfast,nm-new,5,1622554756, 0, 0, 36.82
AFLfast,nm-new,5,1622554761, 0, 0, 37.39
AFLfast,nm-new,5,1622554767, 0, 0, 2.96
AFLfast,nm-new,5,1622554778, 0, 0, 2.04
AFLfast,nm-new,5,1622554783, 0, 0, 2.20
AFLfast,nm-new,5,1622554791, 0, 0, 6.34
AFLfast,nm-new,5,1622554816, 0, 0, 45.26
AFLfast,nm-new,5,1622554821, 0, 0, 42.81
AFLfast,nm-new,5,1622554827, 0, 0, 34.21
AFLfast,nm-new,5,1622554832, 0, 0, 3.28
AFLfast,nm-new,5,1622554843, 0, 1, 1.12
AFLfast,nm-new,5,1622554848, 0, 1, 37.35
AFLfast,nm-new,5,1622554853, 0, 1, 37.73
AFLfast,nm-new,5,1622554858, 0, 1, 5.57
AFLfast,nm-new,5,1622554863, 0, 1, 44.62
AFLfast,nm-new,5,1622554868, 0, 1, 41.94
AFLfast,nm-new,5,1622554873, 0, 1, 39.22
AFLfast,nm-new,5,1622554879, 0, 1, 3.68
AFLfast,nm-new,5,1622554890, 0, 1, 39.62
AFLfast,nm-new,5,1622554900, 0, 1, 39.05
AFLfast,nm-new,5,1622554905, 0, 1, 40.16
AFLfast,nm-new,5,1622554911, 0, 1, 39.42
AFLfast,nm-new,5,1622554921, 0, 1, 42.75
AFLfast,nm-new,5,1622554926, 0, 1, 39.86
AFLfast,nm-new,5,1622554932, 0, 1, 2.27
AFLfast,nm-new,5,1622554942, 0, 1, 1.69
AFLfast,nm-new,5,1622554954, 0, 1, 0.38
AFLfast,nm-new,5,1622554980, 0, 1, 32.45
AFLfast,nm-new,5,1622554985, 0, 1, 34.09
AFLfast,nm-new,5,1622554996, 0, 1, 37.35
AFLfast,nm-new,5,1622555001, 0, 1, 36.92
AFLfast,nm-new,5,1622555006, 0, 1, 37.68
AFLfast,nm-new,5,1622555011, 0, 1, 40.00
AFLfast,nm-new,5,1622555016, 0, 1, 37.43
AFLfast,nm-new,5,1622555021, 0, 1, 38.10
AFLfast,nm-new,5,1622555027, 0, 1, 36.94
AFLfast,nm-new,5,1622555032, 0, 1, 36.77
AFLfast,nm-new,5,1622555042, 0, 1, 36.88
AFLfast,nm-new,5,1622555058, 0, 1, 37.16
AFLfast,nm-new,5,1622555078, 0, 1, 37.36
AFLfast,nm-new,5,1622555083, 0, 1, 39.18
AFLfast,nm-new,5,1622555088, 0, 1, 37.02
AFLfast,nm-new,5,1622555099, 0, 1, 36.59
AFLfast,nm-new,5,1622555124, 0, 1, 38.92
AFLfast,nm-new,5,1622555129, 0, 1, 37.35
AFLfast,nm-new,5,1622555145, 0, 1, 36.14
AFLfast,nm-new,5,1622555165, 0, 1, 38.65
AFLfast,nm-new,5,1622555171, 0, 1, 37.77
AFLfast,nm-new,5,1622555186, 0, 1, 35.76
AFLfast,nm-new,5,1622555207, 0, 1, 38.02
AFLfast,nm-new,5,1622555212, 0, 1, 37.11
AFLfast,nm-new,5,1622555228, 0, 1, 35.67
AFLfast,nm-new,5,1622555243, 0, 1, 36.07
AFLfast,nm-new,5,1622555269, 0, 1, 37.10
AFLfast,nm-new,5,1622555352, 0, 1, 38.38
AFLfast,nm-new,5,1622555357, 0, 1, 36.43
AFLfast,nm-new,5,1622555362, 0, 1, 37.24
AFLfast,nm-new,5,1622555367, 0, 1, 36.01
AFLfast,nm-new,5,1622555383, 0, 1, 36.19
AFLfast,nm-new,5,1622555398, 0, 1, 35.90
AFLfast,nm-new,5,1622555424, 0, 1, 37.44
AFLfast,nm-new,5,1622555434, 0, 1, 37.34
AFLfast,nm-new,5,1622555455, 0, 1, 35.58
AFLfast,nm-new,5,1622555512, 0, 1, 34.95
AFLfast,nm-new,5,1622555558, 0, 1, 34.86
AFLfast,nm-new,5,1622555563, 0, 1, 36.36
AFLfast,nm-new,5,1622555584, 0, 1, 36.80
AFLfast,nm-new,5,1622555589, 0, 1, 35.77
AFLfast,nm-new,5,1622555594, 0, 1, 39.76
AFLfast,nm-new,5,1622555599, 0, 1, 38.16
AFLfast,nm-new,5,1622555605, 0, 1, 35.18
AFLfast,nm-new,5,1622555610, 0, 1, 35.05
AFLfast,nm-new,5,1622555615, 0, 1, 37.76
AFLfast,nm-new,5,1622555620, 0, 1, 35.89
AFLfast,nm-new,5,1622555625, 0, 1, 34.88
AFLfast,nm-new,5,1622555630, 0, 1, 34.09
AFLfast,nm-new,5,1622555635, 0, 1, 35.69
AFLfast,nm-new,5,1622555640, 0, 1, 37.51
AFLfast,nm-new,5,1622555651, 0, 1, 35.20
AFLfast,nm-new,5,1622555656, 0, 1, 38.11
