alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,objdump,4,1622791441, 0, 0, 25.30
AFLfast,objdump,4,1622791446, 0, 0, 30.59
AFLfast,objdump,4,1622791467, 0, 0, 32.98
AFLfast,objdump,4,1622791487, 0, 0, 33.83
AFLfast,objdump,4,1622791508, 0, 0, 32.27
AFLfast,objdump,4,1622791534, 0, 0, 31.48
AFLfast,objdump,4,1622791555, 0, 0, 29.95
AFLfast,objdump,4,1622791580, 0, 0, 30.18
AFLfast,objdump,4,1622791590, 0, 0, 30.95
AFLfast,objdump,4,1622791596, 0, 0, 30.82
AFLfast,objdump,4,1622791601, 0, 0, 31.17
AFLfast,objdump,4,1622791606, 0, 0, 30.66
AFLfast,objdump,4,1622791617, 0, 0, 31.42
AFLfast,objdump,4,1622791622, 0, 0, 31.64
AFLfast,objdump,4,1622791627, 0, 0, 30.72
AFLfast,objdump,4,1622791632, 0, 0, 30.57
AFLfast,objdump,4,1622791643, 0, 0, 29.93
AFLfast,objdump,4,1622791648, 0, 0, 30.63
AFLfast,objdump,4,1622791653, 0, 0, 30.77
AFLfast,objdump,4,1622791658, 0, 0, 31.35
AFLfast,objdump,4,1622791668, 0, 0, 31.74
AFLfast,objdump,4,1622791673, 0, 0, 31.42
AFLfast,objdump,4,1622791679, 0, 0, 31.97
AFLfast,objdump,4,1622791684, 0, 0, 32.13
AFLfast,objdump,4,1622791694, 0, 0, 31.47
AFLfast,objdump,4,1622791699, 0, 0, 31.49
AFLfast,objdump,4,1622791704, 0, 0, 31.83
AFLfast,objdump,4,1622791709, 0, 0, 32.60
AFLfast,objdump,4,1622791720, 0, 0, 32.50
AFLfast,objdump,4,1622791725, 0, 0, 32.36
AFLfast,objdump,4,1622791730, 0, 0, 32.07
AFLfast,objdump,4,1622791735, 0, 0, 32.22
AFLfast,objdump,4,1622791746, 0, 0, 40.39
AFLfast,objdump,4,1622791751, 0, 0, 41.09
AFLfast,objdump,4,1622791756, 0, 0, 33.12
AFLfast,objdump,4,1622791761, 0, 0, 29.70
AFLfast,objdump,4,1622791771, 0, 0, 28.26
AFLfast,objdump,4,1622791776, 0, 0, 28.80
AFLfast,objdump,4,1622791781, 0, 0, 27.57
AFLfast,objdump,4,1622791787, 0, 0, 27.72
AFLfast,objdump,4,1622791797, 0, 0, 4.37
AFLfast,objdump,4,1622791802, 0, 0, 31.43
AFLfast,objdump,4,1622791807, 0, 0, 28.92
AFLfast,objdump,4,1622791812, 0, 0, 30.10
AFLfast,objdump,4,1622791822, 0, 0, 33.65
AFLfast,objdump,4,1622791828, 0, 0, 38.78
AFLfast,objdump,4,1622791833, 0, 0, 32.11
AFLfast,objdump,4,1622791838, 0, 0, 28.20
