alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
AFLfast,objdump,9,1622791515, 0, 0, 6, 6, 1, 0.05%, 0, 0, 1, 21.52
AFLfast,objdump,9,1622791520, 0, 4, 6, 6, 1, 0.05%, 0, 0, 1, 32.56
AFLfast,objdump,9,1622791535, 0, 5, 6, 5, 0, 0.05%, 0, 0, 1, 31.70
AFLfast,objdump,9,1622791561, 1, 0, 6, 4, 0, 0.05%, 0, 0, 1, 29.46
AFLfast,objdump,9,1622791581, 1, 1, 6, 3, 0, 0.05%, 0, 0, 1, 30.77
AFLfast,objdump,9,1622791607, 1, 2, 6, 2, 0, 0.05%, 0, 0, 1, 30.83
AFLfast,objdump,9,1622791633, 1, 3, 6, 1, 0, 0.05%, 0, 0, 1, 30.77
AFLfast,objdump,9,1622791664, 1, 4, 6, 0, 0, 0.05%, 0, 0, 1, 32.18
AFLfast,objdump,9,1622791670, 1, 5, 6, 0, 0, 0.05%, 0, 0, 1, 32.18
AFLfast,objdump,9,1622791675, 2, 2, 6, 0, 0, 0.05%, 0, 0, 1, 32.12
AFLfast,objdump,9,1622791680, 2, 3, 6, 0, 0, 0.05%, 0, 0, 1, 32.54
AFLfast,objdump,9,1622791690, 2, 5, 6, 0, 0, 0.05%, 0, 0, 1, 32.02
AFLfast,objdump,9,1622791695, 3, 1, 6, 0, 0, 0.05%, 0, 0, 1, 31.74
AFLfast,objdump,9,1622791700, 3, 2, 6, 0, 0, 0.05%, 0, 0, 1, 32.05
AFLfast,objdump,9,1622791706, 3, 3, 6, 0, 0, 0.05%, 0, 0, 1, 32.02
AFLfast,objdump,9,1622791711, 3, 4, 6, 0, 0, 0.05%, 0, 0, 1, 32.84
AFLfast,objdump,9,1622791716, 4, 0, 6, 0, 0, 0.05%, 0, 0, 1, 32.77
AFLfast,objdump,9,1622791721, 4, 2, 6, 0, 0, 0.05%, 0, 0, 1, 32.56
AFLfast,objdump,9,1622791726, 4, 3, 6, 0, 0, 0.05%, 0, 0, 1, 32.60
AFLfast,objdump,9,1622791737, 4, 5, 6, 0, 0, 0.05%, 0, 0, 1, 32.54
AFLfast,objdump,9,1622791742, 5, 2, 6, 0, 0, 0.05%, 0, 0, 1, 47.83
AFLfast,objdump,9,1622791747, 5, 3, 6, 0, 0, 0.05%, 0, 0, 1, 34.31
AFLfast,objdump,9,1622791757, 5, 4, 6, 0, 0, 0.05%, 0, 0, 1, 32.85
AFLfast,objdump,9,1622791762, 6, 0, 6, 0, 0, 0.05%, 0, 0, 1, 29.46
AFLfast,objdump,9,1622791768, 6, 1, 6, 0, 0, 0.05%, 0, 0, 1, 29.05
AFLfast,objdump,9,1622791773, 6, 3, 6, 0, 0, 0.05%, 0, 0, 1, 28.19
AFLfast,objdump,9,1622791783, 6, 4, 6, 0, 0, 0.05%, 0, 0, 1, 17.19
AFLfast,objdump,9,1622791788, 6, 5, 6, 0, 0, 0.05%, 0, 0, 1, 26.40
AFLfast,objdump,9,1622791794, 7, 1, 6, 0, 0, 0.05%, 0, 0, 1, 34.13
AFLfast,objdump,9,1622791799, 7, 2, 6, 0, 0, 0.05%, 0, 0, 1, 44.25
AFLfast,objdump,9,1622791804, 7, 3, 6, 0, 0, 0.05%, 0, 0, 1, 35.60
AFLfast,objdump,9,1622791814, 7, 4, 6, 0, 0, 0.05%, 0, 0, 1, 29.04
AFLfast,objdump,9,1622791819, 7, 5, 6, 0, 0, 0.05%, 0, 0, 1, 27.44
AFLfast,objdump,9,1622791824, 8, 1, 6, 0, 0, 0.05%, 0, 0, 1, 44.13
AFLfast,objdump,9,1622791829, 8, 2, 6, 0, 0, 0.05%, 0, 0, 1, 33.58
AFLfast,objdump,9,1622791835, 8, 3, 6, 0, 0, 0.05%, 0, 0, 1, 28.36
AFLfast,objdump,9,1622791845, 8, 4, 6, 0, 0, 0.05%, 0, 0, 1, 29.58
AFLfast,objdump,9,1622791850, 9, 0, 6, 0, 0, 0.05%, 0, 0, 1, 28.74
AFLfast,objdump,9,1622791855, 9, 2, 6, 0, 0, 0.05%, 0, 0, 1, 28.45
AFLfast,objdump,9,1622791860, 9, 3, 6, 0, 0, 0.05%, 0, 0, 1, 28.62
AFLfast,objdump,9,1622791871, 9, 4, 6, 0, 0, 0.05%, 0, 0, 1, 28.17
AFLfast,objdump,9,1622791876, 10, 0, 6, 0, 0, 0.05%, 0, 0, 1, 28.28
AFLfast,objdump,9,1622791881, 10, 2, 6, 0, 0, 0.05%, 0, 0, 1, 28.67
AFLfast,objdump,9,1622791886, 10, 3, 6, 0, 0, 0.05%, 0, 0, 1, 28.13
AFLfast,objdump,9,1622791897, 10, 4, 6, 0, 0, 0.05%, 0, 0, 1, 27.04
AFLfast,objdump,9,1622791902, 11, 0, 6, 0, 0, 0.05%, 0, 0, 1, 28.07
