alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,size,0,1622531506, 0, 0, 28.59
AFLfast,size,0,1622531552, 0, 0, 30.71
AFLfast,size,0,1622531557, 0, 0, 24.99
AFLfast,size,0,1622531563, 0, 0, 25.59
AFLfast,size,0,1622531568, 0, 0, 25.46
AFLfast,size,0,1622531573, 0, 0, 24.85
AFLfast,size,0,1622531579, 0, 0, 21.77
AFLfast,size,0,1622531584, 0, 0, 6.66
AFLfast,size,0,1622531589, 0, 0, 20.18
AFLfast,size,0,1622531594, 0, 0, 24.42
AFLfast,size,0,1622531599, 0, 0, 26.04
AFLfast,size,0,1622531604, 0, 0, 25.37
AFLfast,size,0,1622531609, 0, 0, 25.47
AFLfast,size,0,1622531614, 0, 0, 24.07
AFLfast,size,0,1622552868, 0, 0, 40.24
AFLfast,size,0,1622568995, 0, 0, 39.65
AFLfast,size,0,1622569130, 0, 0, 39.41
AFLfast,size,0,1622569151, 0, 0, 39.66
AFLfast,size,0,1622569161, 0, 0, 38.93
AFLfast,size,0,1622569176, 0, 0, 39.25
AFLfast,size,0,1622569182, 0, 0, 38.54
AFLfast,size,0,1622569187, 0, 0, 2.80
AFLfast,size,0,1622569198, 0, 0, 1.99
AFLfast,size,0,1622569208, 0, 0, 2.52
AFLfast,size,0,1622569216, 0, 0, 0.81
AFLfast,size,0,1622569260, 0, 0, 0.54
AFLfast,size,0,1622569281, 0, 0, 30.96
AFLfast,size,0,1622569286, 0, 0, 37.32
AFLfast,size,0,1622569291, 0, 0, 38.77
AFLfast,size,0,1622569296, 0, 0, 2.02
AFLfast,size,0,1622569302, 0, 0, 2.48
AFLfast,size,0,1622569317, 0, 0, 37.34
AFLfast,size,0,1622569322, 0, 0, 37.81
AFLfast,size,0,1622569329, 0, 0, 5.75
AFLfast,size,0,1622569334, 0, 0, 41.62
AFLfast,size,0,1622569339, 0, 0, 40.22
AFLfast,size,0,1622569345, 0, 0, 39.14
AFLfast,size,0,1622569360, 0, 0, 33.94
AFLfast,size,0,1622569366, 0, 0, 4.52
AFLfast,size,0,1622569387, 0, 0, 37.85
AFLfast,size,0,1622569392, 0, 0, 3.07
AFLfast,size,0,1622569403, 0, 0, 37.08
AFLfast,size,0,1622569408, 0, 0, 37.82
AFLfast,size,0,1622569420, 0, 0, 22.34
AFLfast,size,0,1622569425, 0, 0, 32.88
AFLfast,size,0,1622569430, 0, 0, 35.82
AFLfast,size,0,1622569435, 0, 0, 4.27
AFLfast,size,0,1622569452, 0, 0, 38.75
AFLfast,size,0,1622569457, 0, 0, 39.23
AFLfast,size,0,1622569467, 0, 0, 38.44
AFLfast,size,0,1622569478, 0, 0, 39.36
AFLfast,size,0,1622569483, 0, 0, 38.68
AFLfast,size,0,1622569498, 0, 0, 38.71
AFLfast,size,0,1622569503, 0, 0, 39.44
AFLfast,size,0,1622569509, 0, 0, 37.62
AFLfast,size,0,1622569514, 0, 0, 39.07
AFLfast,size,0,1622569519, 0, 0, 39.74
AFLfast,size,0,1622569524, 0, 0, 39.08
AFLfast,size,0,1622569540, 0, 0, 38.68
AFLfast,size,0,1622569545, 0, 0, 39.54
AFLfast,size,0,1622569550, 0, 0, 38.85
AFLfast,size,0,1622569555, 0, 0, 39.88
AFLfast,size,0,1622569565, 0, 0, 39.76
AFLfast,size,0,1622569586, 0, 0, 40.83
AFLfast,size,0,1622569591, 0, 0, 38.83
AFLfast,size,0,1622569607, 0, 0, 38.72
AFLfast,size,0,1622569632, 0, 0, 37.85
AFLfast,size,0,1622569643, 0, 0, 38.27
AFLfast,size,0,1622569674, 0, 0, 38.89
AFLfast,size,0,1622569685, 0, 0, 38.20
AFLfast,size,0,1622569710, 0, 0, 37.81
AFLfast,size,0,1622569726, 0, 0, 37.95
AFLfast,size,0,1622569767, 0, 0, 39.24
AFLfast,size,0,1622569798, 0, 0, 39.60
AFLfast,size,0,1622569803, 0, 0, 38.02
AFLfast,size,0,1622569834, 0, 0, 37.97
AFLfast,size,0,1622569839, 0, 0, 39.78
AFLfast,size,0,1622569844, 0, 0, 38.27
AFLfast,size,0,1622569870, 0, 0, 39.47
AFLfast,size,0,1622569906, 0, 0, 40.01
AFLfast,size,0,1622569979, 0, 0, 38.22
AFLfast,size,0,1622569984, 0, 0, 39.22
AFLfast,size,0,1622570004, 0, 0, 38.40
AFLfast,size,0,1622570020, 0, 0, 38.14
AFLfast,size,0,1622570046, 0, 0, 38.31
AFLfast,size,0,1622570051, 0, 0, 40.15
AFLfast,size,0,1622570056, 0, 0, 40.92
AFLfast,size,0,1622570061, 0, 0, 40.02
AFLfast,size,0,1622570066, 0, 0, 39.00
AFLfast,size,0,1622570071, 0, 0, 39.73
AFLfast,size,0,1622570076, 0, 0, 35.51
AFLfast,size,0,1622570082, 0, 0, 37.47
AFLfast,size,0,1622570087, 0, 0, 39.54
AFLfast,size,0,1622570092, 0, 0, 40.37
AFLfast,size,0,1622570097, 0, 0, 40.01
AFLfast,size,0,1622570102, 0, 0, 6.03
AFLfast,size,0,1622570107, 0, 0, 43.95
AFLfast,size,0,1622600207, 0, 0, 49.98
AFLfast,size,0,1622600222, 0, 0, 51.44
AFLfast,size,0,1622600229, 0, 0, 0.61
AFLfast,size,0,1622600241, 0, 0, 0.73
AFLfast,size,0,1622600256, 0, 0, 46.92
AFLfast,size,0,1622600261, 0, 0, 37.13
AFLfast,size,0,1622600267, 0, 0, 48.15
AFLfast,size,0,1622600292, 0, 0, 49.54
AFLfast,size,0,1622600313, 0, 0, 3.56
AFLfast,size,0,1622600324, 0, 0, 2.53
AFLfast,size,0,1622600339, 0, 0, 7.01
AFLfast,size,0,1622600349, 0, 0, 50.82
AFLfast,size,0,1622600360, 0, 0, 50.38
AFLfast,size,0,1622600365, 0, 0, 51.50
AFLfast,size,0,1622600380, 0, 0, 50.57
AFLfast,size,0,1622600391, 0, 0, 50.77
AFLfast,size,0,1622600411, 0, 0, 50.06
AFLfast,size,0,1622600416, 0, 0, 51.98
AFLfast,size,0,1622600478, 0, 0, 50.31
AFLfast,size,0,1622600561, 0, 0, 48.51
AFLfast,size,0,1622600571, 0, 0, 49.48
AFLfast,size,0,1622600586, 0, 0, 50.05
AFLfast,size,0,1622600602, 0, 0, 49.99
AFLfast,size,0,1622600612, 0, 0, 49.90
AFLfast,size,0,1622600627, 0, 0, 50.28
AFLfast,size,0,1622600638, 0, 0, 50.49
AFLfast,size,0,1622600648, 0, 0, 49.70
AFLfast,size,0,1622600668, 0, 0, 48.91
AFLfast,size,0,1622600679, 0, 0, 49.11
AFLfast,size,0,1622600699, 0, 0, 49.19
AFLfast,size,0,1622600710, 0, 0, 48.66
AFLfast,size,0,1622600782, 0, 0, 48.40
AFLfast,size,0,1622600793, 0, 0, 48.19
AFLfast,size,0,1622600808, 0, 0, 51.64
AFLfast,size,0,1622600818, 0, 0, 51.03
AFLfast,size,0,1622600834, 0, 0, 52.96
AFLfast,size,0,1622600844, 0, 0, 50.49
