alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
AFLfast,size,0,1622531506, 0, 0, 6, 6, 5, 1.71%, 0, 0, 1, 28.59
AFLfast,size,0,1622531552, 0, 0, 12, 12, 5, 1.92%, 0, 0, 2, 30.71
AFLfast,size,0,1622531557, 0, 0, 15, 15, 5, 1.97%, 0, 0, 2, 24.99
AFLfast,size,0,1622531563, 0, 0, 16, 16, 5, 2.06%, 0, 0, 2, 25.59
AFLfast,size,0,1622531568, 0, 0, 22, 22, 5, 2.09%, 0, 0, 2, 25.46
AFLfast,size,0,1622531573, 0, 0, 26, 26, 5, 2.12%, 0, 0, 2, 24.85
AFLfast,size,0,1622531579, 0, 0, 35, 35, 5, 2.14%, 0, 0, 2, 21.77
AFLfast,size,0,1622531584, 0, 0, 41, 41, 5, 2.28%, 0, 0, 2, 6.66
AFLfast,size,0,1622531589, 0, 0, 45, 45, 5, 2.29%, 0, 0, 2, 20.18
AFLfast,size,0,1622531594, 0, 0, 48, 48, 5, 2.30%, 0, 0, 2, 24.42
AFLfast,size,0,1622531599, 0, 0, 50, 50, 5, 2.30%, 0, 0, 2, 26.04
AFLfast,size,0,1622531604, 0, 0, 52, 52, 5, 2.30%, 0, 0, 2, 25.37
AFLfast,size,0,1622531609, 0, 0, 54, 54, 5, 2.30%, 0, 0, 2, 25.47
AFLfast,size,0,1622531614, 0, 0, 55, 55, 5, 2.30%, 0, 0, 2, 24.07
AFLfast,size,0,1622552868, 0, 0, 56, 56, 5, 2.31%, 0, 0, 2, 40.24
AFLfast,size,0,1622568995, 0, 0, 57, 57, 5, 2.31%, 0, 0, 2, 39.65
AFLfast,size,0,1622569130, 0, 0, 62, 62, 5, 2.32%, 0, 0, 2, 39.41
AFLfast,size,0,1622569151, 0, 0, 63, 63, 5, 2.32%, 0, 0, 2, 39.66
AFLfast,size,0,1622569161, 0, 0, 66, 66, 5, 2.32%, 0, 0, 2, 38.93
AFLfast,size,0,1622569176, 0, 0, 73, 73, 5, 2.36%, 0, 0, 2, 39.25
AFLfast,size,0,1622569182, 0, 0, 79, 79, 5, 2.38%, 0, 0, 2, 38.54
AFLfast,size,0,1622569187, 0, 0, 87, 87, 5, 2.56%, 0, 0, 2, 2.80
AFLfast,size,0,1622569198, 0, 0, 88, 88, 5, 2.56%, 0, 0, 2, 1.99
AFLfast,size,0,1622569208, 0, 0, 90, 90, 5, 2.56%, 0, 0, 2, 2.52
AFLfast,size,0,1622569216, 0, 0, 94, 94, 5, 2.57%, 0, 0, 2, 0.81
AFLfast,size,0,1622569260, 0, 0, 95, 95, 5, 2.57%, 0, 0, 2, 0.54
