alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
AFLfast,strings,13,1622792137, 0, 0, 7, 7, 1, 0.16%, 0, 0, 1, 0.54
AFLfast,strings,13,1622792142, 0, 4, 7, 7, 1, 0.16%, 0, 0, 1, 19.52
AFLfast,strings,13,1622792288, 0, 4, 8, 8, 1, 0.16%, 0, 0, 2, 10.99
AFLfast,strings,13,1622793126, 0, 4, 9, 9, 1, 0.16%, 0, 0, 2, 11.06
AFLfast,strings,13,1622793163, 0, 4, 10, 10, 1, 0.16%, 0, 0, 2, 11.28
AFLfast,strings,13,1622793839, 0, 4, 11, 11, 1, 0.16%, 0, 0, 2, 11.09
AFLfast,strings,13,1622795248, 0, 4, 12, 12, 1, 0.16%, 0, 0, 2, 11.02
AFLfast,strings,13,1622841211, 0, 4, 19, 19, 1, 0.16%, 0, 0, 2, 15.51
AFLfast,strings,13,1622841216, 0, 4, 25, 25, 1, 0.16%, 0, 0, 2, 16.06
AFLfast,strings,13,1622841222, 0, 4, 29, 29, 1, 0.16%, 0, 0, 2, 16.34
AFLfast,strings,13,1622841227, 0, 4, 31, 31, 1, 0.16%, 0, 0, 2, 16.08
AFLfast,strings,13,1622841232, 0, 4, 34, 34, 1, 0.16%, 0, 0, 2, 16.33
AFLfast,strings,13,1622841237, 0, 4, 35, 35, 1, 0.16%, 0, 0, 2, 16.21
AFLfast,strings,13,1622841242, 0, 4, 36, 36, 1, 0.16%, 0, 0, 2, 16.24
AFLfast,strings,13,1622841247, 0, 4, 39, 39, 1, 0.16%, 0, 0, 2, 16.16
AFLfast,strings,13,1622841258, 0, 4, 42, 42, 1, 0.16%, 0, 0, 2, 16.54
AFLfast,strings,13,1622841268, 0, 4, 43, 43, 1, 0.16%, 0, 0, 2, 16.63
AFLfast,strings,13,1622841273, 0, 4, 44, 44, 1, 0.16%, 0, 0, 2, 16.36
AFLfast,strings,13,1622841283, 0, 4, 45, 45, 1, 0.16%, 0, 0, 2, 16.39
AFLfast,strings,13,1622841288, 0, 4, 46, 46, 1, 0.16%, 0, 0, 2, 16.48
AFLfast,strings,13,1622841314, 0, 4, 47, 47, 1, 0.16%, 0, 0, 2, 16.54
AFLfast,strings,13,1622841324, 0, 4, 49, 49, 1, 0.16%, 0, 0, 2, 16.40
AFLfast,strings,13,1622841355, 0, 4, 50, 50, 1, 0.16%, 0, 0, 2, 16.53
AFLfast,strings,13,1622841360, 0, 4, 51, 51, 1, 0.16%, 0, 0, 2, 16.75
AFLfast,strings,13,1622841381, 0, 42, 51, 50, 2, 0.16%, 0, 0, 2, 16.31
