alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,strings,9,1622792070, 0, 0, 1.04
AFLfast,strings,9,1622792075, 0, 0, 60.25
AFLfast,strings,9,1622792173, 0, 0, 23.79
AFLfast,strings,9,1622792245, 0, 0, 24.63
AFLfast,strings,9,1622793282, 0, 0, 24.88
AFLfast,strings,9,1622795682, 0, 0, 23.87
AFLfast,strings,9,1622795687, 0, 0, 23.58
AFLfast,strings,9,1622795693, 0, 0, 32.15
AFLfast,strings,9,1622795698, 0, 0, 26.97
AFLfast,strings,9,1622795703, 0, 0, 22.50
AFLfast,strings,9,1622795708, 0, 0, 22.98
AFLfast,strings,9,1622795713, 0, 0, 22.94
AFLfast,strings,9,1622795719, 0, 0, 23.19
AFLfast,strings,9,1622795729, 0, 0, 27.81
AFLfast,strings,9,1622795745, 0, 0, 25.18
AFLfast,strings,9,1622795760, 0, 0, 22.58
AFLfast,strings,9,1622795771, 0, 0, 25.26
AFLfast,strings,9,1622795797, 0, 0, 2.26
AFLfast,strings,9,1622795807, 0, 0, 22.19
AFLfast,strings,9,1622799814, 0, 0, 21.55
AFLfast,strings,9,1622804395, 0, 0, 17.84
AFLfast,strings,9,1622809767, 0, 0, 16.11
AFLfast,strings,9,1622813304, 0, 0, 21.72
AFLfast,strings,9,1622813320, 0, 0, 20.75
AFLfast,strings,9,1622813361, 0, 0, 20.61
AFLfast,strings,9,1622813403, 0, 0, 22.15
AFLfast,strings,9,1622815131, 0, 0, 21.76
AFLfast,strings,9,1622815136, 0, 0, 21.54
AFLfast,strings,9,1622815141, 0, 0, 21.52
AFLfast,strings,9,1622815146, 0, 0, 21.86
AFLfast,strings,9,1622815157, 0, 0, 21.32
AFLfast,strings,9,1622815168, 0, 0, 19.06
AFLfast,strings,9,1622815214, 0, 0, 26.76
AFLfast,strings,9,1622815256, 0, 0, 21.92
AFLfast,strings,9,1622816330, 0, 0, 23.69
AFLfast,strings,9,1622816356, 0, 0, 23.43
AFLfast,strings,9,1622816445, 0, 0, 23.11
AFLfast,strings,9,1622817505, 0, 0, 3.87
AFLfast,strings,9,1622843803, 0, 0, 7.43
