alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,jpegtran,14,1621961799, 0, 0, 18.00
AFLfast,jpegtran,14,1621961805, 0, 0, 45.28
AFLfast,jpegtran,14,1621961810, 0, 0, 3.13
AFLfast,jpegtran,14,1621961815, 0, 0, 59.65
AFLfast,jpegtran,14,1621961821, 0, 0, 1.54
AFLfast,jpegtran,14,1621961826, 0, 0, 3.16
AFLfast,jpegtran,14,1621961836, 0, 0, 1.85
AFLfast,jpegtran,14,1621961841, 0, 0, 69.29
AFLfast,jpegtran,14,1621961847, 0, 0, 39.08
AFLfast,jpegtran,14,1621961852, 0, 0, 15.03
AFLfast,jpegtran,14,1621961873, 0, 0, 1.78
AFLfast,jpegtran,14,1621961894, 0, 0, 74.39
AFLfast,jpegtran,14,1621961899, 0, 0, 54.62
AFLfast,jpegtran,14,1621961915, 0, 0, 13.43
AFLfast,jpegtran,14,1621961925, 0, 0, 1.66
AFLfast,jpegtran,14,1621961951, 0, 0, 6.19
AFLfast,jpegtran,14,1621962269, 0, 0, 3.16
AFLfast,jpegtran,14,1621962611, 0, 0, 16.62
AFLfast,jpegtran,14,1621962616, 0, 0, 45.83
AFLfast,jpegtran,14,1621962705, 0, 0, 28.77
AFLfast,jpegtran,14,1621962721, 0, 0, 1.79
AFLfast,jpegtran,14,1621962778, 0, 0, 13.22
AFLfast,jpegtran,14,1621962898, 0, 0, 70.00
AFLfast,jpegtran,14,1621962909, 0, 0, 11.63
AFLfast,jpegtran,14,1621962915, 0, 0, 17.14
AFLfast,jpegtran,14,1621962920, 0, 0, 1.68
AFLfast,jpegtran,14,1621962925, 0, 0, 29.02
AFLfast,jpegtran,14,1621962936, 0, 0, 49.18
AFLfast,jpegtran,14,1621962941, 0, 0, 11.95
AFLfast,jpegtran,14,1621962947, 0, 1, 19.73
AFLfast,jpegtran,14,1621962952, 0, 1, 15.60
AFLfast,jpegtran,14,1621962968, 0, 1, 71.76
AFLfast,jpegtran,14,1621962979, 0, 1, 15.77
AFLfast,jpegtran,14,1621963000, 0, 1, 19.17
AFLfast,jpegtran,14,1621963016, 0, 1, 17.58
AFLfast,jpegtran,14,1621963026, 0, 1, 44.36
AFLfast,jpegtran,14,1621963031, 0, 1, 2.53
AFLfast,jpegtran,14,1621963037, 0, 1, 1.58
AFLfast,jpegtran,14,1621963042, 0, 1, 63.98
AFLfast,jpegtran,14,1621963047, 0, 1, 84.16
AFLfast,jpegtran,14,1621963053, 0, 1, 1.56
AFLfast,jpegtran,14,1621963073, 0, 1, 77.97
AFLfast,jpegtran,14,1621963079, 0, 1, 81.64
AFLfast,jpegtran,14,1621963094, 0, 1, 81.82
AFLfast,jpegtran,14,1621963141, 0, 1, 72.05
AFLfast,jpegtran,14,1621963209, 0, 1, 7.01
AFLfast,jpegtran,14,1621963215, 0, 1, 66.93
AFLfast,jpegtran,14,1621963220, 0, 1, 8.17
AFLfast,jpegtran,14,1621963225, 0, 1, 73.16
AFLfast,jpegtran,14,1621963230, 0, 1, 2.96
AFLfast,jpegtran,14,1621963236, 0, 1, 55.77
AFLfast,jpegtran,14,1621963241, 0, 1, 2.34
AFLfast,jpegtran,14,1621963246, 0, 1, 72.24
