alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
AFLfast,pngtest,0,1622794024, 0, 0, 17, 17, 0, 0.00%, 0, 0, 1, 7.94
AFLfast,pngtest,0,1622797659, 0, 1, 17, 16, 0, 0.00%, 0, 0, 1, 9.12
AFLfast,pngtest,0,1622797818, 0, 2, 17, 15, 0, 0.00%, 0, 0, 1, 8.91
AFLfast,pngtest,0,1622797977, 0, 3, 17, 14, 0, 0.00%, 0, 0, 1, 7.25
AFLfast,pngtest,0,1622798352, 0, 4, 17, 13, 0, 0.00%, 0, 0, 1, 7.51
AFLfast,pngtest,0,1622799203, 0, 5, 17, 12, 0, 0.00%, 0, 0, 1, 6.63
AFLfast,pngtest,0,1622800088, 0, 6, 17, 11, 0, 0.00%, 0, 0, 1, 7.54
AFLfast,pngtest,0,1622800912, 0, 7, 17, 10, 0, 0.00%, 0, 0, 1, 7.39
AFLfast,pngtest,0,1622801878, 0, 8, 17, 9, 0, 0.00%, 0, 0, 1, 7.42
AFLfast,pngtest,0,1622802766, 0, 9, 17, 8, 0, 0.00%, 0, 0, 1, 7.18
AFLfast,pngtest,0,1622803629, 0, 10, 17, 7, 0, 0.00%, 0, 0, 1, 6.72
AFLfast,pngtest,0,1622804851, 0, 11, 17, 6, 0, 0.00%, 0, 0, 1, 7.17
AFLfast,pngtest,0,1622809515, 0, 12, 17, 5, 0, 0.00%, 0, 0, 1, 8.04
AFLfast,pngtest,0,1622812672, 0, 12, 17, 5, 0, 0.00%, 0, 1, 1, 4.34
AFLfast,pngtest,0,1622815850, 0, 12, 17, 5, 0, 0.00%, 0, 2, 1, 4.99
AFLfast,pngtest,0,1622817784, 0, 12, 17, 5, 0, 0.00%, 0, 3, 1, 4.77
AFLfast,pngtest,0,1622818728, 0, 13, 17, 4, 0, 0.00%, 0, 3, 1, 6.13
AFLfast,pngtest,0,1622818976, 0, 13, 17, 4, 0, 0.00%, 0, 4, 1, 4.49
AFLfast,pngtest,0,1622821169, 0, 13, 17, 4, 0, 0.00%, 0, 5, 1, 4.39
AFLfast,pngtest,0,1622824321, 0, 13, 17, 4, 0, 0.00%, 0, 6, 1, 5.32
AFLfast,pngtest,0,1622826051, 0, 13, 17, 4, 0, 0.00%, 0, 7, 1, 3.97
AFLfast,pngtest,0,1622828895, 0, 14, 17, 3, 0, 0.00%, 0, 7, 1, 6.84
AFLfast,pngtest,0,1622836084, 0, 15, 17, 2, 0, 0.00%, 0, 7, 1, 9.41
AFLfast,pngtest,0,1622840503, 0, 16, 17, 1, 0, 0.00%, 0, 7, 1, 13.78
AFLfast,pngtest,0,1622844734, 1, 0, 17, 0, 0, 0.00%, 0, 7, 1, 12.60
AFLfast,pngtest,0,1622844754, 1, 1, 17, 0, 0, 0.00%, 0, 7, 1, 13.99
AFLfast,pngtest,0,1622844760, 1, 3, 17, 0, 0, 0.00%, 0, 7, 1, 14.00
AFLfast,pngtest,0,1622844765, 1, 4, 17, 0, 0, 0.00%, 0, 7, 1, 13.91
AFLfast,pngtest,0,1622844780, 1, 5, 17, 0, 0, 0.00%, 0, 7, 1, 15.05
AFLfast,pngtest,0,1622844796, 1, 6, 17, 0, 0, 0.00%, 0, 7, 1, 15.26
AFLfast,pngtest,0,1622844811, 1, 7, 17, 0, 0, 0.00%, 0, 7, 1, 15.71
AFLfast,pngtest,0,1622844827, 1, 8, 17, 0, 0, 0.00%, 0, 7, 1, 15.40
AFLfast,pngtest,0,1622844842, 1, 9, 17, 0, 0, 0.00%, 0, 7, 1, 15.50
AFLfast,pngtest,0,1622844857, 1, 10, 17, 0, 0, 0.00%, 0, 7, 1, 15.89
AFLfast,pngtest,0,1622844872, 1, 11, 17, 0, 0, 0.00%, 0, 7, 1, 15.59
AFLfast,pngtest,0,1622844888, 1, 12, 17, 0, 0, 0.00%, 0, 7, 1, 15.36
AFLfast,pngtest,0,1622844898, 1, 13, 17, 0, 0, 0.00%, 0, 7, 1, 15.42
AFLfast,pngtest,0,1622844913, 1, 14, 17, 0, 0, 0.00%, 0, 7, 1, 15.69
AFLfast,pngtest,0,1622844929, 1, 15, 17, 0, 0, 0.00%, 0, 7, 1, 15.49
AFLfast,pngtest,0,1622844944, 1, 16, 17, 0, 0, 0.00%, 0, 7, 1, 15.49
AFLfast,pngtest,0,1622844959, 2, 0, 17, 0, 0, 0.00%, 0, 7, 1, 15.45
AFLfast,pngtest,0,1622844975, 2, 1, 17, 0, 0, 0.00%, 0, 7, 1, 15.37
AFLfast,pngtest,0,1622844980, 2, 2, 17, 0, 0, 0.00%, 0, 7, 1, 15.14
AFLfast,pngtest,0,1622844985, 2, 4, 17, 0, 0, 0.00%, 0, 7, 1, 15.59
AFLfast,pngtest,0,1622845000, 2, 5, 17, 0, 0, 0.00%, 0, 7, 1, 15.33
AFLfast,pngtest,0,1622845016, 2, 6, 17, 0, 0, 0.00%, 0, 7, 1, 15.08
AFLfast,pngtest,0,1622845031, 2, 7, 17, 0, 0, 0.00%, 0, 7, 1, 15.76
AFLfast,pngtest,0,1622845046, 2, 8, 17, 0, 0, 0.00%, 0, 7, 1, 15.61
AFLfast,pngtest,0,1622845062, 2, 9, 17, 0, 0, 0.00%, 0, 7, 1, 15.54
AFLfast,pngtest,0,1622845077, 2, 10, 17, 0, 0, 0.00%, 0, 7, 1, 15.59
AFLfast,pngtest,0,1622845087, 2, 11, 17, 0, 0, 0.00%, 0, 7, 1, 15.92
AFLfast,pngtest,0,1622845103, 2, 12, 17, 0, 0, 0.00%, 0, 7, 1, 15.18
AFLfast,pngtest,0,1622845118, 2, 13, 17, 0, 0, 0.00%, 0, 7, 1, 15.42
AFLfast,pngtest,0,1622845133, 2, 14, 17, 0, 0, 0.00%, 0, 7, 1, 15.49
AFLfast,pngtest,0,1622845149, 2, 15, 17, 0, 0, 0.00%, 0, 7, 1, 15.19
AFLfast,pngtest,0,1622845159, 2, 16, 17, 0, 0, 0.00%, 0, 7, 1, 15.32
AFLfast,pngtest,0,1622845175, 3, 0, 17, 0, 0, 0.00%, 0, 7, 1, 15.09
AFLfast,pngtest,0,1622845195, 3, 2, 17, 0, 0, 0.00%, 0, 7, 1, 15.38
AFLfast,pngtest,0,1622845201, 3, 3, 17, 0, 0, 0.00%, 0, 7, 1, 15.68
AFLfast,pngtest,0,1622845206, 3, 4, 17, 0, 0, 0.00%, 0, 7, 1, 15.29
AFLfast,pngtest,0,1622845221, 3, 5, 17, 0, 0, 0.00%, 0, 7, 1, 15.41
AFLfast,pngtest,0,1622845236, 3, 6, 17, 0, 0, 0.00%, 0, 7, 1, 15.05
AFLfast,pngtest,0,1622845252, 3, 7, 17, 0, 0, 0.00%, 0, 7, 1, 15.12
AFLfast,pngtest,0,1622845267, 3, 8, 17, 0, 0, 0.00%, 0, 7, 1, 15.09
AFLfast,pngtest,0,1622845278, 3, 9, 17, 0, 0, 0.00%, 0, 7, 1, 15.03
