alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,tiffsplit,1,1622444196, 0, 0, 41.06
AFLfast,tiffsplit,1,1622444201, 0, 0, 51.67
AFLfast,tiffsplit,1,1622444206, 0, 0, 52.08
AFLfast,tiffsplit,1,1622444212, 0, 0, 54.46
AFLfast,tiffsplit,1,1622444222, 0, 0, 52.62
AFLfast,tiffsplit,1,1622444232, 0, 0, 62.18
AFLfast,tiffsplit,1,1622444258, 0, 0, 54.41
AFLfast,tiffsplit,1,1622444351, 0, 0, 52.98
AFLfast,tiffsplit,1,1622444361, 0, 0, 52.18
AFLfast,tiffsplit,1,1622444423, 0, 0, 54.95
AFLfast,tiffsplit,1,1622444428, 0, 0, 58.51
AFLfast,tiffsplit,1,1622444449, 0, 0, 59.10
AFLfast,tiffsplit,1,1622444474, 0, 0, 57.21
AFLfast,tiffsplit,1,1622444505, 0, 0, 51.96
AFLfast,tiffsplit,1,1622444510, 0, 0, 51.09
AFLfast,tiffsplit,1,1622444847, 0, 0, 51.57
AFLfast,tiffsplit,1,1622444889, 0, 0, 43.73
AFLfast,tiffsplit,1,1622449158, 0, 0, 30.75
AFLfast,tiffsplit,1,1622449163, 0, 0, 34.62
AFLfast,tiffsplit,1,1622449168, 0, 0, 32.47
AFLfast,tiffsplit,1,1622449173, 0, 0, 33.04
AFLfast,tiffsplit,1,1622449178, 0, 0, 31.12
AFLfast,tiffsplit,1,1622449183, 0, 0, 29.28
AFLfast,tiffsplit,1,1622449189, 0, 0, 27.93
AFLfast,tiffsplit,1,1622449194, 0, 0, 25.27
AFLfast,tiffsplit,1,1622449199, 0, 0, 26.48
AFLfast,tiffsplit,1,1622449204, 0, 0, 32.74
AFLfast,tiffsplit,1,1622449209, 0, 0, 33.37
AFLfast,tiffsplit,1,1622449214, 0, 0, 31.23
AFLfast,tiffsplit,1,1622453569, 0, 0, 32.83
AFLfast,tiffsplit,1,1622453574, 0, 0, 34.56
AFLfast,tiffsplit,1,1622453579, 0, 0, 31.92
AFLfast,tiffsplit,1,1622453584, 0, 0, 33.23
AFLfast,tiffsplit,1,1622453589, 1, 0, 29.10
AFLfast,tiffsplit,1,1622453594, 1, 0, 31.95
AFLfast,tiffsplit,1,1622453599, 1, 0, 35.74
AFLfast,tiffsplit,1,1622453605, 1, 0, 33.41
AFLfast,tiffsplit,1,1622453610, 1, 0, 34.53
AFLfast,tiffsplit,1,1622458105, 1, 0, 33.05
AFLfast,tiffsplit,1,1622458110, 1, 0, 33.19
AFLfast,tiffsplit,1,1622458131, 1, 0, 32.22
AFLfast,tiffsplit,1,1622459254, 1, 0, 35.59
AFLfast,tiffsplit,1,1622459259, 1, 0, 52.94
AFLfast,tiffsplit,1,1622472732, 1, 0, 33.72
AFLfast,tiffsplit,1,1622472737, 1, 0, 31.98
AFLfast,tiffsplit,1,1622472758, 1, 0, 30.99
AFLfast,tiffsplit,1,1622472763, 1, 0, 34.35
AFLfast,tiffsplit,1,1622472778, 1, 0, 24.70
AFLfast,tiffsplit,1,1622472784, 2, 0, 25.68
AFLfast,tiffsplit,1,1622472794, 2, 0, 35.04
AFLfast,tiffsplit,1,1622472804, 3, 0, 27.11
AFLfast,tiffsplit,1,1622472809, 3, 0, 32.69
AFLfast,tiffsplit,1,1622472830, 4, 0, 22.16
AFLfast,tiffsplit,1,1622472861, 4, 0, 35.79
AFLfast,tiffsplit,1,1622472876, 5, 0, 28.28
AFLfast,tiffsplit,1,1622472924, 5, 0, 28.42
AFLfast,tiffsplit,1,1622472929, 6, 0, 26.39
AFLfast,tiffsplit,1,1622472944, 6, 0, 26.88
AFLfast,tiffsplit,1,1622472949, 6, 0, 28.61
AFLfast,tiffsplit,1,1622472954, 6, 0, 32.21
AFLfast,tiffsplit,1,1622472970, 8, 0, 29.46
AFLfast,tiffsplit,1,1622472991, 8, 0, 24.68
AFLfast,tiffsplit,1,1622473696, 8, 0, 34.65
AFLfast,tiffsplit,1,1622473738, 8, 0, 25.57
AFLfast,tiffsplit,1,1622473743, 8, 0, 23.55
AFLfast,tiffsplit,1,1622473763, 8, 0, 28.79
AFLfast,tiffsplit,1,1622473779, 8, 0, 30.16
AFLfast,tiffsplit,1,1622473872, 8, 0, 21.89
AFLfast,tiffsplit,1,1622475643, 8, 0, 38.25
AFLfast,tiffsplit,1,1622483065, 8, 0, 28.13
AFLfast,tiffsplit,1,1622483080, 8, 0, 13.72
AFLfast,tiffsplit,1,1622496523, 8, 0, 37.43
AFLfast,tiffsplit,1,1622496544, 8, 0, 29.01
AFLfast,tiffsplit,1,1622496549, 8, 0, 33.46
AFLfast,tiffsplit,1,1622496560, 8, 0, 34.40
AFLfast,tiffsplit,1,1622496565, 8, 0, 30.39
AFLfast,tiffsplit,1,1622496570, 8, 0, 27.04
AFLfast,tiffsplit,1,1622496590, 8, 0, 37.00
AFLfast,tiffsplit,1,1622496631, 8, 0, 36.09
AFLfast,tiffsplit,1,1622496642, 8, 0, 32.88
AFLfast,tiffsplit,1,1622496647, 8, 0, 33.93
AFLfast,tiffsplit,1,1622497732, 8, 0, 30.48
AFLfast,tiffsplit,1,1622497737, 8, 0, 29.98
AFLfast,tiffsplit,1,1622497748, 8, 0, 32.43
AFLfast,tiffsplit,1,1622497753, 8, 0, 34.13
AFLfast,tiffsplit,1,1622497758, 8, 0, 37.87
AFLfast,tiffsplit,1,1622497774, 8, 0, 40.91
AFLfast,tiffsplit,1,1622497934, 8, 0, 49.60
AFLfast,tiffsplit,1,1622497970, 8, 0, 36.01
AFLfast,tiffsplit,1,1622497975, 8, 0, 38.53
AFLfast,tiffsplit,1,1622498197, 8, 0, 40.07
AFLfast,tiffsplit,1,1622498212, 8, 0, 39.01
AFLfast,tiffsplit,1,1622498703, 8, 0, 45.09
AFLfast,tiffsplit,1,1622498708, 8, 0, 43.83
AFLfast,tiffsplit,1,1622498750, 8, 0, 40.17
AFLfast,tiffsplit,1,1622498765, 8, 0, 38.68
AFLfast,tiffsplit,1,1622498817, 8, 0, 39.67
AFLfast,tiffsplit,1,1622498853, 8, 0, 42.68
AFLfast,tiffsplit,1,1622498946, 8, 0, 48.49
AFLfast,tiffsplit,1,1622498997, 8, 0, 41.94
AFLfast,tiffsplit,1,1622499013, 8, 0, 41.60
AFLfast,tiffsplit,1,1622499023, 8, 0, 40.91
AFLfast,tiffsplit,1,1622499038, 8, 0, 39.87
AFLfast,tiffsplit,1,1622499090, 8, 0, 41.25
AFLfast,tiffsplit,1,1622499142, 8, 0, 38.89
AFLfast,tiffsplit,1,1622499632, 8, 0, 44.65
AFLfast,tiffsplit,1,1622499756, 8, 0, 38.65
AFLfast,tiffsplit,1,1622499761, 8, 0, 41.28
AFLfast,tiffsplit,1,1622499766, 8, 0, 41.72
AFLfast,tiffsplit,1,1622499771, 8, 0, 42.55
AFLfast,tiffsplit,1,1622499777, 8, 0, 43.28
AFLfast,tiffsplit,1,1622499782, 8, 0, 42.71
AFLfast,tiffsplit,1,1622499787, 8, 0, 43.31
AFLfast,tiffsplit,1,1622499792, 8, 0, 44.42
AFLfast,tiffsplit,1,1622499798, 8, 0, 45.31
AFLfast,tiffsplit,1,1622499803, 8, 0, 44.99
AFLfast,tiffsplit,1,1622499808, 8, 0, 45.61
AFLfast,tiffsplit,1,1622499823, 8, 0, 44.89
AFLfast,tiffsplit,1,1622499834, 8, 0, 44.22
AFLfast,tiffsplit,1,1622499839, 8, 0, 44.38
AFLfast,tiffsplit,1,1622499845, 8, 0, 44.41
AFLfast,tiffsplit,1,1622499850, 8, 0, 44.84
AFLfast,tiffsplit,1,1622499855, 8, 0, 45.54
AFLfast,tiffsplit,1,1622499870, 8, 0, 45.87
AFLfast,tiffsplit,1,1622499875, 8, 0, 44.22
AFLfast,tiffsplit,1,1622499907, 8, 0, 42.91
AFLfast,tiffsplit,1,1622499912, 8, 0, 40.85
AFLfast,tiffsplit,1,1622499917, 8, 0, 40.71
AFLfast,tiffsplit,1,1622499932, 8, 0, 40.96
AFLfast,tiffsplit,1,1622499990, 8, 0, 40.74
AFLfast,tiffsplit,1,1622499995, 8, 0, 40.78
AFLfast,tiffsplit,1,1622500005, 8, 0, 41.06
AFLfast,tiffsplit,1,1622500010, 8, 0, 41.39
AFLfast,tiffsplit,1,1622500068, 8, 0, 41.50
AFLfast,tiffsplit,1,1622500079, 8, 0, 41.79
AFLfast,tiffsplit,1,1622500084, 8, 0, 41.55
AFLfast,tiffsplit,1,1622500120, 8, 0, 41.10
AFLfast,tiffsplit,1,1622500198, 8, 0, 43.84
AFLfast,tiffsplit,1,1622500203, 8, 0, 42.71
AFLfast,tiffsplit,1,1622500239, 8, 0, 39.20
AFLfast,tiffsplit,1,1622500244, 8, 0, 40.52
AFLfast,tiffsplit,1,1622500249, 8, 0, 41.37
AFLfast,tiffsplit,1,1622500316, 8, 0, 39.68
AFLfast,tiffsplit,1,1622500327, 8, 0, 42.16
AFLfast,tiffsplit,1,1622500859, 8, 0, 41.63
AFLfast,tiffsplit,1,1622501050, 8, 0, 39.15
AFLfast,tiffsplit,1,1622501102, 8, 0, 39.54
AFLfast,tiffsplit,1,1622501190, 8, 0, 42.54
AFLfast,tiffsplit,1,1622501195, 8, 0, 44.26
AFLfast,tiffsplit,1,1622501200, 8, 0, 44.84
AFLfast,tiffsplit,1,1622501205, 8, 0, 44.55
AFLfast,tiffsplit,1,1622501211, 8, 0, 45.48
AFLfast,tiffsplit,1,1622501216, 8, 0, 45.37
AFLfast,tiffsplit,1,1622501221, 8, 0, 44.88
AFLfast,tiffsplit,1,1622501226, 8, 0, 46.53
AFLfast,tiffsplit,1,1622501231, 8, 0, 45.26
AFLfast,tiffsplit,1,1622501241, 8, 0, 45.44
AFLfast,tiffsplit,1,1622501246, 8, 0, 45.50
AFLfast,tiffsplit,1,1622501262, 8, 0, 45.56
AFLfast,tiffsplit,1,1622501273, 8, 0, 46.80
AFLfast,tiffsplit,1,1622501278, 8, 0, 45.92
AFLfast,tiffsplit,1,1622501288, 8, 0, 46.30
AFLfast,tiffsplit,1,1622501299, 8, 0, 45.42
AFLfast,tiffsplit,1,1622501350, 8, 0, 32.35
AFLfast,tiffsplit,1,1622501355, 8, 0, 31.78
AFLfast,tiffsplit,1,1622501360, 8, 0, 32.13
AFLfast,tiffsplit,1,1622501365, 8, 0, 32.14
AFLfast,tiffsplit,1,1622501370, 8, 0, 29.93
AFLfast,tiffsplit,1,1622501376, 8, 0, 27.65
AFLfast,tiffsplit,1,1622501381, 8, 0, 29.46
AFLfast,tiffsplit,1,1622501386, 8, 0, 31.25
AFLfast,tiffsplit,1,1622501391, 8, 0, 28.50
AFLfast,tiffsplit,1,1622501396, 8, 0, 28.30
AFLfast,tiffsplit,1,1622501407, 8, 0, 27.50
AFLfast,tiffsplit,1,1622501412, 8, 0, 27.85
AFLfast,tiffsplit,1,1622501459, 8, 0, 31.12
AFLfast,tiffsplit,1,1622501469, 8, 0, 31.87
AFLfast,tiffsplit,1,1622501474, 8, 0, 31.64
AFLfast,tiffsplit,1,1622501479, 8, 0, 29.26
AFLfast,tiffsplit,1,1622501484, 9, 0, 30.08
AFLfast,tiffsplit,1,1622501495, 9, 0, 28.11
AFLfast,tiffsplit,1,1622501505, 10, 0, 27.59
AFLfast,tiffsplit,1,1622501567, 10, 0, 32.08
AFLfast,tiffsplit,1,1622501578, 10, 0, 30.98
AFLfast,tiffsplit,1,1622501593, 10, 0, 29.58
AFLfast,tiffsplit,1,1622501665, 10, 0, 32.87
AFLfast,tiffsplit,1,1622501671, 10, 0, 35.96
AFLfast,tiffsplit,1,1622501691, 10, 0, 34.77
AFLfast,tiffsplit,1,1622501712, 11, 0, 30.41
AFLfast,tiffsplit,1,1622501728, 11, 0, 31.21
AFLfast,tiffsplit,1,1622501733, 12, 0, 30.77
AFLfast,tiffsplit,1,1622501743, 12, 0, 32.13
AFLfast,tiffsplit,1,1622501753, 12, 0, 32.64
AFLfast,tiffsplit,1,1622501774, 13, 0, 27.98
AFLfast,tiffsplit,1,1622501779, 13, 0, 31.93
AFLfast,tiffsplit,1,1622501794, 13, 0, 28.46
AFLfast,tiffsplit,1,1622501862, 14, 0, 29.45
AFLfast,tiffsplit,1,1622501887, 14, 0, 27.36
AFLfast,tiffsplit,1,1622501955, 14, 0, 26.92
AFLfast,tiffsplit,1,1622501960, 14, 0, 27.43
AFLfast,tiffsplit,1,1622501981, 15, 0, 28.15
AFLfast,tiffsplit,1,1622501986, 15, 0, 28.03
AFLfast,tiffsplit,1,1622502006, 15, 0, 28.01
AFLfast,tiffsplit,1,1622502677, 15, 0, 31.81
AFLfast,tiffsplit,1,1622502755, 15, 0, 27.46
AFLfast,tiffsplit,1,1622502992, 15, 0, 33.66
AFLfast,tiffsplit,1,1622502997, 15, 0, 30.66
AFLfast,tiffsplit,1,1622503018, 15, 0, 33.03
AFLfast,tiffsplit,1,1622503023, 15, 0, 38.24
AFLfast,tiffsplit,1,1622503028, 15, 0, 40.17
AFLfast,tiffsplit,1,1622503033, 15, 0, 39.57
AFLfast,tiffsplit,1,1622503038, 15, 0, 39.13
AFLfast,tiffsplit,1,1622503049, 16, 0, 44.04
AFLfast,tiffsplit,1,1622503054, 16, 0, 42.94
AFLfast,tiffsplit,1,1622503069, 16, 0, 42.46
AFLfast,tiffsplit,1,1622503075, 16, 0, 42.68
AFLfast,tiffsplit,1,1622503080, 16, 0, 43.09
AFLfast,tiffsplit,1,1622503090, 16, 0, 43.18
AFLfast,tiffsplit,1,1622503106, 16, 0, 43.72
AFLfast,tiffsplit,1,1622503116, 16, 0, 42.25
AFLfast,tiffsplit,1,1622503137, 16, 0, 42.32
AFLfast,tiffsplit,1,1622503193, 16, 0, 32.09
AFLfast,tiffsplit,1,1622503199, 16, 0, 32.87
AFLfast,tiffsplit,1,1622503286, 17, 0, 30.18
AFLfast,tiffsplit,1,1622503511, 17, 0, 32.13
AFLfast,tiffsplit,1,1622503532, 18, 0, 29.25
AFLfast,tiffsplit,1,1622503553, 19, 0, 29.59
AFLfast,tiffsplit,1,1622503593, 20, 0, 25.45
AFLfast,tiffsplit,1,1622504041, 20, 0, 27.83
AFLfast,tiffsplit,1,1622504624, 20, 0, 39.80
AFLfast,tiffsplit,1,1622504675, 20, 0, 29.39
AFLfast,tiffsplit,1,1622504686, 20, 0, 31.91
AFLfast,tiffsplit,1,1622504691, 20, 0, 31.29
AFLfast,tiffsplit,1,1622504788, 21, 0, 30.07
AFLfast,tiffsplit,1,1622504809, 22, 0, 28.14
AFLfast,tiffsplit,1,1622504814, 22, 0, 27.80
AFLfast,tiffsplit,1,1622505099, 22, 0, 32.44
AFLfast,tiffsplit,1,1622505140, 23, 0, 29.59
AFLfast,tiffsplit,1,1622505388, 24, 0, 28.10
AFLfast,tiffsplit,1,1622506610, 24, 0, 37.74
AFLfast,tiffsplit,1,1622506662, 24, 0, 32.85
AFLfast,tiffsplit,1,1622506667, 24, 0, 32.04
AFLfast,tiffsplit,1,1622506672, 24, 0, 31.72
AFLfast,tiffsplit,1,1622506770, 25, 0, 32.73
AFLfast,tiffsplit,1,1622506786, 26, 0, 29.10
AFLfast,tiffsplit,1,1622507034, 26, 0, 32.20
AFLfast,tiffsplit,1,1622507076, 27, 0, 29.53
AFLfast,tiffsplit,1,1622507297, 27, 0, 28.04
AFLfast,tiffsplit,1,1622507446, 27, 0, 29.58
AFLfast,tiffsplit,1,1622508068, 27, 0, 27.63
AFLfast,tiffsplit,1,1622508395, 27, 0, 35.12
AFLfast,tiffsplit,1,1622508400, 28, 0, 42.64
AFLfast,tiffsplit,1,1622508405, 28, 0, 41.77
AFLfast,tiffsplit,1,1622508467, 28, 0, 30.93
AFLfast,tiffsplit,1,1622508487, 28, 0, 28.50
AFLfast,tiffsplit,1,1622508560, 29, 0, 31.51
AFLfast,tiffsplit,1,1622508801, 29, 0, 32.68
AFLfast,tiffsplit,1,1622508822, 30, 0, 29.92
AFLfast,tiffsplit,1,1622509921, 30, 0, 39.85
AFLfast,tiffsplit,1,1622509984, 30, 0, 31.44
AFLfast,tiffsplit,1,1622510066, 31, 0, 31.59
AFLfast,tiffsplit,1,1622511313, 31, 0, 36.41
AFLfast,tiffsplit,1,1622511370, 31, 0, 28.66
AFLfast,tiffsplit,1,1622511375, 31, 0, 28.09
AFLfast,tiffsplit,1,1622511380, 32, 0, 27.01
AFLfast,tiffsplit,1,1622511385, 32, 0, 25.29
AFLfast,tiffsplit,1,1622511390, 32, 0, 24.24
AFLfast,tiffsplit,1,1622511395, 32, 0, 23.93
AFLfast,tiffsplit,1,1622511400, 32, 0, 26.29
AFLfast,tiffsplit,1,1622511405, 32, 0, 26.10
AFLfast,tiffsplit,1,1622511416, 32, 0, 25.55
AFLfast,tiffsplit,1,1622511421, 32, 0, 26.09
AFLfast,tiffsplit,1,1622511442, 32, 0, 23.64
AFLfast,tiffsplit,1,1622511452, 32, 0, 23.95
AFLfast,tiffsplit,1,1622511509, 32, 0, 28.33
AFLfast,tiffsplit,1,1622511514, 32, 0, 29.33
AFLfast,tiffsplit,1,1622511519, 32, 0, 26.93
AFLfast,tiffsplit,1,1622511524, 33, 0, 25.34
