alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
AFLfast,tiffsplit,8,1626016370, 0, 0, 49, 49, 37, 4.35%, 0, 0, 1, 1028.87
AFLfast,tiffsplit,8,1626016375, 0, 2, 58, 57, 43, 4.40%, 0, 0, 2, 1494.70
AFLfast,tiffsplit,8,1626016420, 0, 2, 139, 138, 43, 4.90%, 0, 0, 2, 1200.44
AFLfast,tiffsplit,8,1626016466, 0, 2, 159, 158, 43, 5.08%, 1, 0, 2, 1189.62
AFLfast,tiffsplit,8,1626016517, 0, 2, 165, 164, 43, 5.11%, 1, 0, 2, 692.34
AFLfast,tiffsplit,8,1626016532, 0, 2, 191, 190, 43, 5.24%, 2, 0, 2, 734.17
AFLfast,tiffsplit,8,1626016537, 0, 2, 208, 207, 43, 5.32%, 6, 0, 2, 707.05
AFLfast,tiffsplit,8,1626016542, 0, 2, 218, 217, 43, 5.36%, 8, 0, 2, 723.53
AFLfast,tiffsplit,8,1626016547, 0, 2, 223, 222, 43, 5.41%, 8, 0, 2, 769.59
AFLfast,tiffsplit,8,1626016552, 0, 2, 225, 224, 43, 5.41%, 8, 0, 2, 735.06
AFLfast,tiffsplit,8,1626016557, 0, 2, 226, 225, 43, 5.41%, 8, 0, 2, 778.29
AFLfast,tiffsplit,8,1626016567, 0, 2, 230, 229, 43, 5.42%, 8, 0, 2, 735.74
AFLfast,tiffsplit,8,1626016573, 0, 2, 237, 236, 43, 5.45%, 8, 0, 2, 730.44
AFLfast,tiffsplit,8,1626016578, 0, 2, 243, 242, 43, 5.50%, 8, 0, 2, 733.35
AFLfast,tiffsplit,8,1626016583, 0, 2, 254, 253, 43, 5.55%, 8, 0, 2, 880.98
AFLfast,tiffsplit,8,1626016588, 0, 2, 258, 257, 43, 5.55%, 8, 0, 2, 922.41
AFLfast,tiffsplit,8,1626016593, 0, 2, 262, 261, 43, 5.55%, 8, 0, 2, 923.30
AFLfast,tiffsplit,8,1626016598, 0, 2, 263, 262, 43, 5.55%, 8, 0, 2, 935.45
AFLfast,tiffsplit,8,1626016603, 0, 2, 266, 265, 43, 5.55%, 8, 0, 2, 949.31
AFLfast,tiffsplit,8,1626016608, 0, 9, 280, 278, 179, 5.60%, 8, 0, 2, 889.63
AFLfast,tiffsplit,8,1626016613, 0, 9, 285, 283, 179, 5.64%, 8, 0, 2, 863.77
AFLfast,tiffsplit,8,1626016623, 0, 9, 286, 284, 179, 5.64%, 8, 0, 2, 459.15
AFLfast,tiffsplit,8,1626016628, 0, 9, 292, 290, 179, 5.65%, 8, 0, 2, 543.38
AFLfast,tiffsplit,8,1626016634, 0, 9, 293, 291, 179, 5.65%, 8, 0, 2, 608.02
AFLfast,tiffsplit,8,1626016639, 0, 9, 295, 293, 179, 5.65%, 8, 0, 2, 600.68
AFLfast,tiffsplit,8,1626016674, 0, 9, 297, 295, 179, 5.66%, 8, 0, 2, 869.20
AFLfast,tiffsplit,8,1626016679, 0, 9, 300, 298, 179, 5.71%, 8, 0, 2, 864.97
AFLfast,tiffsplit,8,1626016684, 0, 9, 329, 327, 179, 5.71%, 8, 0, 2, 909.15
AFLfast,tiffsplit,8,1626016690, 0, 9, 344, 342, 179, 5.72%, 8, 0, 2, 1000.52
AFLfast,tiffsplit,8,1626016695, 0, 9, 349, 347, 179, 5.72%, 8, 0, 2, 1028.42
AFLfast,tiffsplit,8,1626016700, 0, 9, 353, 351, 179, 5.73%, 8, 0, 2, 1032.85
AFLfast,tiffsplit,8,1626016705, 0, 9, 364, 362, 179, 5.74%, 8, 0, 2, 1027.19
AFLfast,tiffsplit,8,1626016710, 0, 9, 369, 367, 179, 5.75%, 8, 0, 2, 1017.40
AFLfast,tiffsplit,8,1626016715, 0, 9, 373, 371, 179, 5.75%, 8, 0, 2, 1033.44
AFLfast,tiffsplit,8,1626016720, 0, 10, 392, 389, 204, 5.81%, 8, 0, 2, 885.98
AFLfast,tiffsplit,8,1626016725, 0, 10, 396, 393, 204, 5.81%, 8, 0, 2, 842.88
AFLfast,tiffsplit,8,1626016730, 0, 10, 401, 398, 204, 5.84%, 8, 0, 2, 880.32
AFLfast,tiffsplit,8,1626016735, 0, 10, 406, 403, 204, 5.85%, 8, 0, 2, 858.42
AFLfast,tiffsplit,8,1626016740, 0, 10, 408, 405, 204, 5.85%, 8, 0, 2, 843.86
AFLfast,tiffsplit,8,1626016771, 0, 10, 411, 408, 204, 5.85%, 8, 0, 2, 886.58
AFLfast,tiffsplit,8,1626016776, 0, 10, 412, 409, 204, 5.85%, 8, 0, 2, 849.93
AFLfast,tiffsplit,8,1626016781, 0, 10, 421, 418, 204, 5.86%, 8, 0, 2, 951.00
AFLfast,tiffsplit,8,1626016786, 0, 10, 430, 427, 204, 5.88%, 8, 0, 2, 1007.23
AFLfast,tiffsplit,8,1626016791, 0, 10, 432, 429, 204, 5.88%, 8, 0, 2, 1020.16
AFLfast,tiffsplit,8,1626016796, 0, 10, 435, 432, 204, 5.88%, 8, 0, 2, 943.65
AFLfast,tiffsplit,8,1626016801, 0, 10, 436, 433, 204, 5.89%, 8, 0, 2, 727.11
AFLfast,tiffsplit,8,1626016806, 0, 10, 438, 435, 204, 5.89%, 8, 0, 2, 687.20
AFLfast,tiffsplit,8,1626016811, 0, 10, 441, 438, 204, 5.89%, 8, 0, 2, 672.71
AFLfast,tiffsplit,8,1626016816, 0, 10, 444, 441, 204, 5.97%, 8, 0, 2, 670.06
AFLfast,tiffsplit,8,1626016821, 0, 11, 445, 441, 235, 5.97%, 8, 0, 2, 526.86
AFLfast,tiffsplit,8,1626016826, 0, 11, 480, 476, 235, 6.13%, 9, 0, 2, 437.46
AFLfast,tiffsplit,8,1626016831, 0, 11, 486, 482, 235, 6.15%, 9, 0, 2, 401.74
AFLfast,tiffsplit,8,1626016836, 0, 11, 497, 493, 235, 6.16%, 11, 0, 2, 414.15
AFLfast,tiffsplit,8,1626016846, 0, 11, 500, 496, 235, 6.17%, 11, 0, 2, 415.81
AFLfast,tiffsplit,8,1626016851, 0, 11, 502, 498, 235, 6.17%, 11, 0, 2, 499.96
AFLfast,tiffsplit,8,1626016856, 0, 11, 508, 504, 235, 6.18%, 12, 0, 2, 418.66
AFLfast,tiffsplit,8,1626016861, 0, 11, 515, 511, 235, 6.21%, 14, 0, 2, 400.44
AFLfast,tiffsplit,8,1626016867, 0, 11, 517, 513, 235, 6.21%, 16, 0, 2, 487.37
AFLfast,tiffsplit,8,1626016872, 0, 11, 528, 524, 235, 6.24%, 18, 0, 2, 485.48
AFLfast,tiffsplit,8,1626016877, 0, 11, 538, 534, 235, 6.29%, 19, 0, 2, 482.32
AFLfast,tiffsplit,8,1626016887, 0, 11, 539, 535, 235, 6.29%, 19, 0, 2, 434.42
AFLfast,tiffsplit,8,1626016948, 0, 11, 541, 537, 235, 6.29%, 19, 0, 2, 447.68
AFLfast,tiffsplit,8,1626016963, 0, 11, 548, 544, 235, 6.30%, 19, 0, 2, 484.67
AFLfast,tiffsplit,8,1626016968, 0, 11, 556, 552, 235, 6.30%, 19, 0, 2, 604.55
AFLfast,tiffsplit,8,1626016973, 0, 11, 562, 558, 235, 6.31%, 19, 0, 2, 621.16
AFLfast,tiffsplit,8,1626016978, 0, 11, 565, 561, 235, 6.31%, 19, 0, 2, 632.13
AFLfast,tiffsplit,8,1626016983, 0, 11, 571, 567, 235, 6.31%, 19, 0, 2, 629.45
AFLfast,tiffsplit,8,1626016988, 0, 11, 575, 571, 235, 6.31%, 19, 0, 2, 637.97
AFLfast,tiffsplit,8,1626016993, 0, 11, 580, 576, 235, 6.32%, 19, 0, 2, 627.94
AFLfast,tiffsplit,8,1626016998, 0, 11, 583, 579, 235, 6.32%, 20, 0, 2, 637.14
AFLfast,tiffsplit,8,1626017003, 0, 13, 585, 580, 296, 6.32%, 20, 0, 2, 527.28
AFLfast,tiffsplit,8,1626017008, 0, 13, 588, 583, 296, 6.34%, 22, 0, 2, 438.67
AFLfast,tiffsplit,8,1626017029, 0, 13, 588, 583, 296, 6.34%, 24, 0, 2, 431.00
AFLfast,tiffsplit,8,1626017084, 0, 13, 589, 584, 296, 6.34%, 25, 0, 2, 411.09
AFLfast,tiffsplit,8,1626017125, 0, 13, 589, 584, 296, 6.34%, 27, 0, 2, 484.77
AFLfast,tiffsplit,8,1626017140, 0, 13, 589, 584, 296, 6.34%, 29, 0, 2, 434.99
AFLfast,tiffsplit,8,1626017145, 0, 13, 590, 585, 296, 6.34%, 29, 0, 2, 438.12
AFLfast,tiffsplit,8,1626017150, 0, 13, 595, 590, 296, 6.34%, 30, 0, 2, 572.21
AFLfast,tiffsplit,8,1626017155, 0, 13, 596, 591, 296, 6.34%, 34, 0, 2, 629.77
AFLfast,tiffsplit,8,1626017160, 0, 13, 597, 592, 296, 6.34%, 35, 0, 2, 639.80
AFLfast,tiffsplit,8,1626017165, 0, 13, 597, 592, 296, 6.34%, 36, 0, 2, 633.73
AFLfast,tiffsplit,8,1626017170, 0, 13, 601, 596, 296, 6.34%, 38, 0, 2, 631.90
AFLfast,tiffsplit,8,1626017175, 0, 13, 604, 599, 296, 6.35%, 41, 0, 2, 634.41
AFLfast,tiffsplit,8,1626017181, 0, 13, 608, 603, 296, 6.35%, 43, 0, 2, 635.59
AFLfast,tiffsplit,8,1626017186, 0, 14, 609, 603, 305, 6.35%, 44, 0, 2, 618.61
AFLfast,tiffsplit,8,1626017191, 0, 14, 619, 613, 305, 6.38%, 44, 0, 2, 587.77
AFLfast,tiffsplit,8,1626017196, 0, 14, 622, 616, 305, 6.39%, 44, 0, 2, 579.92
AFLfast,tiffsplit,8,1626017201, 0, 14, 623, 617, 305, 6.39%, 44, 0, 2, 582.69
AFLfast,tiffsplit,8,1626017206, 0, 14, 624, 618, 305, 6.40%, 44, 0, 2, 592.02
AFLfast,tiffsplit,8,1626017211, 0, 14, 626, 620, 305, 6.41%, 44, 0, 2, 574.67
AFLfast,tiffsplit,8,1626017221, 0, 14, 629, 623, 305, 6.42%, 44, 0, 2, 583.05
AFLfast,tiffsplit,8,1626017267, 0, 14, 631, 625, 305, 6.42%, 44, 0, 2, 593.08
AFLfast,tiffsplit,8,1626017287, 0, 15, 632, 625, 318, 6.42%, 44, 0, 2, 462.21
AFLfast,tiffsplit,8,1626017292, 0, 15, 640, 633, 318, 6.46%, 44, 0, 2, 407.01
AFLfast,tiffsplit,8,1626017297, 0, 15, 643, 636, 318, 6.47%, 44, 0, 2, 401.69
AFLfast,tiffsplit,8,1626017302, 0, 15, 644, 637, 318, 6.47%, 44, 0, 2, 383.92
AFLfast,tiffsplit,8,1626017313, 0, 15, 646, 639, 318, 6.48%, 44, 0, 2, 502.95
AFLfast,tiffsplit,8,1626017318, 0, 15, 651, 644, 318, 6.50%, 45, 0, 2, 422.28
AFLfast,tiffsplit,8,1626017323, 0, 15, 655, 648, 318, 6.53%, 45, 0, 2, 419.66
AFLfast,tiffsplit,8,1626017343, 0, 15, 657, 650, 318, 6.53%, 45, 0, 2, 407.16
AFLfast,tiffsplit,8,1626017348, 0, 15, 658, 651, 318, 6.53%, 45, 0, 2, 459.55
AFLfast,tiffsplit,8,1626017399, 0, 15, 659, 652, 318, 6.53%, 45, 0, 2, 436.42
AFLfast,tiffsplit,8,1626017409, 0, 15, 660, 653, 318, 6.53%, 45, 0, 2, 457.58
AFLfast,tiffsplit,8,1626017414, 0, 15, 661, 654, 318, 6.53%, 45, 0, 2, 434.71
AFLfast,tiffsplit,8,1626017429, 0, 15, 665, 658, 318, 6.53%, 46, 0, 2, 455.76
AFLfast,tiffsplit,8,1626017435, 0, 15, 667, 660, 318, 6.53%, 47, 0, 2, 606.09
AFLfast,tiffsplit,8,1626017440, 0, 15, 671, 664, 318, 6.53%, 47, 0, 2, 628.15
AFLfast,tiffsplit,8,1626017445, 0, 15, 672, 665, 318, 6.53%, 47, 0, 2, 637.81
AFLfast,tiffsplit,8,1626017455, 0, 15, 675, 668, 318, 6.54%, 47, 0, 2, 634.68
AFLfast,tiffsplit,8,1626017460, 0, 15, 676, 669, 318, 6.54%, 47, 0, 2, 646.78
AFLfast,tiffsplit,8,1626017465, 0, 15, 676, 669, 318, 6.54%, 48, 0, 2, 627.81
