alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
AFLfast,xmlcatalog,6,1622490643, 0, 0, 42, 42, 1, 0.36%, 0, 0, 1, 51.84
AFLfast,xmlcatalog,6,1622490648, 0, 41, 56, 56, 1, 0.57%, 0, 0, 2, 49.48
AFLfast,xmlcatalog,6,1622490653, 0, 41, 60, 60, 1, 0.58%, 0, 0, 2, 49.35
AFLfast,xmlcatalog,6,1622490658, 0, 41, 70, 70, 1, 0.62%, 0, 0, 2, 47.10
AFLfast,xmlcatalog,6,1622490663, 0, 41, 80, 80, 1, 0.67%, 0, 0, 2, 46.85
AFLfast,xmlcatalog,6,1622490669, 0, 41, 84, 84, 1, 0.67%, 0, 0, 2, 49.04
AFLfast,xmlcatalog,6,1622490674, 0, 41, 90, 90, 1, 0.68%, 0, 0, 2, 46.89
AFLfast,xmlcatalog,6,1622490679, 0, 41, 93, 93, 1, 0.68%, 0, 0, 2, 45.71
AFLfast,xmlcatalog,6,1622490684, 0, 41, 96, 96, 1, 0.69%, 0, 0, 2, 47.75
AFLfast,xmlcatalog,6,1622490689, 0, 41, 103, 103, 1, 0.70%, 0, 0, 2, 48.37
AFLfast,xmlcatalog,6,1622490694, 0, 41, 106, 106, 1, 0.71%, 0, 0, 2, 51.25
AFLfast,xmlcatalog,6,1622490704, 0, 41, 108, 108, 1, 0.71%, 0, 0, 2, 48.90
AFLfast,xmlcatalog,6,1622490709, 0, 41, 112, 112, 1, 0.71%, 0, 0, 2, 48.80
AFLfast,xmlcatalog,6,1622490715, 0, 41, 115, 115, 1, 0.71%, 0, 0, 2, 53.39
AFLfast,xmlcatalog,6,1622490720, 0, 41, 117, 117, 1, 0.71%, 0, 0, 2, 45.04
AFLfast,xmlcatalog,6,1622490730, 0, 41, 120, 120, 1, 0.71%, 0, 0, 2, 48.78
AFLfast,xmlcatalog,6,1622490735, 0, 41, 122, 122, 1, 0.71%, 0, 0, 2, 49.33
AFLfast,xmlcatalog,6,1622490751, 0, 41, 124, 124, 1, 0.71%, 0, 0, 2, 48.56
AFLfast,xmlcatalog,6,1622490756, 0, 41, 125, 125, 1, 0.72%, 0, 0, 2, 47.18
AFLfast,xmlcatalog,6,1622490761, 0, 41, 129, 129, 1, 0.72%, 0, 0, 2, 47.64
AFLfast,xmlcatalog,6,1622490766, 0, 41, 131, 131, 1, 0.72%, 0, 0, 2, 51.00
AFLfast,xmlcatalog,6,1622490771, 0, 41, 133, 133, 1, 0.72%, 0, 0, 2, 49.71
AFLfast,xmlcatalog,6,1622490777, 0, 41, 135, 135, 1, 0.72%, 0, 0, 2, 46.81
AFLfast,xmlcatalog,6,1622490792, 0, 41, 136, 136, 1, 0.72%, 0, 0, 2, 47.68
AFLfast,xmlcatalog,6,1622490797, 0, 41, 139, 139, 1, 0.72%, 0, 0, 2, 47.91
AFLfast,xmlcatalog,6,1622490802, 0, 41, 141, 141, 1, 0.73%, 0, 0, 2, 47.48
AFLfast,xmlcatalog,6,1622490823, 0, 41, 142, 142, 1, 0.73%, 0, 0, 2, 48.76
AFLfast,xmlcatalog,6,1622490828, 0, 41, 144, 144, 1, 0.73%, 0, 0, 2, 48.40
AFLfast,xmlcatalog,6,1622490838, 0, 41, 145, 145, 1, 0.74%, 0, 0, 2, 48.76
AFLfast,xmlcatalog,6,1622490859, 0, 41, 146, 146, 1, 0.74%, 0, 0, 2, 48.17
AFLfast,xmlcatalog,6,1622490864, 0, 41, 148, 148, 1, 0.74%, 0, 0, 2, 48.14
AFLfast,xmlcatalog,6,1622490869, 0, 41, 149, 149, 1, 0.74%, 0, 0, 2, 47.92
AFLfast,xmlcatalog,6,1622490884, 0, 41, 150, 150, 1, 0.74%, 0, 0, 2, 47.58
AFLfast,xmlcatalog,6,1622490890, 0, 41, 152, 152, 1, 0.74%, 0, 0, 2, 47.07
AFLfast,xmlcatalog,6,1622490900, 0, 41, 154, 154, 1, 0.74%, 0, 0, 2, 46.53
AFLfast,xmlcatalog,6,1622490930, 0, 43, 154, 153, 41, 0.74%, 0, 0, 2, 48.02
