alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,xmlcatalog,7,1622490669, 0, 0, 36.14
AFLfast,xmlcatalog,7,1622490674, 0, 0, 41.31
AFLfast,xmlcatalog,7,1622490679, 0, 0, 43.67
AFLfast,xmlcatalog,7,1622490684, 0, 0, 45.33
AFLfast,xmlcatalog,7,1622490689, 0, 0, 47.20
AFLfast,xmlcatalog,7,1622490695, 0, 0, 43.81
AFLfast,xmlcatalog,7,1622490700, 0, 0, 43.38
AFLfast,xmlcatalog,7,1622490705, 0, 0, 46.24
AFLfast,xmlcatalog,7,1622490710, 0, 0, 47.21
AFLfast,xmlcatalog,7,1622490715, 0, 0, 45.60
AFLfast,xmlcatalog,7,1622490725, 0, 0, 45.37
AFLfast,xmlcatalog,7,1622490731, 0, 0, 47.38
AFLfast,xmlcatalog,7,1622490741, 0, 0, 46.21
AFLfast,xmlcatalog,7,1622490746, 0, 0, 48.31
AFLfast,xmlcatalog,7,1622490751, 0, 0, 47.54
AFLfast,xmlcatalog,7,1622490756, 0, 0, 46.18
AFLfast,xmlcatalog,7,1622490761, 0, 0, 46.06
AFLfast,xmlcatalog,7,1622490766, 0, 0, 47.45
AFLfast,xmlcatalog,7,1622490771, 0, 0, 47.46
AFLfast,xmlcatalog,7,1622490777, 0, 0, 46.55
AFLfast,xmlcatalog,7,1622490782, 0, 0, 46.61
AFLfast,xmlcatalog,7,1622490787, 0, 0, 45.95
AFLfast,xmlcatalog,7,1622490797, 0, 0, 46.61
AFLfast,xmlcatalog,7,1622490802, 0, 0, 47.50
AFLfast,xmlcatalog,7,1622490813, 0, 0, 47.54
AFLfast,xmlcatalog,7,1622490818, 0, 0, 47.62
AFLfast,xmlcatalog,7,1622490823, 0, 0, 47.09
AFLfast,xmlcatalog,7,1622490828, 0, 0, 46.97
AFLfast,xmlcatalog,7,1622490844, 0, 0, 46.52
AFLfast,xmlcatalog,7,1622490849, 0, 0, 46.74
AFLfast,xmlcatalog,7,1622490854, 0, 0, 46.83
AFLfast,xmlcatalog,7,1622490859, 0, 0, 46.14
AFLfast,xmlcatalog,7,1622490864, 0, 0, 46.55
AFLfast,xmlcatalog,7,1622490869, 0, 0, 46.09
AFLfast,xmlcatalog,7,1622490879, 0, 0, 46.26
AFLfast,xmlcatalog,7,1622490884, 0, 0, 46.53
AFLfast,xmlcatalog,7,1622490921, 0, 0, 47.80
AFLfast,xmlcatalog,7,1622490931, 0, 0, 46.99
